continent,variant,year,populationdensitypersqkm
903,nochange,2087,258.131335601222
903,zeromigration,2087,136.024918343736
903,constantfertility,2088,355.526702433985
903,constantmortality,2088,101.23366040339
903,highvariant,2088,177.093557712219
903,instantreplacement,2088,68.2800651075677
903,lowvariant,2088,101.238754897102
903,mediumvariant,2088,135.261427458647
903,nochange,2088,265.248612368356
903,zeromigration,2088,137.223740367716
903,constantfertility,2089,367.570421469831
903,constantmortality,2089,101.461500743679
903,highvariant,2089,179.554625549075
903,instantreplacement,2089,68.369102991162
903,lowvariant,2089,101.500857127569
903,mediumvariant,2089,136.418141726752
903,nochange,2089,272.574242136782
903,zeromigration,2089,138.405589684056
903,constantfertility,2090,380.04946604563
903,constantmortality,2090,101.665773131193
903,highvariant,2090,182.01943253196
903,instantreplacement,2090,68.4562137945798
903,lowvariant,2090,101.738675348343
903,mediumvariant,2090,137.557612649406
903,nochange,2090,280.114448699211
903,zeromigration,2090,139.569875166349
903,constantfertility,2091,392.980086673509
903,constantmortality,2091,101.846637472947
903,highvariant,2091,184.487348341905
903,instantreplacement,2091,68.5420348523273
903,lowvariant,2091,101.952263794917
903,mediumvariant,2091,138.679440712042
903,nochange,2091,287.875757280326
903,zeromigration,2091,140.716192139564
903,constantfertility,2092,406.379429830551
903,constantmortality,2092,102.004309193129
903,highvariant,2092,186.95794766201
903,instantreplacement,2092,68.627219047768
903,lowvariant,2092,102.141814416416
903,mediumvariant,2092,139.783385362708
903,nochange,2092,295.864980134691
903,zeromigration,2092,141.844296004323
903,constantfertility,2093,420.265411173209
903,constantmortality,2093,102.139048473702
903,highvariant,2093,189.43093843684
903,instantreplacement,2093,68.7124155203976
903,lowvariant,2093,102.307610734954
903,mediumvariant,2093,140.869310371829
903,nochange,2093,304.089180794498
903,zeromigration,2093,142.954046989554
903,constantfertility,2094,434.65656810986
903,constantmortality,2094,102.251152395655
903,highvariant,2094,191.906077180061
903,instantreplacement,2094,68.7982456848511
903,lowvariant,2094,102.449978399593
903,mediumvariant,2094,141.937116510036
903,nochange,2094,312.555635281746
903,zeromigration,2094,144.045344044547
903,constantfertility,2095,449.57192458308
903,constantmortality,2095,102.340942628079
903,highvariant,2095,194.383091769805
903,instantreplacement,2095,68.885280902609
903,lowvariant,2095,102.569235740299
903,mediumvariant,2095,142.986683535082
903,nochange,2095,321.271793286691
903,zeromigration,2095,145.118063082002
903,constantfertility,2096,465.030945704757
903,constantmortality,2096,102.408762898535
903,highvariant,2096,196.861653453985
903,instantreplacement,2096,68.9740347581616
903,lowvariant,2096,102.665677477062
903,mediumvariant,2096,144.017849280144
903,nochange,2096,330.245267003698
903,zeromigration,2096,146.172038832069
903,constantfertility,2097,481.053509221748
903,constantmortality,2097,102.454977407805
903,highvariant,2097,199.341363190236
903,instantreplacement,2097,69.0649589103981
903,lowvariant,2097,102.739566254029
903,mediumvariant,2097,145.030397309174
903,nochange,2097,339.483822766564
903,zeromigration,2097,147.207050102977
903,constantfertility,2098,497.659898230513
903,constantmortality,2098,102.479970155326
903,highvariant,2098,201.821745473589
903,instantreplacement,2098,69.1584420470225
903,lowvariant,2098,102.791128558351
903,mediumvariant,2098,146.024052633381
903,nochange,2098,348.995379564461
903,zeromigration,2098,148.222817487495
903,constantfertility,2099,514.870807821637
903,constantmortality,2099,102.48414534393
903,highvariant,2099,204.302252721186
903,instantreplacement,2099,69.2548106603093
903,lowvariant,2099,102.820557856939
903,mediumvariant,2099,146.998486230849
903,nochange,2099,358.788010391077
903,zeromigration,2099,149.219006870698
903,constantfertility,2100,532.707347778114
903,constantmortality,2100,102.467927447303
903,highvariant,2100,206.782267363446
