country,year,variant,agebroad,feminityrato_femaleper100male
598,2000,estimates,0_19,94.1489112453762
598,2000,estimates,0_24,94.2356348426605
598,2000,estimates,3_4,93.5209032651816
598,2000,estimates,3_5,93.6026253279591
598,2000,estimates,3_6,93.678815669468
598,2000,estimates,4_5,93.6917644234718
598,2000,estimates,4_6,93.7664328597244
598,2000,estimates,5_10,94.0914866581957
598,2000,estimates,5_11,94.1386452511995
598,2000,estimates,5_14,94.2965907707829
598,2000,estimates,6_9,94.1089981673368
598,2000,estimates,6_10,94.161197238882
598,2000,estimates,6_11,94.2063653434439
598,2000,estimates,6_12,94.2516406511468
598,2000,estimates,7_10,94.2254406928896
598,2000,estimates,7_12,94.3124528748208
598,2000,estimates,11_16,94.8102920760718
598,2000,estimates,11_17,94.8786986788689
598,2000,estimates,11_18,94.9226631489034
598,2000,estimates,12_14,94.7174130315633
598,2000,estimates,12_16,94.8854438642297
598,2000,estimates,12_17,94.9537783054872
598,2000,estimates,12_18,94.9941457518932
598,2000,estimates,13_17,95.037470207301
598,2000,estimates,13_18,95.0714067829511
598,2000,estimates,13_19,95.0738043173669
598,2000,estimates,15plus,97.6992780143118
598,2000,estimates,15_17,95.1989477145676
598,2000,estimates,15_24,94.9499145271835
598,2000,estimates,15_49,95.7782014594104
598,2000,estimates,15_59,96.2014065849813
598,2000,estimates,15_64,96.4213057148141
598,2000,estimates,16plus,97.8011279281029
598,2000,estimates,17plus,97.9033487966757
598,2000,estimates,18plus,98.0094373865699
598,2000,estimates,18_23,94.8781510197557
598,2000,estimates,20plus,98.2547907814496
598,2000,estimates,20_64,96.706566844248
598,2000,estimates,20_69,97.0782730189925
598,2000,estimates,21plus,98.3998965196907
598,2000,estimates,25plus,99.1570482381875
598,2000,estimates,25_49,96.3481156134882
598,2000,estimates,25_64,97.2463230061322
598,2000,estimates,25_69,97.6995660325156
598,2000,estimates,50plus,108.592740297626
598,2000,estimates,60plus,119.985740516467
598,2000,estimates,65plus,132.390416176165
598,2000,estimates,70plus,151.581474651171
598,2000,estimates,75plus,179.247302972906
598,2000,estimates,80plus,215.23400191022
598,2000,estimates,85plus,259.335727109515
598,2000,estimates,90plus,315.165876777251
598,2005,estimates,total,96.109104991372
598,2005,estimates,0_1,92.8525835465408
598,2005,estimates,0_4,92.8768886389827
598,2005,estimates,0_14,93.4207579902635
598,2005,estimates,0_17,93.58289767581
598,2005,estimates,0_19,93.6912590017224
598,2005,estimates,0_24,93.9554075809048
598,2005,estimates,3_4,92.9192297042711
598,2005,estimates,3_5,92.963226831808
598,2005,estimates,3_6,93.0147038462604
598,2005,estimates,4_5,93.0039036149908
598,2005,estimates,4_6,93.0599404360321
598,2005,estimates,5_10,93.415121687054
598,2005,estimates,5_11,93.5038128249567
598,2005,estimates,5_14,93.7439337347867
598,2005,estimates,6_9,93.4069178601039
598,2005,estimates,6_10,93.4934925234279
598,2005,estimates,6_11,93.5864561708692
598,2005,estimates,6_12,93.6780828771137
598,2005,estimates,7_10,93.5788473892743
598,2005,estimates,7_12,93.7710562481074
598,2005,estimates,11_16,94.4101175041691
598,2005,estimates,11_17,94.4510772350061
598,2005,estimates,11_18,94.5001280723442
598,2005,estimates,12_14,94.4032549728751
598,2005,estimates,12_16,94.4782445126324
598,2005,estimates,12_17,94.5162379748596
598,2005,estimates,12_18,94.564575566235
598,2005,estimates,13_17,94.564158421833
598,2005,estimates,13_18,94.6139005007121
598,2005,estimates,13_19,94.6757478490773
598,2005,estimates,15plus,97.9336547744279
598,2005,estimates,15_17,94.6395371784086
598,2005,estimates,15_24,95.0645305807339
598,2005,estimates,15_49,95.5896136211193
598,2005,estimates,15_59,96.3367092561209
598,2005,estimates,15_64,96.6261764400244
598,2005,estimates,16plus,98.0582061416571
598,2005,estimates,17plus,98.186016502712
598,2005,estimates,18plus,98.3165973097192
598,2005,estimates,18_23,95.2581561398388
