continent,year,variant,gender,agebroad,percentagetotalpopulation
903,1970,Estimates,male,5_11,19.6377765901139
903,1970,Estimates,female,5_14,26.0282954430774
903,1970,Estimates,male,5_14,26.7264232873131
903,1970,Estimates,female,6_9,11.0740732912723
903,1970,Estimates,male,6_9,11.3764585288652
903,1970,Estimates,female,6_10,13.6106925446149
903,1970,Estimates,male,6_10,13.9803872895514
903,1970,Estimates,female,6_11,16.0709865662615
903,1970,Estimates,male,6_11,16.5050385603805
903,1970,Estimates,female,6_12,18.4550375897314
903,1970,Estimates,male,6_12,18.9508304675162
903,1970,Estimates,female,7_10,10.6855019402509
903,1970,Estimates,male,7_10,10.9740513814858
903,1970,Estimates,female,7_12,15.5298469853674
903,1970,Estimates,male,7_12,15.9444945594506
903,1970,Estimates,female,11_16,13.589146817923
903,1970,Estimates,male,11_16,13.9403422314848
903,1970,Estimates,female,11_17,15.5903256544853
903,1970,Estimates,male,11_17,15.9918669900784
903,1970,Estimates,female,11_18,17.5183901787604
903,1970,Estimates,male,11_18,17.9671103717854
903,1970,Estimates,female,12_14,6.9100200122077
903,1970,Estimates,male,12_14,7.08864669719918
903,1970,Estimates,female,12_16,11.1288527962765
903,1970,Estimates,male,12_16,11.4156909606557
903,1970,Estimates,female,12_17,13.1300316328387
903,1970,Estimates,male,12_17,13.4672157192493
903,1970,Estimates,female,12_18,15.0580961571138
903,1970,Estimates,male,12_18,15.4424591009563
903,1970,Estimates,female,13_17,10.7459806093688
903,1970,Estimates,male,13_17,11.0214238121136
903,1970,Estimates,female,13_18,12.6740451336439
903,1970,Estimates,male,13_18,12.9966671938206
903,1970,Estimates,female,13_19,14.5293368053451
903,1970,Estimates,male,13_19,14.8954824973459
903,1970,Estimates,female,15plus,56.4041931928084
903,1970,Estimates,male,15plus,55.1977348572767
903,1970,Estimates,female,15_17,6.22001162063102
903,1970,Estimates,male,15_17,6.3785690220501
903,1970,Estimates,female,15_24,18.2985477467882
903,1970,Estimates,male,15_24,18.696303720208
903,1970,Estimates,female,15_49,45.0381380819404
903,1970,Estimates,male,15_49,45.1361512469036
903,1970,Estimates,female,15_59,50.8448402216059
903,1970,Estimates,male,15_59,50.5928647138292
903,1970,Estimates,female,15_64,52.9429456925644
903,1970,Estimates,male,15_64,52.4524085751072
903,1970,Estimates,female,16plus,54.2586319014134
903,1970,Estimates,male,16plus,52.996934113256
903,1970,Estimates,female,17plus,52.1853604087396
903,1970,Estimates,male,17plus,50.8706905938201
903,1970,Estimates,female,18plus,50.1841815721773
903,1970,Estimates,male,18plus,48.8191658352265
903,1970,Estimates,female,18_23,10.5368041317213
903,1970,Estimates,male,18_23,10.7601257286144
903,1970,Estimates,female,20plus,46.4008253762011
903,1970,Estimates,male,20plus,44.9451071499942
903,1970,Estimates,female,20_64,42.9395778759571
903,1970,Estimates,male,20_64,42.1997808678248
903,1970,Estimates,female,20_69,44.4831800022196
903,1970,Estimates,male,20_69,43.5036378047656
903,1970,Estimates,female,21plus,44.6154207595928
903,1970,Estimates,male,21plus,43.1197974370493
903,1970,Estimates,female,25plus,38.1056454460201
903,1970,Estimates,male,25plus,36.5014311370686
903,1970,Estimates,female,25_49,26.7395903351522
903,1970,Estimates,male,25_49,26.4398475266956
903,1970,Estimates,female,25_64,34.6443979457762
903,1970,Estimates,male,25_64,33.7561048548992
903,1970,Estimates,female,25_69,36.1880000720387
903,1970,Estimates,male,25_69,35.05996179184
903,1970,Estimates,female,50plus,11.366055110868
903,1970,Estimates,male,50plus,10.0615836103731
903,1970,Estimates,female,60plus,5.55935297120244
903,1970,Estimates,male,60plus,4.60487014344744
903,1970,Estimates,female,65plus,3.46124750024396
903,1970,Estimates,male,65plus,2.74532628216946
903,1970,Estimates,female,70plus,1.91764537398141
903,1970,Estimates,male,70plus,1.44146934522866
