agebroad,gender,percentagetotalpopulation,continent,variant,year
25_64,male,40.257,935,estimates,1952
25_69,male,41.926,935,estimates,1952
15plus,male,62.546,935,estimates,1952
16plus,male,60.498,935,estimates,1952
17plus,male,58.492,935,estimates,1952
18plus,male,56.523,935,estimates,1952
20plus,male,52.692,935,estimates,1952
21plus,male,50.834,935,estimates,1952
25plus,male,43.809,935,estimates,1952
50plus,male,12.906,935,estimates,1952
60plus,male,5.941,935,estimates,1952
65plus,male,3.552,935,estimates,1952
70plus,male,1.884,935,estimates,1952
75plus,male,0.862,935,estimates,1952
80plus,male,0.311,935,estimates,1952
85plus,male,0.082,935,estimates,1952
90plus,male,0.017,935,estimates,1952
total,male,100,935,estimates,1952
0_1,female,7.203,935,estimates,1953
0_4,female,15.944,935,estimates,1953
0_14,female,37.542,935,estimates,1953
0_17,female,43.378,935,estimates,1953
0_19,female,47.113,935,estimates,1953
0_24,female,55.752,935,estimates,1953
3_4,female,5.583,935,estimates,1953
3_5,female,8.119,935,estimates,1953
3_6,female,10.52,935,estimates,1953
4_5,female,5.234,935,estimates,1953
4_6,female,7.635,935,estimates,1953
5_14,female,21.598,935,estimates,1953
5_10,female,13.598,935,estimates,1953
5_11,female,15.622,935,estimates,1953
6_9,female,9.001,935,estimates,1953
6_10,female,11.062,935,estimates,1953
6_11,female,13.086,935,estimates,1953
6_12,female,15.088,935,estimates,1953
7_10,female,8.661,935,estimates,1953
7_12,female,12.687,935,estimates,1953
11_16,female,11.923,935,estimates,1953
11_17,female,13.835,935,estimates,1953
11_18,female,15.717,935,estimates,1953
12_14,female,5.975,935,estimates,1953
12_16,female,9.898,935,estimates,1953
12_17,female,11.811,935,estimates,1953
12_18,female,13.693,935,estimates,1953
13_17,female,9.809,935,estimates,1953
13_18,female,11.691,935,estimates,1953
13_19,female,13.544,935,estimates,1953
15_17,female,5.836,935,estimates,1953
18_23,female,10.741,935,estimates,1953
15_24,female,18.21,935,estimates,1953
15_49,female,48.452,935,estimates,1953
15_59,female,55.471,935,estimates,1953
15_64,female,58.009,935,estimates,1953
20_64,female,48.438,935,estimates,1953
20_69,female,50.382,935,estimates,1953
25_49,female,30.243,935,estimates,1953
25_64,female,39.8,935,estimates,1953
25_69,female,41.744,935,estimates,1953
15plus,female,62.458,935,estimates,1953
16plus,female,60.484,935,estimates,1953
17plus,female,58.535,935,estimates,1953
18plus,female,56.622,935,estimates,1953
20plus,female,52.887,935,estimates,1953
21plus,female,51.068,935,estimates,1953
25plus,female,44.248,935,estimates,1953
50plus,female,14.006,935,estimates,1953
60plus,female,6.987,935,estimates,1953
65plus,female,4.449,935,estimates,1953
70plus,female,2.505,935,estimates,1953
75plus,female,1.226,935,estimates,1953
80plus,female,0.494,935,estimates,1953
85plus,female,0.151,935,estimates,1953
90plus,female,0.035,935,estimates,1953
total,female,100,935,estimates,1953
0_1,male,7.243,935,estimates,1953
0_4,male,15.939,935,estimates,1953
0_14,male,37.848,935,estimates,1953
0_17,male,43.824,935,estimates,1953
0_19,male,47.625,935,estimates,1953
0_24,male,56.466,935,estimates,1953
3_4,male,5.541,935,estimates,1953
3_5,male,8.072,935,estimates,1953
3_6,male,10.477,935,estimates,1953
4_5,male,5.212,935,estimates,1953
4_6,male,7.617,935,estimates,1953
5_14,male,21.909,935,estimates,1953
5_10,male,13.714,935,estimates,1953
5_11,male,15.784,935,estimates,1953
6_9,male,9.079,935,estimates,1953
6_10,male,11.183,935,estimates,1953
6_11,male,13.253,935,estimates,1953
6_12,male,15.304,935,estimates,1953
7_10,male,8.778,935,estimates,1953
7_12,male,12.898,935,estimates,1953
11_16,male,12.216,935,estimates,1953
11_17,male,14.171,935,estimates,1953
11_18,male,16.089,935,estimates,1953
12_14,male,6.124,935,estimates,1953
12_16,male,10.145,935,estimates,1953
12_17,male,12.1,935,estimates,1953
12_18,male,14.018,935,estimates,1953
13_17,male,10.05,935,estimates,1953
13_18,male,11.968,935,estimates,1953
13_19,male,13.851,935,estimates,1953
15_17,male,5.976,935,estimates,1953
18_23,male,10.953,935,estimates,1953
15_24,male,18.618,935,estimates,1953
15_49,male,49.352,935,estimates,1953
15_59,male,56.291,935,estimates,1953
15_64,male,58.638,935,estimates,1953
20_64,male,48.861,935,estimates,1953
20_69,male,50.523,935,estimates,1953
25_49,male,30.734,935,estimates,1953
25_64,male,40.02,935,estimates,1953
25_69,male,41.682,935,estimates,1953
15plus,male,62.152,935,estimates,1953
16plus,male,60.127,935,estimates,1953
17plus,male,58.131,935,estimates,1953
18plus,male,56.176,935,estimates,1953
20plus,male,52.375,935,estimates,1953
21plus,male,50.529,935,estimates,1953
25plus,male,43.534,935,estimates,1953
50plus,male,12.8,935,estimates,1953
60plus,male,5.861,935,estimates,1953
65plus,male,3.514,935,estimates,1953
70plus,male,1.852,935,estimates,1953
75plus,male,0.849,935,estimates,1953
