global,variant,year,populationdensitypersqkm
900,constantfertility,2078,125.775965491568
900,constantmortality,2078,69.9199164504758
900,highvariant,2078,106.44185486424
900,instantreplacement,2078,76.6548761011696
900,lowvariant,2078,63.5828321213879
900,mediumvariant,2078,82.9006991107276
900,nochange,2078,105.187497609716
900,zeromigration,2078,82.8238122654909
900,constantfertility,2079,128.071297301164
900,constantmortality,2079,69.8037776211802
900,highvariant,2079,107.3453441652
900,instantreplacement,2079,76.7790263754301
900,lowvariant,2079,63.3115426512101
900,mediumvariant,2079,83.1024756186111
900,nochange,2079,106.608982490089
900,zeromigration,2079,83.0221749882156
900,constantfertility,2080,130.444277282364
900,constantmortality,2080,69.6815188713667
900,highvariant,2080,108.254768443495
900,instantreplacement,2080,76.9011923308096
900,lowvariant,2080,63.0310008641764
900,mediumvariant,2080,83.2984937983366
900,nochange,2080,108.07397619925
900,zeromigration,2080,83.2148347427486
900,constantfertility,2081,132.897884949757
900,constantmortality,2081,69.5532061302816
900,highvariant,2081,109.169989860345
900,instantreplacement,2081,77.0216033398984
900,lowvariant,2081,62.7414022266272
900,mediumvariant,2081,83.4887581620256
900,nochange,2081,109.583778935418
900,zeromigration,2081,83.4018008761766
900,constantfertility,2082,135.435273123372
900,constantmortality,2082,69.4188826743217
900,highvariant,2082,110.090959466531
900,instantreplacement,2082,77.1405316750328
900,lowvariant,2082,62.4430857241933
900,mediumvariant,2082,83.6734050187982
900,nochange,2082,111.139647289887
900,zeromigration,2082,83.583213817717
900,constantfertility,2083,138.059770434562
900,constantmortality,2083,69.2784775778541
900,highvariant,2083,111.017603353961
900,instantreplacement,2083,77.2583584682884
900,lowvariant,2083,62.1366264486879
900,mediumvariant,2083,83.8527428071448
900,nochange,2083,112.742727902692
900,zeromigration,2083,83.7593842734513
900,constantfertility,2084,140.774848618887
900,constantmortality,2084,69.131882388537
900,highvariant,2084,111.949864079561
900,instantreplacement,2084,77.3755034007872
900,lowvariant,2084,61.8227156156414
900,mediumvariant,2084,84.0271703232902
900,nochange,2084,114.394130463665
900,zeromigration,2084,83.9307126077012
900,constantfertility,2085,143.584027100497
900,constantmortality,2085,68.9790278257018
900,highvariant,2085,112.887632645229
900,instantreplacement,2085,77.4923194326698
900,lowvariant,2085,61.501951407861
900,mediumvariant,2085,84.1969958904238
900,nochange,2085,116.095037018007
900,zeromigration,2085,84.0975071820894
900,constantfertility,2086,146.490838248028
900,constantmortality,2086,68.8199694645437
900,highvariant,2086,113.830745277091
900,instantreplacement,2086,77.6090322930073
900,lowvariant,2086,61.1746936266939
900,mediumvariant,2086,84.3623206892224
900,nochange,2086,117.846827298731
900,zeromigration,2086,84.2598692464738
900,constantfertility,2087,149.498833162723
900,constantmortality,2087,68.6547801523829
900,highvariant,2087,114.778948404672
900,instantreplacement,2087,77.7257884758622
900,lowvariant,2087,60.8412008697499
900,mediumvariant,2087,84.5231409762394
900,nochange,2087,119.650919303483
900,zeromigration,2087,84.4177931587807
900,constantfertility,2088,152.6116446944
900,constantmortality,2088,68.4834383509489
900,highvariant,2088,115.731922635863
900,instantreplacement,2088,77.8427496489394
900,lowvariant,2088,60.5018418396317
900,mediumvariant,2088,84.6795224654918
900,nochange,2088,121.508606950412
900,zeromigration,2088,84.5713388679656
900,constantfertility,2089,155.832969231545
900,constantmortality,2089,68.305912928908
900,highvariant,2089,116.689293495313
900,instantreplacement,2089,77.9600432892844
900,lowvariant,2089,60.1569701344799
900,mediumvariant,2089,84.8315018381462
900,nochange,2089,123.421184880216
900,zeromigration,2089,84.7205358988312
900,constantfertility,2090,159.166615612095
900,constantmortality,2090,68.1222301441951
900,highvariant,2090,117.650708560955
900,instantreplacement,2090,78.0777725146349
900,lowvariant,2090,59.8069040164502
900,mediumvariant,2090,84.9790865272885
900,nochange,2090,125.390050282514
900,zeromigration,2090,84.8653843743657
900,constantfertility,2091,162.616523510142
900,constantmortality,2091,67.9324963429823
900,highvariant,2091,118.615863698877
900,instantreplacement,2091,78.1960206416635
900,lowvariant,2091,59.4519197934221
900,mediumvariant,2091,85.1222547486723
900,nochange,2091,127.416737278673
900,zeromigration,2091,85.0058560227062
900,constantfertility,2092,166.186756871447
900,constantmortality,2092,67.7368903421118
900,highvariant,2092,119.584493301154
900,instantreplacement,2092,78.3148488876391
900,lowvariant,2092,59.0922541403975
900,mediumvariant,2092,85.260954793537
900,nochange,2092,129.502905407054
