region,year,variant,gender,freq,agebroad,totaldeaths
1517,1985,estimates,male,5yearly,65plus,29018.516
1517,1985,estimates,female,5yearly,70plus,25661.257
1517,1985,estimates,male,5yearly,70plus,22023.679
1517,1985,estimates,female,5yearly,80plus,11261.046
1517,1985,estimates,male,5yearly,80plus,7679.623
1517,1985,estimates,female,5yearly,90plus,1670.064
1517,1985,estimates,male,5yearly,90plus,803.766
1517,1990,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1990,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1990,estimates,female,5yearly,0_4,21863.329
1517,1990,estimates,male,5yearly,0_4,24638.791
1517,1990,estimates,female,5yearly,0_14,24945.896
1517,1990,estimates,male,5yearly,0_14,27957.887
1517,1990,estimates,female,5yearly,0_19,26334.104
1517,1990,estimates,male,5yearly,0_19,29647.603
1517,1990,estimates,female,5yearly,0_24,28015.14
1517,1990,estimates,male,5yearly,0_24,31820.683
1517,1990,estimates,female,5yearly,5_14,3082.567
1517,1990,estimates,male,5yearly,5_14,3319.096
1517,1990,estimates,female,5yearly,15plus,58486.315
1517,1990,estimates,male,5yearly,15plus,67845.635
1517,1990,estimates,female,5yearly,15_24,3069.244
1517,1990,estimates,male,5yearly,15_24,3862.796
1517,1990,estimates,female,5yearly,15_49,11959.232
1517,1990,estimates,male,5yearly,15_49,17273.527
1517,1990,estimates,female,5yearly,15_59,18329.316
1517,1990,estimates,male,5yearly,15_59,27202.013
1517,1990,estimates,female,5yearly,15_64,23295.823
1517,1990,estimates,male,5yearly,15_64,34408.313
1517,1990,estimates,female,5yearly,20plus,57098.107
1517,1990,estimates,male,5yearly,20plus,66155.919
1517,1990,estimates,female,5yearly,20_64,21907.615
1517,1990,estimates,male,5yearly,20_64,32718.597
1517,1990,estimates,female,5yearly,20_69,28257.569
1517,1990,estimates,male,5yearly,20_69,40979.359
1517,1990,estimates,female,5yearly,25plus,55417.071
1517,1990,estimates,male,5yearly,25plus,63982.839
1517,1990,estimates,female,5yearly,25_69,26576.533
1517,1990,estimates,male,5yearly,25_69,38806.279
1517,1990,estimates,female,5yearly,40plus,50417.948
1517,1990,estimates,male,5yearly,40plus,56707.153
1517,1990,estimates,female,5yearly,50plus,46527.083
1517,1990,estimates,male,5yearly,50plus,50572.108
1517,1990,estimates,female,5yearly,60plus,40156.999
1517,1990,estimates,male,5yearly,60plus,40643.622
1517,1990,estimates,female,5yearly,65plus,35190.492
1517,1990,estimates,male,5yearly,65plus,33437.322
1517,1990,estimates,female,5yearly,70plus,28840.538
1517,1990,estimates,male,5yearly,70plus,25176.56
1517,1990,estimates,female,5yearly,80plus,13562.735
1517,1990,estimates,male,5yearly,80plus,9161.594
1517,1990,estimates,female,5yearly,90plus,2178.287
1517,1990,estimates,male,5yearly,90plus,1032.706
1517,1995,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1995,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1995,estimates,female,5yearly,0_4,18731.22
1517,1995,estimates,male,5yearly,0_4,21028.634
1517,1995,estimates,female,5yearly,0_14,21614.42
1517,1995,estimates,male,5yearly,0_14,24189.248
1517,1995,estimates,female,5yearly,0_19,23008.28
1517,1995,estimates,male,5yearly,0_19,25923.12
1517,1995,estimates,female,5yearly,0_24,24711.896
1517,1995,estimates,male,5yearly,0_24,28195.742
1517,1995,estimates,female,5yearly,5_14,2883.2
1517,1995,estimates,male,5yearly,5_14,3160.614
1517,1995,estimates,female,5yearly,15plus,63776.785
1517,1995,estimates,male,5yearly,15plus,75015.36
1517,1995,estimates,female,5yearly,15_24,3097.476
1517,1995,estimates,male,5yearly,15_24,4006.494
1517,1995,estimates,female,5yearly,15_49,12970.618
1517,1995,estimates,male,5yearly,15_49,19451.22
1517,1995,estimates,female,5yearly,15_59,19500.429
1517,1995,estimates,male,5yearly,15_59,29666.063
1517,1995,estimates,female,5yearly,15_64,24698.086
1517,1995,estimates,male,5yearly,15_64,37183.269
1517,1995,estimates,female,5yearly,20plus,62382.925
1517,1995,estimates,male,5yearly,20plus,73281.488
1517,1995,estimates,female,5yearly,20_64,23304.226
1517,1995,estimates,male,5yearly,20_64,35449.397
1517,1995,estimates,female,5yearly,20_69,30065.055
1517,1995,estimates,male,5yearly,20_69,44517.47
1517,1995,estimates,female,5yearly,25plus,60679.309
1517,1995,estimates,male,5yearly,25plus,71008.866
1517,1995,estimates,female,5yearly,25_69,28361.439
1517,1995,estimates,male,5yearly,25_69,42244.848
1517,1995,estimates,female,5yearly,40plus,55261.356
1517,1995,estimates,male,5yearly,40plus,62877.753
1517,1995,estimates,female,5yearly,50plus,50806.167
1517,1995,estimates,male,5yearly,50plus,55564.14
1517,1995,estimates,female,5yearly,60plus,44276.356
1517,1995,estimates,male,5yearly,60plus,45349.297
1517,1995,estimates,female,5yearly,65plus,39078.699
1517,1995,estimates,male,5yearly,65plus,37832.091
1517,1995,estimates,female,5yearly,70plus,32317.87
1517,1995,estimates,male,5yearly,70plus,28764.018
1517,1995,estimates,female,5yearly,80plus,15632.521
1517,1995,estimates,male,5yearly,80plus,10792.965
1517,1995,estimates,female,5yearly,90plus,2789.786
1517,1995,estimates,male,5yearly,90plus,1319.266
