continent,year,variant,gender,freq,agebroad,totaldeaths
908,1985,estimates,female,5yearly,80plus,8308.02
908,1985,estimates,male,5yearly,80plus,4296.92
908,1985,estimates,female,5yearly,90plus,1792.243
908,1985,estimates,male,5yearly,90plus,599.612
908,1990,estimates,female,5yearly,0_4,282.364
908,1990,estimates,male,5yearly,0_4,387.607
908,1990,estimates,female,5yearly,0_14,338.588
908,1990,estimates,male,5yearly,0_14,489.531
908,1990,estimates,female,5yearly,0_19,387.695
908,1990,estimates,male,5yearly,0_19,623.22
908,1990,estimates,female,5yearly,0_24,453.134
908,1990,estimates,male,5yearly,0_24,852.077
908,1990,estimates,female,5yearly,5_14,56.224
908,1990,estimates,male,5yearly,5_14,101.924
908,1990,estimates,female,5yearly,15plus,19807.416
908,1990,estimates,male,5yearly,15plus,20066.982
908,1990,estimates,female,5yearly,15_24,114.546
908,1990,estimates,male,5yearly,15_24,362.546
908,1990,estimates,female,5yearly,15_49,1068.691
908,1990,estimates,male,5yearly,15_49,3090.692
908,1990,estimates,female,5yearly,15_59,2304.266
908,1990,estimates,male,5yearly,15_59,5871.976
908,1990,estimates,female,5yearly,15_64,3440.225
908,1990,estimates,male,5yearly,15_64,8021.037
908,1990,estimates,female,5yearly,20plus,19758.309
908,1990,estimates,male,5yearly,20plus,19933.293
908,1990,estimates,female,5yearly,20_64,3391.118
908,1990,estimates,male,5yearly,20_64,7887.348
908,1990,estimates,female,5yearly,20_69,5136.751
908,1990,estimates,male,5yearly,20_69,10391.511
908,1990,estimates,female,5yearly,25plus,19692.87
908,1990,estimates,male,5yearly,25plus,19704.436
908,1990,estimates,female,5yearly,25_69,5071.312
908,1990,estimates,male,5yearly,25_69,10162.654
908,1990,estimates,female,5yearly,40plus,19315.116
908,1990,estimates,male,5yearly,40plus,18466.921
908,1990,estimates,female,5yearly,50plus,18738.725
908,1990,estimates,male,5yearly,50plus,16976.29
908,1990,estimates,female,5yearly,60plus,17503.15
908,1990,estimates,male,5yearly,60plus,14195.006
908,1990,estimates,female,5yearly,65plus,16367.191
908,1990,estimates,male,5yearly,65plus,12045.945
908,1990,estimates,female,5yearly,70plus,14621.558
908,1990,estimates,male,5yearly,70plus,9541.782
908,1990,estimates,female,5yearly,80plus,9523.128
908,1990,estimates,male,5yearly,80plus,4838.249
908,1990,estimates,female,5yearly,90plus,2251.056
908,1990,estimates,male,5yearly,90plus,741.948
908,1995,estimates,female,5yearly,0_4,205.84
908,1995,estimates,male,5yearly,0_4,277.558
908,1995,estimates,female,5yearly,0_14,255.64
908,1995,estimates,male,5yearly,0_14,366.1
908,1995,estimates,female,5yearly,0_19,305.237
908,1995,estimates,male,5yearly,0_19,497.023
908,1995,estimates,female,5yearly,0_24,372.144
908,1995,estimates,male,5yearly,0_24,731.291
908,1995,estimates,female,5yearly,5_14,49.8
908,1995,estimates,male,5yearly,5_14,88.542
908,1995,estimates,female,5yearly,15plus,20464.828
908,1995,estimates,male,5yearly,15plus,20945.532
908,1995,estimates,female,5yearly,15_24,116.504
908,1995,estimates,male,5yearly,15_24,365.191
908,1995,estimates,female,5yearly,15_49,1148.418
908,1995,estimates,male,5yearly,15_49,3343.701
908,1995,estimates,female,5yearly,15_59,2331.981
908,1995,estimates,male,5yearly,15_59,6007.9
908,1995,estimates,female,5yearly,15_64,3424.744
908,1995,estimates,male,5yearly,15_64,8133.872
908,1995,estimates,female,5yearly,20plus,20415.231
908,1995,estimates,male,5yearly,20plus,20814.609
908,1995,estimates,female,5yearly,20_64,3375.147
908,1995,estimates,male,5yearly,20_64,8002.949
908,1995,estimates,female,5yearly,20_69,5040.421
908,1995,estimates,male,5yearly,20_69,10621.742
908,1995,estimates,female,5yearly,25plus,20348.324
908,1995,estimates,male,5yearly,25plus,20580.341
908,1995,estimates,female,5yearly,25_69,4973.514
908,1995,estimates,male,5yearly,25_69,10387.474
908,1995,estimates,female,5yearly,40plus,19975.242
908,1995,estimates,male,5yearly,40plus,19365.148
908,1995,estimates,female,5yearly,50plus,19316.41
908,1995,estimates,male,5yearly,50plus,17601.831
908,1995,estimates,female,5yearly,60plus,18132.847
908,1995,estimates,male,5yearly,60plus,14937.632
908,1995,estimates,female,5yearly,65plus,17040.084
908,1995,estimates,male,5yearly,65plus,12811.66
908,1995,estimates,female,5yearly,70plus,15374.81
908,1995,estimates,male,5yearly,70plus,10192.867
908,1995,estimates,female,5yearly,80plus,9961.52
908,1995,estimates,male,5yearly,80plus,4883.15
908,1995,estimates,female,5yearly,90plus,2809.866
908,1995,estimates,male,5yearly,90plus,932.727
