global,year,variant,freq,age1yearinterval,lifeexpectancy
900,2020,medium_variant,5yearly,30,47.431673760111
900,2020,medium_variant,5yearly,35,42.8291279207113
900,2020,medium_variant,5yearly,40,38.2717434757475
900,2020,medium_variant,5yearly,45,33.7885908964053
900,2020,medium_variant,5yearly,50,29.3986385654876
900,2020,medium_variant,5yearly,55,25.1372878617715
900,2020,medium_variant,5yearly,60,21.0863076579658
900,2020,medium_variant,5yearly,65,17.3392144648562
900,2020,medium_variant,5yearly,70,13.9541672436702
900,2020,medium_variant,5yearly,75,10.9721758560407
900,2020,medium_variant,5yearly,80,8.44715426029068
900,2020,medium_variant,5yearly,85,6.39086564514606
900,2020,medium_variant,5yearly,90,4.7850784851759
900,2020,medium_variant,5yearly,95,3.583541859802
900,2020,medium_variant,5yearly,100plus,2.72053132326467
900,2025,medium_variant,5yearly,0,73.8376886995054
900,2025,medium_variant,5yearly,1,74.7002174906694
900,2025,medium_variant,5yearly,5,71.4184933002869
900,2025,medium_variant,5yearly,10,66.719835958337
900,2025,medium_variant,5yearly,15,61.9270808809842
900,2025,medium_variant,5yearly,20,57.200411762153
900,2025,medium_variant,5yearly,25,52.5545397323176
900,2025,medium_variant,5yearly,30,47.9301184555007
900,2025,medium_variant,5yearly,35,43.3176418822625
900,2025,medium_variant,5yearly,40,38.7344204626468
900,2025,medium_variant,5yearly,45,34.2175332449991
900,2025,medium_variant,5yearly,50,29.81694597654
900,2025,medium_variant,5yearly,55,25.5539137453102
900,2025,medium_variant,5yearly,60,21.4757518819103
900,2025,medium_variant,5yearly,65,17.6811133238734
900,2025,medium_variant,5yearly,70,14.2494405120976
900,2025,medium_variant,5yearly,75,11.2259064736811
900,2025,medium_variant,5yearly,80,8.657048329563
900,2025,medium_variant,5yearly,85,6.55730934308505
900,2025,medium_variant,5yearly,90,4.91126895772914
900,2025,medium_variant,5yearly,95,3.67495962069771
900,2025,medium_variant,5yearly,100plus,2.78390470122023
900,2030,medium_variant,5yearly,0,74.6977721586144
900,2030,medium_variant,5yearly,1,75.3859250831971
900,2030,medium_variant,5yearly,5,72.0264630770301
900,2030,medium_variant,5yearly,10,67.3035499141608
900,2030,medium_variant,5yearly,15,62.4944706320023
900,2030,medium_variant,5yearly,20,57.7469346080915
900,2030,medium_variant,5yearly,25,53.0748924749416
900,2030,medium_variant,5yearly,30,48.4276660271816
900,2030,medium_variant,5yearly,35,43.7998956928622
900,2030,medium_variant,5yearly,40,39.2079334979858
900,2030,medium_variant,5yearly,45,34.6669035036699
900,2030,medium_variant,5yearly,50,30.2328336118503
900,2030,medium_variant,5yearly,55,25.9588330219187
900,2030,medium_variant,5yearly,60,21.8748974899824
900,2030,medium_variant,5yearly,65,18.0467596496929
900,2030,medium_variant,5yearly,70,14.5684426106261
900,2030,medium_variant,5yearly,75,11.4998619115062
900,2030,medium_variant,5yearly,80,8.88360800238147
900,2030,medium_variant,5yearly,85,6.73701525525994
900,2030,medium_variant,5yearly,90,5.04768117404894
900,2030,medium_variant,5yearly,95,3.77407826948626
900,2030,medium_variant,5yearly,100plus,2.85304822692713
900,2035,medium_variant,5yearly,0,75.4815773826282
900,2035,medium_variant,5yearly,1,76.0088701463104
900,2035,medium_variant,5yearly,5,72.5771410981209
900,2035,medium_variant,5yearly,10,67.831387715702
900,2035,medium_variant,5yearly,15,63.0079127955764
900,2035,medium_variant,5yearly,20,58.2440299722581
900,2035,medium_variant,5yearly,25,53.5500802021207
900,2035,medium_variant,5yearly,30,48.8785514800268
900,2035,medium_variant,5yearly,35,44.2287211950396
900,2035,medium_variant,5yearly,40,39.6214024186708
900,2035,medium_variant,5yearly,45,35.0731364687159
900,2035,medium_variant,5yearly,50,30.6148352948244
900,2035,medium_variant,5yearly,55,26.3056020395597
900,2035,medium_variant,5yearly,60,22.2076661351579
900,2035,medium_variant,5yearly,65,18.3669868391551
900,2035,medium_variant,5yearly,70,14.8491316592107
900,2035,medium_variant,5yearly,75,11.7327407635923
900,2035,medium_variant,5yearly,80,9.06834576095058
900,2035,medium_variant,5yearly,85,6.87639821399034
900,2035,medium_variant,5yearly,90,5.14732730702074
900,2035,medium_variant,5yearly,95,3.84147008795293
900,2035,medium_variant,5yearly,100plus,2.89619580325071
900,2040,medium_variant,5yearly,0,76.2250024311431
900,2040,medium_variant,5yearly,1,76.6135474100473
900,2040,medium_variant,5yearly,5,73.1176983812968
900,2040,medium_variant,5yearly,10,68.3492143909491
900,2040,medium_variant,5yearly,15,63.5127492586604
900,2040,medium_variant,5yearly,20,58.7356122066805
900,2040,medium_variant,5yearly,25,54.025654593914
900,2040,medium_variant,5yearly,30,49.3352579768136
900,2040,medium_variant,5yearly,35,44.6640917002337
900,2040,medium_variant,5yearly,40,40.0368113608529
900,2040,medium_variant,5yearly,45,35.4757658073212
900,2040,medium_variant,5yearly,50,31.0128877570286
900,2040,medium_variant,5yearly,55,26.6784403447905
900,2040,medium_variant,5yearly,60,22.5400691919927
900,2040,medium_variant,5yearly,65,18.6781623298861
900,2040,medium_variant,5yearly,70,15.1302852709696
900,2040,medium_variant,5yearly,75,11.9681500197399
900,2040,medium_variant,5yearly,80,9.25707683279246
900,2040,medium_variant,5yearly,85,7.02052966949443
900,2040,medium_variant,5yearly,90,5.25180373079779
900,2040,medium_variant,5yearly,95,3.9132620430172
900,2040,medium_variant,5yearly,100plus,2.94302642894485
900,2045,medium_variant,5yearly,0,76.9452797144591
900,2045,medium_variant,5yearly,1,77.2142538272027
900,2045,medium_variant,5yearly,5,73.6628079266937
900,2045,medium_variant,5yearly,10,68.8715433956627
900,2045,medium_variant,5yearly,15,64.0219402333577
900,2045,medium_variant,5yearly,20,59.2316252916758
900,2045,medium_variant,5yearly,25,54.5070227680033
900,2045,medium_variant,5yearly,30,49.8008596159473
900,2045,medium_variant,5yearly,35,45.1108530197776
900,2045,medium_variant,5yearly,40,40.461691679443
900,2045,medium_variant,5yearly,45,35.880106598039
900,2045,medium_variant,5yearly,50,31.4043838157227
900,2045,medium_variant,5yearly,55,27.0653713782487
900,2045,medium_variant,5yearly,60,22.8970497271757
900,2045,medium_variant,5yearly,65,18.9888228728511
900,2045,medium_variant,5yearly,70,15.4137389068549
900,2045,medium_variant,5yearly,75,12.2194183886603
900,2045,medium_variant,5yearly,80,9.47228245529754
900,2045,medium_variant,5yearly,85,7.19778223602615
900,2045,medium_variant,5yearly,90,5.39175996075961
900,2045,medium_variant,5yearly,95,4.01911643581398
900,2045,medium_variant,5yearly,100plus,3.01987078094309
900,2050,medium_variant,5yearly,0,77.6214081351791
900,2050,medium_variant,5yearly,1,77.7808040824828
900,2050,medium_variant,5yearly,5,74.1795453611079
900,2050,medium_variant,5yearly,10,69.3668641217843
900,2050,medium_variant,5yearly,15,64.504792155312
900,2050,medium_variant,5yearly,20,59.7015953505921
900,2050,medium_variant,5yearly,25,54.9628684367102
900,2050,medium_variant,5yearly,30,50.2429563796852
900,2050,medium_variant,5yearly,35,45.5382554621175
900,2050,medium_variant,5yearly,40,40.8711139503169
900,2050,medium_variant,5yearly,45,36.2683268287176
900,2050,medium_variant,5yearly,50,31.7720217678717
900,2050,medium_variant,5yearly,55,27.4199642910454
900,2050,medium_variant,5yearly,60,23.2453891530049
900,2050,medium_variant,5yearly,65,19.3022739404178
900,2050,medium_variant,5yearly,70,15.681050661587
900,2050,medium_variant,5yearly,75,12.4464593563591
900,2050,medium_variant,5yearly,80,9.65733655873016
900,2050,medium_variant,5yearly,85,7.34176071643344
900,2050,medium_variant,5yearly,90,5.49827068973617
900,2050,medium_variant,5yearly,95,4.09389118131389
900,2050,medium_variant,5yearly,100plus,3.0697027843826
900,2055,medium_variant,5yearly,0,78.2553110867612
900,2055,medium_variant,5yearly,1,78.3218746924116
900,2055,medium_variant,5yearly,5,74.6798871132843
900,2055,medium_variant,5yearly,10,69.850210031923
900,2055,medium_variant,5yearly,15,64.9771514683707
900,2055,medium_variant,5yearly,20,60.1614282935253
900,2055,medium_variant,5yearly,25,55.408525510241
900,2055,medium_variant,5yearly,30,50.6751397228456
900,2055,medium_variant,5yearly,35,45.9572250272946
900,2055,medium_variant,5yearly,40,41.2756157535642
900,2055,medium_variant,5yearly,45,36.6545090645093
900,2055,medium_variant,5yearly,50,32.1350835237386
900,2055,medium_variant,5yearly,55,27.7591701139062
900,2055,medium_variant,5yearly,60,23.5677060547053
900,2055,medium_variant,5yearly,65,19.6139370307958
900,2055,medium_variant,5yearly,70,15.9542681575338
900,2055,medium_variant,5yearly,75,12.6771840095519
900,2055,medium_variant,5yearly,80,9.84401933575729
900,2055,medium_variant,5yearly,85,7.48567047418712
900,2055,medium_variant,5yearly,90,5.60351947361284
900,2055,medium_variant,5yearly,95,4.16677094016859
900,2055,medium_variant,5yearly,100plus,3.11751497617747
900,2060,medium_variant,5yearly,0,78.8514442425155
900,2060,medium_variant,5yearly,1,78.8366636235372
900,2060,medium_variant,5yearly,5,75.1603031432438
900,2060,medium_variant,5yearly,10,70.316738803499
