country,year,variant,agebroad,population
512,2015,medium variant,7_12,316.185
512,2015,estimates,11_16,263.749
512,2015,medium variant,11_16,263.749
512,2015,estimates,11_17,309.088
512,2015,medium variant,11_17,309.088
512,2015,estimates,11_18,362.017
512,2015,medium variant,11_18,362.017
512,2015,estimates,12_14,131.629
512,2015,medium variant,12_14,131.629
512,2015,estimates,12_16,215.968
512,2015,medium variant,12_16,215.968
512,2015,estimates,12_17,261.307
512,2015,medium variant,12_17,261.307
512,2015,estimates,12_18,314.236
512,2015,medium variant,12_18,314.236
512,2015,estimates,13_17,215.821
512,2015,medium variant,13_17,215.821
512,2015,estimates,13_18,268.75
512,2015,medium variant,13_18,268.75
512,2015,estimates,13_19,332.308
512,2015,medium variant,13_19,332.308
512,2015,constant-fertility,15plus,3569.046
512,2015,constant-mortality,15plus,3569.046
512,2015,estimates,15plus,3569.046
512,2015,high variant,15plus,3569.046
512,2015,instant-replacement,15plus,3569.046
512,2015,low variant,15plus,3569.046
512,2015,medium variant,15plus,3569.046
512,2015,no change,15plus,3569.046
512,2015,zero-migration,15plus,3569.046
512,2015,estimates,15_17,129.678
512,2015,medium variant,15_17,129.678
512,2015,constant-fertility,15_24,730.278
512,2015,constant-mortality,15_24,730.278
512,2015,estimates,15_24,730.278
512,2015,high variant,15_24,730.278
512,2015,instant-replacement,15_24,730.278
512,2015,low variant,15_24,730.278
512,2015,medium variant,15_24,730.278
512,2015,no change,15_24,730.278
512,2015,zero-migration,15_24,730.278
512,2015,constant-fertility,15_49,3116.675
512,2015,constant-mortality,15_49,3116.675
512,2015,estimates,15_49,3116.675
512,2015,high variant,15_49,3116.675
512,2015,instant-replacement,15_49,3116.675
512,2015,low variant,15_49,3116.675
512,2015,medium variant,15_49,3116.675
512,2015,no change,15_49,3116.675
512,2015,zero-migration,15_49,3116.675
512,2015,constant-fertility,15_59,3373.431
512,2015,constant-mortality,15_59,3373.431
512,2015,estimates,15_59,3373.431
512,2015,high variant,15_59,3373.431
512,2015,instant-replacement,15_59,3373.431
512,2015,low variant,15_59,3373.431
512,2015,medium variant,15_59,3373.431
512,2015,no change,15_59,3373.431
512,2015,zero-migration,15_59,3373.431
512,2015,constant-fertility,15_64,3453.143
512,2015,constant-mortality,15_64,3453.143
512,2015,estimates,15_64,3453.143
512,2015,high variant,15_64,3453.143
512,2015,instant-replacement,15_64,3453.143
512,2015,low variant,15_64,3453.143
512,2015,medium variant,15_64,3453.143
512,2015,no change,15_64,3453.143
512,2015,zero-migration,15_64,3453.143
512,2015,estimates,16plus,3526.88
512,2015,medium variant,16plus,3526.88
512,2015,estimates,17plus,3484.707
512,2015,medium variant,17plus,3484.707
512,2015,estimates,18plus,3439.368
512,2015,medium variant,18plus,3439.368
512,2015,estimates,18_23,479.16
512,2015,medium variant,18_23,479.16
512,2015,constant-fertility,20plus,3322.881
512,2015,constant-mortality,20plus,3322.881
512,2015,estimates,20plus,3322.881
512,2015,high variant,20plus,3322.881
512,2015,instant-replacement,20plus,3322.881
512,2015,low variant,20plus,3322.881
512,2015,medium variant,20plus,3322.881
512,2015,no change,20plus,3322.881
512,2015,zero-migration,20plus,3322.881
512,2015,constant-fertility,20_64,3206.978
512,2015,constant-mortality,20_64,3206.978
512,2015,estimates,20_64,3206.978
512,2015,high variant,20_64,3206.978
512,2015,instant-replacement,20_64,3206.978
512,2015,low variant,20_64,3206.978
512,2015,medium variant,20_64,3206.978
512,2015,no change,20_64,3206.978
512,2015,zero-migration,20_64,3206.978
512,2015,constant-fertility,20_69,3253.945
512,2015,constant-mortality,20_69,3253.945
512,2015,estimates,20_69,3253.945
512,2015,high variant,20_69,3253.945
512,2015,instant-replacement,20_69,3253.945
512,2015,low variant,20_69,3253.945
512,2015,medium variant,20_69,3253.945
512,2015,no change,20_69,3253.945
512,2015,zero-migration,20_69,3253.945
512,2015,estimates,21plus,3248.844
512,2015,medium variant,21plus,3248.844
512,2015,constant-fertility,25plus,2838.768
512,2015,constant-mortality,25plus,2838.768
512,2015,estimates,25plus,2838.768
512,2015,high variant,25plus,2838.768
512,2015,instant-replacement,25plus,2838.768
512,2015,low variant,25plus,2838.768
512,2015,medium variant,25plus,2838.768
512,2015,no change,25plus,2838.768
512,2015,zero-migration,25plus,2838.768
512,2015,constant-fertility,25_49,2386.397
512,2015,constant-mortality,25_49,2386.397
512,2015,estimates,25_49,2386.397
512,2015,high variant,25_49,2386.397
512,2015,instant-replacement,25_49,2386.397
512,2015,low variant,25_49,2386.397
512,2015,medium variant,25_49,2386.397
512,2015,no change,25_49,2386.397
512,2015,zero-migration,25_49,2386.397
512,2015,constant-fertility,25_64,2722.865
512,2015,constant-mortality,25_64,2722.865
512,2015,estimates,25_64,2722.865
512,2015,high variant,25_64,2722.865
512,2015,instant-replacement,25_64,2722.865
512,2015,low variant,25_64,2722.865
512,2015,medium variant,25_64,2722.865
512,2015,no change,25_64,2722.865
512,2015,zero-migration,25_64,2722.865
512,2015,constant-fertility,25_69,2769.832
512,2015,constant-mortality,25_69,2769.832
512,2015,estimates,25_69,2769.832
512,2015,high variant,25_69,2769.832
512,2015,instant-replacement,25_69,2769.832
512,2015,low variant,25_69,2769.832
512,2015,medium variant,25_69,2769.832
512,2015,no change,25_69,2769.832
512,2015,zero-migration,25_69,2769.832
512,2015,constant-fertility,50plus,452.371
512,2015,constant-mortality,50plus,452.371
512,2015,estimates,50plus,452.371
512,2015,high variant,50plus,452.371
512,2015,instant-replacement,50plus,452.371
512,2015,low variant,50plus,452.371
512,2015,medium variant,50plus,452.371
512,2015,no change,50plus,452.371
512,2015,zero-migration,50plus,452.371
512,2015,constant-fertility,60plus,195.615
512,2015,constant-mortality,60plus,195.615
512,2015,estimates,60plus,195.615
512,2015,high variant,60plus,195.615
512,2015,instant-replacement,60plus,195.615
512,2015,low variant,60plus,195.615
512,2015,medium variant,60plus,195.615
512,2015,no change,60plus,195.615
512,2015,zero-migration,60plus,195.615
512,2015,constant-fertility,65plus,115.903
512,2015,constant-mortality,65plus,115.903
512,2015,estimates,65plus,115.903
512,2015,high variant,65plus,115.903
512,2015,instant-replacement,65plus,115.903
512,2015,low variant,65plus,115.903
512,2015,medium variant,65plus,115.903
512,2015,no change,65plus,115.903
512,2015,zero-migration,65plus,115.903
512,2015,constant-fertility,70plus,68.936
512,2015,constant-mortality,70plus,68.936
512,2015,estimates,70plus,68.936
512,2015,high variant,70plus,68.936
512,2015,instant-replacement,70plus,68.936
512,2015,low variant,70plus,68.936
512,2015,medium variant,70plus,68.936
512,2015,no change,70plus,68.936
512,2015,zero-migration,70plus,68.936
512,2015,constant-fertility,75plus,34.119
512,2015,constant-mortality,75plus,34.119
512,2015,estimates,75plus,34.119
512,2015,high variant,75plus,34.119
512,2015,instant-replacement,75plus,34.119
512,2015,low variant,75plus,34.119
512,2015,medium variant,75plus,34.119
512,2015,no change,75plus,34.119
512,2015,zero-migration,75plus,34.119
512,2015,constant-fertility,80plus,16.192
512,2015,constant-mortality,80plus,16.192
512,2015,estimates,80plus,16.192
512,2015,high variant,80plus,16.192
512,2015,instant-replacement,80plus,16.192
512,2015,low variant,80plus,16.192
512,2015,medium variant,80plus,16.192
512,2015,no change,80plus,16.192
512,2015,zero-migration,80plus,16.192
512,2015,constant-fertility,85plus,7.127
512,2015,constant-mortality,85plus,7.127
512,2015,estimates,85plus,7.127
512,2015,high variant,85plus,7.127
512,2015,instant-replacement,85plus,7.127
512,2015,low variant,85plus,7.127
512,2015,medium variant,85plus,7.127
512,2015,no change,85plus,7.127
512,2015,zero-migration,85plus,7.127
512,2015,constant-fertility,90plus,2.481
512,2015,constant-mortality,90plus,2.481
512,2015,estimates,90plus,2.481
512,2015,high variant,90plus,2.481
512,2015,instant-replacement,90plus,2.481
512,2015,low variant,90plus,2.481
512,2015,medium variant,90plus,2.481
512,2015,no change,90plus,2.481
512,2015,zero-migration,90plus,2.481
512,2020,constant-fertility,total,4868.186
512,2020,constant-mortality,total,4809.103
512,2020,high variant,total,4856.103
512,2020,instant-replacement,total,4746.148
512,2020,low variant,total,4775.65
512,2020,medium variant,total,4815.876
512,2020,no change,total,4861.326
512,2020,zero-migration,total,4834.633
512,2020,medium variant,0_1,157.192
512,2020,constant-fertility,0_4,457.428
512,2020,constant-mortality,0_4,404.46
