country,year,variant,gender,freq,age1yearinterval,survivorage
116,2000,estimates,male,5yearly,85,7609.0073
116,2000,estimates,female,5yearly,90,3964.4873
116,2000,estimates,male,5yearly,90,2118.1159
116,2000,estimates,female,5yearly,95,780.30442
116,2000,estimates,male,5yearly,95,350.2056
116,2000,estimates,female,5yearly,100plus,80.633649
116,2000,estimates,male,5yearly,100plus,31.101211
116,2005,estimates,female,5yearly,0,100000
116,2005,estimates,male,5yearly,0,100000
116,2005,estimates,female,5yearly,1,96028.805
116,2005,estimates,male,5yearly,1,95011.995
116,2005,estimates,female,5yearly,5,95181.132
116,2005,estimates,male,5yearly,5,94076.194
116,2005,estimates,female,5yearly,10,94253.848
116,2005,estimates,male,5yearly,10,92806.327
116,2005,estimates,female,5yearly,15,93466.829
116,2005,estimates,male,5yearly,15,91813.075
116,2005,estimates,female,5yearly,20,92735.993
116,2005,estimates,male,5yearly,20,90904.958
116,2005,estimates,female,5yearly,25,91982.756
116,2005,estimates,male,5yearly,25,89889.594
116,2005,estimates,female,5yearly,30,91105.167
116,2005,estimates,male,5yearly,30,88501.594
116,2005,estimates,female,5yearly,35,89984.374
116,2005,estimates,male,5yearly,35,86605.183
116,2005,estimates,female,5yearly,40,88505.029
116,2005,estimates,male,5yearly,40,84283.244
116,2005,estimates,female,5yearly,45,86566.931
116,2005,estimates,male,5yearly,45,81663.811
116,2005,estimates,female,5yearly,50,84083.39
116,2005,estimates,male,5yearly,50,78745.228
116,2005,estimates,female,5yearly,55,80965.953
116,2005,estimates,male,5yearly,55,75355.344
116,2005,estimates,female,5yearly,60,76801.627
116,2005,estimates,male,5yearly,60,70240.278
116,2005,estimates,female,5yearly,65,70286.696
116,2005,estimates,male,5yearly,65,61520.306
116,2005,estimates,female,5yearly,70,60855.549
116,2005,estimates,male,5yearly,70,50008.71
116,2005,estimates,female,5yearly,75,47668.948
116,2005,estimates,male,5yearly,75,36095.831
116,2005,estimates,female,5yearly,80,31517.655
116,2005,estimates,male,5yearly,80,21538.954
116,2005,estimates,female,5yearly,85,16054.992
116,2005,estimates,male,5yearly,85,9656.067
116,2005,estimates,female,5yearly,90,5546.0619
116,2005,estimates,male,5yearly,90,2834.1556
116,2005,estimates,female,5yearly,95,1160.3494
116,2005,estimates,male,5yearly,95,491.63722
116,2005,estimates,female,5yearly,100plus,125.09353
116,2005,estimates,male,5yearly,100plus,45.59196
116,2010,estimates,female,5yearly,0,100000
116,2010,estimates,male,5yearly,0,100000
116,2010,estimates,female,5yearly,1,97375.947
116,2010,estimates,male,5yearly,1,96659.527
116,2010,estimates,female,5yearly,5,96912.25
116,2010,estimates,male,5yearly,5,96126.984
116,2010,estimates,female,5yearly,10,96077.119
116,2010,estimates,male,5yearly,10,94885.969
116,2010,estimates,female,5yearly,15,95447.312
116,2010,estimates,male,5yearly,15,94077.288
116,2010,estimates,female,5yearly,20,94880.623
116,2010,estimates,male,5yearly,20,93343.965
116,2010,estimates,female,5yearly,25,94259.037
116,2010,estimates,male,5yearly,25,92441.921
116,2010,estimates,female,5yearly,30,93472.648
116,2010,estimates,male,5yearly,30,91190.141
116,2010,estimates,female,5yearly,35,92455.119
116,2010,estimates,male,5yearly,35,89588.154
116,2010,estimates,female,5yearly,40,91150.421
116,2010,estimates,male,5yearly,40,87542.119
116,2010,estimates,female,5yearly,45,89502.024
116,2010,estimates,male,5yearly,45,85046.518
116,2010,estimates,female,5yearly,50,87386.625
116,2010,estimates,male,5yearly,50,82181.265
116,2010,estimates,female,5yearly,55,84645.597
116,2010,estimates,male,5yearly,55,78722.115
116,2010,estimates,female,5yearly,60,80626.227
116,2010,estimates,male,5yearly,60,73575.961
116,2010,estimates,female,5yearly,65,73959.779
116,2010,estimates,male,5yearly,65,65154.13
116,2010,estimates,female,5yearly,70,64058.007
116,2010,estimates,male,5yearly,70,54205.951
116,2010,estimates,female,5yearly,75,49903.091
116,2010,estimates,male,5yearly,75,40558.174
116,2010,estimates,female,5yearly,80,32750.663
116,2010,estimates,male,5yearly,80,25635.736
116,2010,estimates,female,5yearly,85,16917.181
116,2010,estimates,male,5yearly,85,12417.918
116,2010,estimates,female,5yearly,90,6177.7091
116,2010,estimates,male,5yearly,90,4054.7799
116,2010,estimates,female,5yearly,95,1462.5781
116,2010,estimates,male,5yearly,95,811.09376
116,2010,estimates,female,5yearly,100plus,178.98254
116,2010,estimates,male,5yearly,100plus,80.448183
116,2015,medium_variant,female,5yearly,0,100000
116,2015,medium_variant,male,5yearly,0,100000
116,2015,medium_variant,female,5yearly,1,97994.69
116,2015,medium_variant,male,5yearly,1,97581.129
116,2015,medium_variant,female,5yearly,5,97640.398
116,2015,medium_variant,male,5yearly,5,97178.496
116,2015,medium_variant,female,5yearly,10,97001.803
116,2015,medium_variant,male,5yearly,10,96199.096
116,2015,medium_variant,female,5yearly,15,96518.973
116,2015,medium_variant,male,5yearly,15,95534.061
116,2015,medium_variant,female,5yearly,20,96082.854
116,2015,medium_variant,male,5yearly,20,94910.017
116,2015,medium_variant,female,5yearly,25,95600.963
116,2015,medium_variant,male,5yearly,25,94123.378
116,2015,medium_variant,female,5yearly,30,94981.964
116,2015,medium_variant,male,5yearly,30,93012.482
116,2015,medium_variant,female,5yearly,35,94160.906
116,2015,medium_variant,male,5yearly,35,91568.803
116,2015,medium_variant,female,5yearly,40,93074.088
116,2015,medium_variant,male,5yearly,40,89694.291
116,2015,medium_variant,female,5yearly,45,91653.785
116,2015,medium_variant,male,5yearly,45,87365.291
116,2015,medium_variant,female,5yearly,50,89773.585
116,2015,medium_variant,male,5yearly,50,84639.338
116,2015,medium_variant,female,5yearly,55,87273.771
116,2015,medium_variant,male,5yearly,55,81287.584
