region,year,variant,gender,freq,age1yearinterval,survivorage
912,1990,estimates,female,5yearly,40,86930.7048516451
912,1990,estimates,male,5yearly,40,84841.7662340766
912,1990,estimates,female,5yearly,45,85482.1125927267
912,1990,estimates,male,5yearly,45,82917.4482868001
912,1990,estimates,female,5yearly,50,83411.9077936642
912,1990,estimates,male,5yearly,50,79944.6698141069
912,1990,estimates,female,5yearly,55,80398.8036646949
912,1990,estimates,male,5yearly,55,75536.3237547834
912,1990,estimates,female,5yearly,60,76271.1778190212
912,1990,estimates,male,5yearly,60,69579.3690229552
912,1990,estimates,female,5yearly,65,70320.1297231865
912,1990,estimates,male,5yearly,65,61584.5115068468
912,1990,estimates,female,5yearly,70,61404.0651006015
912,1990,estimates,male,5yearly,70,50957.4586286091
912,1990,estimates,female,5yearly,75,48760.0273928296
912,1990,estimates,male,5yearly,75,37556.3067346495
912,1990,estimates,female,5yearly,80,33135.5558772875
912,1990,estimates,male,5yearly,80,22952.2281542333
912,1990,estimates,female,5yearly,85,17594.5396409213
912,1990,estimates,male,5yearly,85,10570.827014338
912,1990,estimates,female,5yearly,90,6456.20842656006
912,1990,estimates,male,5yearly,90,3255.85417583639
912,1990,estimates,female,5yearly,95,1422.95975950921
912,1990,estimates,male,5yearly,95,592.626836880276
912,1990,estimates,female,5yearly,100plus,167.149634094739
912,1990,estimates,male,5yearly,100plus,58.1859845099032
912,1995,estimates,female,5yearly,0,100000
912,1995,estimates,male,5yearly,0,100000
912,1995,estimates,female,5yearly,1,95580.849672232
912,1995,estimates,male,5yearly,1,94986.8579905265
912,1995,estimates,female,5yearly,5,93670.2854211868
912,1995,estimates,male,5yearly,5,93051.0667385581
912,1995,estimates,female,5yearly,10,93092.0075643414
912,1995,estimates,male,5yearly,10,92401.0562492068
912,1995,estimates,female,5yearly,15,92723.9249692293
912,1995,estimates,male,5yearly,15,91954.3262894625
912,1995,estimates,female,5yearly,20,92233.990750869
912,1995,estimates,male,5yearly,20,91284.4066149545
912,1995,estimates,female,5yearly,25,91589.8125140152
912,1995,estimates,male,5yearly,25,90358.874758036
912,1995,estimates,female,5yearly,30,90809.1196145136
912,1995,estimates,male,5yearly,30,89301.1915275514
912,1995,estimates,female,5yearly,35,89892.2843326787
912,1995,estimates,male,5yearly,35,88128.6737258103
912,1995,estimates,female,5yearly,40,88808.103609036
912,1995,estimates,male,5yearly,40,86736.0597170046
912,1995,estimates,female,5yearly,45,87434.4112145755
912,1995,estimates,male,5yearly,45,84893.5431045871
912,1995,estimates,female,5yearly,50,85438.0390501251
912,1995,estimates,male,5yearly,50,82001.9374155417
912,1995,estimates,female,5yearly,55,82464.9657732215
912,1995,estimates,male,5yearly,55,77654.7570502755
912,1995,estimates,female,5yearly,60,78390.0074398428
912,1995,estimates,male,5yearly,60,71760.6636336958
912,1995,estimates,female,5yearly,65,72558.5199949318
912,1995,estimates,male,5yearly,65,63817.046236919
912,1995,estimates,female,5yearly,70,63728.8600813834
912,1995,estimates,male,5yearly,70,53208.6417177291
912,1995,estimates,female,5yearly,75,51046.9448013562
912,1995,estimates,male,5yearly,75,39702.1009654677
912,1995,estimates,female,5yearly,80,35179.2013151362
912,1995,estimates,male,5yearly,80,24755.3318421887
912,1995,estimates,female,5yearly,85,19089.0009420049
912,1995,estimates,male,5yearly,85,11760.6646199481
912,1995,estimates,female,5yearly,90,7227.73056436126
912,1995,estimates,male,5yearly,90,3787.79859190387
912,1995,estimates,female,5yearly,95,1660.05606897961
912,1995,estimates,male,5yearly,95,730.864835004184
912,1995,estimates,female,5yearly,100plus,204.560979663055
912,1995,estimates,male,5yearly,100plus,76.7766920595117
912,2000,estimates,female,5yearly,0,100000
912,2000,estimates,male,5yearly,0,100000
912,2000,estimates,female,5yearly,1,96196.9762963922
912,2000,estimates,male,5yearly,1,95596.5187606558
912,2000,estimates,female,5yearly,5,94584.1984116472
912,2000,estimates,male,5yearly,5,93920.1879469853
912,2000,estimates,female,5yearly,10,93999.0189205159
912,2000,estimates,male,5yearly,10,93261.1490783545
912,2000,estimates,female,5yearly,15,93648.0876888615
912,2000,estimates,male,5yearly,15,92834.3035855916
912,2000,estimates,female,5yearly,20,93211.8890183443
912,2000,estimates,male,5yearly,20,92220.4231354393
912,2000,estimates,female,5yearly,25,92649.0085038682
912,2000,estimates,male,5yearly,25,91374.6357971903
912,2000,estimates,female,5yearly,30,91945.3061168454
912,2000,estimates,male,5yearly,30,90388.6721051757
912,2000,estimates,female,5yearly,35,91085.7551257225
912,2000,estimates,male,5yearly,35,89265.2161759297
912,2000,estimates,female,5yearly,40,90065.7456645783
912,2000,estimates,male,5yearly,40,87932.1525462787
912,2000,estimates,female,5yearly,45,88774.7003950238
912,2000,estimates,male,5yearly,45,86179.4895669796
912,2000,estimates,female,5yearly,50,86899.0007192339
912,2000,estimates,male,5yearly,50,83499.1035055786
912,2000,estimates,female,5yearly,55,84048.655691091
912,2000,estimates,male,5yearly,55,79343.3076684486
912,2000,estimates,female,5yearly,60,80082.7487260842
912,2000,estimates,male,5yearly,60,73565.9367371822
912,2000,estimates,female,5yearly,65,74437.1963564084
912,2000,estimates,male,5yearly,65,65780.7244021257
912,2000,estimates,female,5yearly,70,65938.1549635861
912,2000,estimates,male,5yearly,70,55354.0251690365
912,2000,estimates,female,5yearly,75,53561.1257223842
912,2000,estimates,male,5yearly,75,41959.6862175397
912,2000,estimates,female,5yearly,80,37774.9047473429
912,2000,estimates,male,5yearly,80,26906.7650187723
912,2000,estimates,female,5yearly,85,21261.5311834868
912,2000,estimates,male,5yearly,85,13395.5217088438
912,2000,estimates,female,5yearly,90,8499.85705089312
912,2000,estimates,male,5yearly,90,4637.68502644479
912,2000,estimates,female,5yearly,95,2101.19635291426
912,2000,estimates,male,5yearly,95,989.819008037577
912,2000,estimates,female,5yearly,100plus,282.765190214822
912,2000,estimates,male,5yearly,100plus,117.785934142388
912,2005,estimates,female,5yearly,0,100000
912,2005,estimates,male,5yearly,0,100000
912,2005,estimates,female,5yearly,1,96800.9599290606
912,2005,estimates,male,5yearly,1,96198.7439672965
912,2005,estimates,female,5yearly,5,95521.4087461528
912,2005,estimates,male,5yearly,5,94838.5236095848
912,2005,estimates,female,5yearly,10,94965.0093803762
912,2005,estimates,male,5yearly,10,94196.6843207795
912,2005,estimates,female,5yearly,15,94643.245692999
912,2005,estimates,male,5yearly,15,93780.8749382941
912,2005,estimates,female,5yearly,20,94261.957450633
912,2005,estimates,male,5yearly,20,93202.3296040594
912,2005,estimates,female,5yearly,25,93783.6490707525
912,2005,estimates,male,5yearly,25,92426.7365663556
912,2005,estimates,female,5yearly,30,93182.0667209824
912,2005,estimates,male,5yearly,30,91531.1248788792
912,2005,estimates,female,5yearly,35,92430.447811821
912,2005,estimates,male,5yearly,35,90504.1469060344
912,2005,estimates,female,5yearly,40,91519.8535417452
912,2005,estimates,male,5yearly,40,89272.9472284639
912,2005,estimates,female,5yearly,45,90344.8601221517
912,2005,estimates,male,5yearly,45,87647.2977446495
912,2005,estimates,female,5yearly,50,88579.0791405176
912,2005,estimates,male,5yearly,50,85111.3497215297
912,2005,estimates,female,5yearly,55,85927.3374243146
912,2005,estimates,male,5yearly,55,81269.225086354
912,2005,estimates,female,5yearly,60,82110.0424631417
912,2005,estimates,male,5yearly,60,75799.9260761172
912,2005,estimates,female,5yearly,65,76505.7813572615
912,2005,estimates,male,5yearly,65,68204.2527206181
912,2005,estimates,female,5yearly,70,68103.7777187652
912,2005,estimates,male,5yearly,70,57953.0503818394
912,2005,estimates,female,5yearly,75,55783.8214638381
912,2005,estimates,male,5yearly,75,44639.6395731327
912,2005,estimates,female,5yearly,80,39842.0217444387
912,2005,estimates,male,5yearly,80,29423.5349885435
912,2005,estimates,female,5yearly,85,22837.2078887198
912,2005,estimates,male,5yearly,85,15319.9289907444
912,2005,estimates,female,5yearly,90,9356.55024019943
912,2005,estimates,male,5yearly,90,5677.91339744684
912,2005,estimates,female,5yearly,95,2383.27260011828
912,2005,estimates,male,5yearly,95,1332.01443358012
912,2005,estimates,female,5yearly,100plus,331.178242418179
912,2005,estimates,male,5yearly,100plus,178.21818861591
912,2010,estimates,female,5yearly,0,100000
912,2010,estimates,male,5yearly,0,100000
912,2010,estimates,female,5yearly,1,97300.728893683
912,2010,estimates,male,5yearly,1,96809.8130692214
912,2010,estimates,female,5yearly,5,96297.6265817022
912,2010,estimates,male,5yearly,5,95748.8422861516
912,2010,estimates,female,5yearly,10,95844.1752924866
912,2010,estimates,male,5yearly,10,95220.4979021022
912,2010,estimates,female,5yearly,15,95545.9738788946
912,2010,estimates,male,5yearly,15,94831.7999691491
912,2010,estimates,female,5yearly,20,95215.5385818157
