continent,year,variant,agebroad,sexratio_maleper100female
935,2000,estimates,3_4,109.087519811736
935,2000,estimates,3_5,109.018665825126
935,2000,estimates,3_6,108.913695771619
935,2000,estimates,4_5,108.972055728217
935,2000,estimates,4_6,108.848580236465
935,2000,estimates,5_10,108.012314808221
935,2000,estimates,5_11,107.802223891549
935,2000,estimates,5_14,107.287677487818
935,2000,estimates,6_9,108.051785214678
935,2000,estimates,6_10,107.847539924238
935,2000,estimates,6_11,107.633494335917
935,2000,estimates,6_12,107.432017093845
935,2000,estimates,7_10,107.666536168509
935,2000,estimates,7_12,107.248672358542
935,2000,estimates,11_16,106.136744860101
935,2000,estimates,11_17,106.082246870445
935,2000,estimates,11_18,106.029804983255
935,2000,estimates,12_14,106.139575776992
935,2000,estimates,12_16,106.035072594501
935,2000,estimates,12_17,105.986700143767
935,2000,estimates,12_18,105.938768601787
935,2000,estimates,13_17,105.921618714501
935,2000,estimates,13_18,105.875051577889
935,2000,estimates,13_19,105.828422329887
935,2000,estimates,15plus,102.863676999675
935,2000,estimates,15_17,105.820121798109
935,2000,estimates,15_24,105.54653239738
935,2000,estimates,15_49,105.027331772963
935,2000,estimates,15_59,104.672025090793
935,2000,estimates,15_64,104.469691122809
935,2000,estimates,16plus,102.774817445701
935,2000,estimates,17plus,102.686523025965
935,2000,estimates,18plus,102.598525551651
935,2000,estimates,18_23,105.425656009513
935,2000,estimates,20plus,102.421893676468
935,2000,estimates,20_64,104.253169647118
935,2000,estimates,20_69,103.903062198457
935,2000,estimates,21plus,102.332578551372
935,2000,estimates,25plus,101.944267649323
935,2000,estimates,25_49,104.765224370284
935,2000,estimates,25_64,104.049341775228
935,2000,estimates,25_69,103.647595756515
935,2000,estimates,50plus,95.9815691367543
935,2000,estimates,60plus,91.0290595038762
935,2000,estimates,65plus,86.8065072597422
935,2000,estimates,70plus,81.2405699410443
935,2000,estimates,75plus,73.3149876354121
935,2000,estimates,80plus,65.2950982787347
935,2000,estimates,85plus,55.4544980482034
935,2000,estimates,90plus,44.2032363390473
935,2005,estimates,"Region, subregion, country or area *",ASIA
935,2005,estimates,total,104.567939665621
935,2005,estimates,0_1,110.058001842013
935,2005,estimates,0_4,109.743980546105
935,2005,estimates,0_14,108.985185586193
935,2005,estimates,0_17,108.536059724362
935,2005,estimates,0_19,108.247822651208
935,2005,estimates,0_24,107.696390143511
935,2005,estimates,3_4,109.443144868289
935,2005,estimates,3_5,109.376863642103
935,2005,estimates,3_6,109.316371865383
935,2005,estimates,4_5,109.306235755002
935,2005,estimates,4_6,109.249100454547
935,2005,estimates,5_10,108.970964167433
935,2005,estimates,5_11,108.920447085244
935,2005,estimates,5_14,108.613782928743
935,2005,estimates,6_9,108.973463686126
935,2005,estimates,6_10,108.917305833881
935,2005,estimates,6_11,108.867692123808
935,2005,estimates,6_12,108.800273550192
935,2005,estimates,7_10,108.863851403352
935,2005,estimates,7_12,108.74602401942
935,2005,estimates,11_16,107.625295556115
935,2005,estimates,11_17,107.398553836784
935,2005,estimates,11_18,107.204073954577
935,2005,estimates,12_14,107.939140816511
935,2005,estimates,12_16,107.435863492611
935,2005,estimates,12_17,107.20646832874
935,2005,estimates,12_18,107.013965054195
935,2005,estimates,13_17,106.979741542559
935,2005,estimates,13_18,106.795272076018
935,2005,estimates,13_19,106.648542758084
935,2005,estimates,15plus,102.948898367732
935,2005,estimates,15_17,106.514571037937
935,2005,estimates,15_24,105.837919793012
935,2005,estimates,15_49,105.179350773723
935,2005,estimates,15_59,104.759929173999
935,2005,estimates,15_64,104.551382237522
935,2005,estimates,16plus,102.838812742119
935,2005,estimates,17plus,102.733713775413
935,2005,estimates,18plus,102.632791474747
935,2005,estimates,18_23,105.559370608157
935,2005,estimates,20plus,102.437174530523
935,2005,estimates,20_64,104.256523953386
935,2005,estimates,20_69,103.961704449295
935,2005,estimates,21plus,102.341776443925
935,2005,estimates,25plus,101.9643225458
935,2005,estimates,25_49,104.837647636962
935,2005,estimates,25_64,104.049015128249
