continent,year,variant,freq,agebroad,percentagetotaldeaths
905,2015,constant_fertility,5yearly,65plus,76.2002688359409
905,2015,constant_mortality,5yearly,65plus,75.7729814537636
905,2015,high_variant,5yearly,65plus,76.1143028155577
905,2015,instant_replacement,5yearly,65plus,76.1258549997231
905,2015,low_variant,5yearly,65plus,76.282648068734
905,2015,medium_variant,5yearly,65plus,76.1983715373125
905,2015,momentum,5yearly,65plus,75.7756504666827
905,2015,no_change,5yearly,65plus,75.7750682570399
905,2015,zero_migration,5yearly,65plus,76.2772814548544
905,2015,constant_fertility,5yearly,70plus,67.7510658958871
905,2015,constant_mortality,5yearly,70plus,67.1083142755115
905,2015,high_variant,5yearly,70plus,67.674631892456
905,2015,instant_replacement,5yearly,70plus,67.6849001973085
905,2015,low_variant,5yearly,70plus,67.8243123010435
905,2015,medium_variant,5yearly,70plus,67.749371563391
905,2015,momentum,5yearly,70plus,67.1151517482524
905,2015,no_change,5yearly,70plus,67.1101582925093
905,2015,zero_migration,5yearly,70plus,67.8239727796479
905,2015,constant_fertility,5yearly,80plus,46.6139284177118
905,2015,constant_mortality,5yearly,80plus,45.6106670617524
905,2015,high_variant,5yearly,80plus,46.5613404199299
905,2015,instant_replacement,5yearly,80plus,46.5684035427445
905,2015,low_variant,5yearly,80plus,46.6643141038589
905,2015,medium_variant,5yearly,80plus,46.6127518556963
905,2015,momentum,5yearly,80plus,45.6262219320168
905,2015,no_change,5yearly,80plus,45.6119244182884
905,2015,zero_migration,5yearly,80plus,46.6748750728431
905,2015,constant_fertility,5yearly,90plus,18.8100918128164
905,2015,constant_mortality,5yearly,90plus,18.0660173077946
905,2015,high_variant,5yearly,90plus,18.7888747469644
905,2015,instant_replacement,5yearly,90plus,18.7917329920098
905,2015,low_variant,5yearly,90plus,18.8304335270247
905,2015,medium_variant,5yearly,90plus,18.8096317794002
905,2015,momentum,5yearly,90plus,18.0747380528212
905,2015,no_change,5yearly,90plus,18.0665166524003
905,2015,zero_migration,5yearly,90plus,18.8372448892466
905,2020,constant_fertility,5yearly,0_4,0.769354341484287
905,2020,constant_mortality,5yearly,0_4,0.936512316763155
905,2020,high_variant,5yearly,0_4,0.938876044181423
905,2020,instant_replacement,5yearly,0_4,0.86643466949866
905,2020,low_variant,5yearly,0_4,0.621468712173243
905,2020,medium_variant,5yearly,0_4,0.780437379822582
905,2020,momentum,5yearly,0_4,0.989972692015111
905,2020,no_change,5yearly,0_4,0.923127045960747
905,2020,zero_migration,5yearly,0_4,0.741476670833042
905,2020,constant_fertility,5yearly,0_14,0.914862127221152
905,2020,constant_mortality,5yearly,0_14,1.10498895315115
905,2020,high_variant,5yearly,0_14,1.08704299117075
905,2020,instant_replacement,5yearly,0_14,1.01438254173473
905,2020,low_variant,5yearly,0_14,0.764389820025272
905,2020,medium_variant,5yearly,0_14,0.925991988151061
905,2020,momentum,5yearly,0_14,1.15865234591265
905,2020,no_change,5yearly,0_14,1.09154055353769
905,2020,zero_migration,5yearly,0_14,0.884885890990999
905,2020,constant_fertility,5yearly,0_19,1.17779658411901
905,2020,constant_mortality,5yearly,0_19,1.3999923122423
905,2020,high_variant,5yearly,0_19,1.34952006012155
905,2020,instant_replacement,5yearly,0_19,1.27705262454025
905,2020,low_variant,5yearly,0_19,1.02772412728889
905,2020,medium_variant,5yearly,0_19,1.18889696087433
905,2020,momentum,5yearly,0_19,1.44360448144308
905,2020,no_change,5yearly,0_19,1.386584080491
905,2020,zero_migration,5yearly,0_19,1.13930975023037
905,2020,constant_fertility,5yearly,0_24,1.71017587100393
905,2020,constant_mortality,5yearly,0_24,1.95434848835161
905,2020,high_variant,5yearly,0_24,1.88097324598512
905,2020,instant_replacement,5yearly,0_24,1.80889661722139
905,2020,low_variant,5yearly,0_24,1.56091301537672
905,2020,medium_variant,5yearly,0_24,1.72121654936892
905,2020,momentum,5yearly,0_24,1.97036242398271
905,2020,no_change,5yearly,0_24,1.94101573812207
