region,year,variant,gender,agebroad,percentagetotalpopulation
923,1965,Estimates,male,15_17,5.74061875488693
923,1965,Estimates,female,15_24,13.0224164927684
923,1965,Estimates,male,15_24,15.4646070679983
923,1965,Estimates,female,15_49,47.867397640861
923,1965,Estimates,male,15_49,50.6508553101146
923,1965,Estimates,female,15_59,59.968179993428
923,1965,Estimates,male,15_59,59.8965903560782
923,1965,Estimates,female,15_64,64.7506233953365
923,1965,Estimates,male,15_64,63.1757230238846
923,1965,Estimates,female,16plus,72.2460575765463
923,1965,Estimates,male,16plus,66.5925434875162
923,1965,Estimates,female,17plus,70.649428249554
923,1965,Estimates,male,17plus,64.6681387881559
923,1965,Estimates,female,18plus,69.1244885221189
923,1965,Estimates,male,18plus,62.8323856778135
923,1965,Estimates,female,18_23,6.97808656273868
923,1965,Estimates,male,18_23,8.25351601945556
923,1965,Estimates,female,20plus,66.4199681249674
923,1965,Estimates,male,20plus,59.593266103001
923,1965,Estimates,female,20_64,57.281725322294
923,1965,Estimates,male,20_64,54.1959846941852
923,1965,Estimates,female,20_69,60.8301429798412
923,1965,Estimates,male,20_69,56.4726627281467
923,1965,Estimates,female,21plus,65.2521607976287
923,1965,Estimates,male,21plus,58.2061509239818
923,1965,Estimates,female,25plus,60.8664497052415
923,1965,Estimates,male,25plus,53.1083973647022
923,1965,Estimates,female,25_49,34.8449811480926
923,1965,Estimates,male,25_49,35.1862482421163
923,1965,Estimates,female,25_64,51.7282069025682
923,1965,Estimates,male,25_64,47.7111159558864
923,1965,Estimates,female,25_69,55.2766245601153
923,1965,Estimates,male,25_69,49.9877939898479
923,1965,Estimates,female,50plus,26.0214685571489
923,1965,Estimates,male,50plus,17.9221491225859
923,1965,Estimates,female,60plus,13.9206862045819
923,1965,Estimates,male,60plus,8.67641407662225
923,1965,Estimates,female,65plus,9.13824280267334
923,1965,Estimates,male,65plus,5.39728140881583
923,1965,Estimates,female,70plus,5.58982514512617
923,1965,Estimates,male,70plus,3.12060337485431
923,1965,Estimates,female,75plus,3.09174744353846
923,1965,Estimates,male,75plus,1.60882401640698
923,1965,Estimates,female,80plus,1.37372490110724
923,1965,Estimates,male,80plus,0.677878265408217
923,1970,Estimates,female,total,100
923,1970,Estimates,male,total,100
923,1970,Estimates,female,0_1,2.75409461976295
923,1970,Estimates,male,0_1,3.27348955575001
923,1970,Estimates,female,0_4,6.96676900879452
923,1970,Estimates,male,0_4,8.26862593782653
923,1970,Estimates,female,0_14,23.6251321058905
923,1970,Estimates,male,0_14,28.160393927572
923,1970,Estimates,female,0_17,28.8834615664775
923,1970,Estimates,male,0_17,34.434812026397
923,1970,Estimates,female,0_19,32.1964535955254
923,1970,Estimates,male,0_19,38.3805317715378
923,1970,Estimates,female,0_24,39.3677160876837
923,1970,Estimates,male,0_24,46.8764127573114
923,1970,Estimates,female,3_4,2.83209993816128
923,1970,Estimates,male,3_4,3.35800106897287
923,1970,Estimates,female,3_5,4.30227997675525
923,1970,Estimates,male,3_5,5.10316455388401
923,1970,Estimates,female,3_6,5.81715227879076
923,1970,Estimates,male,3_6,6.90370725280696
923,1970,Estimates,female,4_5,2.90154762524578
923,1970,Estimates,male,4_5,3.44266228090305
923,1970,Estimates,female,4_6,4.41641992728129
923,1970,Estimates,male,4_6,5.243204979826
923,1970,Estimates,female,5_10,9.53090455641247
923,1970,Estimates,male,5_10,11.3555784940169
923,1970,Estimates,female,5_11,11.2869250772055
923,1970,Estimates,male,5_11,13.4585412804152
923,1970,Estimates,female,5_14,16.658363097096
923,1970,Estimates,male,5_14,19.8917679897455
923,1970,Estimates,female,6_9,6.35184420413127
923,1970,Estimates,male,6_9,7.56710676974863
923,1970,Estimates,female,6_10,8.0607245178185
923,1970,Estimates,male,6_10,9.61041500910575
923,1970,Estimates,female,6_11,9.81674503861153
923,1970,Estimates,male,6_11,11.7133777955041
923,1970,Estimates,female,6_12,11.6043772596097
923,1970,Estimates,male,6_12,13.8558059701225
923,1970,Estimates,female,7_10,6.54585221578299
923,1970,Estimates,male,7_10,7.8098723101828
923,1970,Estimates,female,7_12,10.0895049575742
923,1970,Estimates,male,7_12,12.0552632711996
923,1970,Estimates,female,11_16,10.6589495457383
923,1970,Estimates,male,11_16,12.7529942087775
923,1970,Estimates,female,11_17,12.3857880012705
923,1970,Estimates,male,11_17,14.8106075945536
923,1970,Estimates,female,11_18,14.0692632708078
923,1970,Estimates,male,11_18,16.8156612212456
923,1970,Estimates,female,12_14,5.37143801989051
923,1970,Estimates,male,12_14,6.43322670933023
923,1970,Estimates,female,12_16,8.90292902494525
923,1970,Estimates,male,12_16,10.6500314223792
923,1970,Estimates,female,12_17,10.6297674804775
923,1970,Estimates,male,12_17,12.7076448081553
923,1970,Estimates,female,12_18,12.3132427500148
923,1970,Estimates,male,12_18,14.7126984348473
923,1970,Estimates,female,13_17,8.84213525947938
923,1970,Estimates,male,13_17,10.5652166335368
923,1970,Estimates,female,13_18,10.5256105290166
923,1970,Estimates,male,13_18,12.5702702602289
923,1970,Estimates,female,13_19,12.1551272885273
923,1970,Estimates,male,13_19,14.5109363786777
923,1970,Estimates,female,15plus,76.3748678941095
923,1970,Estimates,male,15plus,71.839606072428
923,1970,Estimates,female,15_17,5.258329460587
923,1970,Estimates,male,15_17,6.27441809882502
923,1970,Estimates,female,15_24,15.7425839817932
923,1970,Estimates,male,15_24,18.7160188297394
923,1970,Estimates,female,15_49,49.9419959409704
923,1970,Estimates,male,15_49,54.2449290668188
923,1970,Estimates,female,15_59,60.4516331290021
923,1970,Estimates,male,15_59,62.0040822139406
923,1970,Estimates,female,15_64,65.7427385887614
923,1970,Estimates,male,15_64,65.780980599288
923,1970,Estimates,female,16plus,74.6001297586448
923,1970,Estimates,male,16plus,69.7187182232013
923,1970,Estimates,female,17plus,72.8433768890547
923,1970,Estimates,male,17plus,67.6228013593791
923,1970,Estimates,female,18plus,71.1165384335225
923,1970,Estimates,male,18plus,65.565187973603
923,1970,Estimates,female,18_23,9.24673016772672
923,1970,Estimates,male,18_23,10.988566904723
923,1970,Estimates,female,20plus,67.8035464044746
923,1970,Estimates,male,20plus,61.6194682284622
923,1970,Estimates,female,20_64,57.1714170991266
923,1970,Estimates,male,20_64,55.5608427553221
923,1970,Estimates,female,20_69,61.42499859328
923,1970,Estimates,male,20_69,58.2352419626357
923,1970,Estimates,female,21plus,66.226436660502
923,1970,Estimates,male,21plus,59.7424248362597
923,1970,Estimates,female,25plus,60.6322839123163
923,1970,Estimates,male,25plus,53.1235872426886
923,1970,Estimates,female,25_49,34.1994119591772
923,1970,Estimates,male,25_49,35.5289102370794
923,1970,Estimates,female,25_64,50.0001546069683
