continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
935,2035,medium_variant,5yearly,15_19,18.4790146707658
935,2035,momentum,5yearly,15_19,18.2852059170472
935,2035,no_change,5yearly,15_19,33.6353369938396
935,2035,zero_migration,5yearly,15_19,18.5523390825101
935,2035,constant_fertility,5yearly,20_24,153.05449794518
935,2035,constant_mortality,5yearly,20_24,106.602159023547
935,2035,high_variant,5yearly,20_24,132.998165168619
935,2035,instant_replacement,5yearly,20_24,113.740817986208
935,2035,low_variant,5yearly,20_24,80.0604466781051
935,2035,medium_variant,5yearly,20_24,106.787018869268
935,2035,momentum,5yearly,20_24,117.693443552348
935,2035,no_change,5yearly,20_24,152.857318752366
935,2035,zero_migration,5yearly,20_24,106.946465046853
935,2035,constant_fertility,5yearly,25_29,145.094188234521
935,2035,constant_mortality,5yearly,25_29,125.609939580995
935,2035,high_variant,5yearly,25_29,157.974348053354
935,2035,instant_replacement,5yearly,25_29,137.958544968431
935,2035,low_variant,5yearly,25_29,93.5331717495233
935,2035,medium_variant,5yearly,25_29,125.66877933683
935,2035,momentum,5yearly,25_29,142.286047444972
935,2035,no_change,5yearly,25_29,145.014348821522
935,2035,zero_migration,5yearly,25_29,125.769666337295
935,2035,constant_fertility,5yearly,30_34,85.3868085998304
935,2035,constant_mortality,5yearly,30_34,88.4368219120615
935,2035,high_variant,5yearly,30_34,111.373979278016
935,2035,instant_replacement,5yearly,30_34,97.5637602922955
935,2035,low_variant,5yearly,30_34,65.5956768665611
935,2035,medium_variant,5yearly,30_34,88.3771694501863
935,2035,momentum,5yearly,30_34,100.143054597448
935,2035,no_change,5yearly,30_34,85.3480761877035
935,2035,zero_migration,5yearly,30_34,88.3589558963163
935,2035,constant_fertility,5yearly,35_39,39.4578123181962
935,2035,constant_mortality,5yearly,35_39,38.1791040893058
935,2035,high_variant,5yearly,35_39,48.221853416189
935,2035,instant_replacement,5yearly,35_39,42.3508543975979
935,2035,low_variant,5yearly,35_39,28.2442280605812
935,2035,medium_variant,5yearly,35_39,38.130430312892
935,2035,momentum,5yearly,35_39,43.2455974424104
935,2035,no_change,5yearly,35_39,39.4250836679302
935,2035,zero_migration,5yearly,35_39,38.0579399719477
935,2035,constant_fertility,5yearly,40_44,13.2998231652451
935,2035,constant_mortality,5yearly,40_44,11.5207554586573
935,2035,high_variant,5yearly,40_44,14.584733143922
935,2035,instant_replacement,5yearly,40_44,12.9532025497487
935,2035,low_variant,5yearly,40_44,8.48204783133023
935,2035,medium_variant,5yearly,40_44,11.5026429529884
935,2035,momentum,5yearly,40_44,13.2014846138447
935,2035,no_change,5yearly,40_44,13.2771431373562
935,2035,zero_migration,5yearly,40_44,11.4814103944515
935,2035,constant_fertility,5yearly,45_49,3.28945258731886
935,2035,constant_mortality,5yearly,45_49,1.64207384640989
935,2035,high_variant,5yearly,45_49,2.05530515890501
935,2035,instant_replacement,5yearly,45_49,1.76704775988991
935,2035,low_variant,5yearly,45_49,1.2262050550423
935,2035,medium_variant,5yearly,45_49,1.64463484434024
935,2035,momentum,5yearly,45_49,1.81956023297176
935,2035,no_change,5yearly,45_49,3.28008534462678
935,2035,zero_migration,5yearly,45_49,1.65019010241645
935,2040,constant_fertility,5yearly,15_19,34.8574681564859
935,2040,constant_mortality,5yearly,15_19,17.2832041867997
935,2040,high_variant,5yearly,15_19,21.0715438697459
935,2040,instant_replacement,5yearly,15_19,16.9079531716589
935,2040,low_variant,5yearly,15_19,13.3161046153785
935,2040,medium_variant,5yearly,15_19,17.2909612203594
935,2040,momentum,5yearly,15_19,17.583269141971
935,2040,no_change,5yearly,15_19,34.7417613522968
935,2040,zero_migration,5yearly,15_19,17.3831512064144
935,2040,constant_fertility,5yearly,20_24,155.297135455049
935,2040,constant_mortality,5yearly,20_24,100.457471558121
935,2040,high_variant,5yearly,20_24,125.47880403318
935,2040,instant_replacement,5yearly,20_24,107.14875885999
935,2040,low_variant,5yearly,20_24,75.6158037323336
935,2040,medium_variant,5yearly,20_24,100.75822691951
935,2040,momentum,5yearly,20_24,111.367079585964
935,2040,no_change,5yearly,20_24,154.94876943016
935,2040,zero_migration,5yearly,20_24,100.99119663495
935,2040,constant_fertility,5yearly,25_29,146.533927511873
935,2040,constant_mortality,5yearly,25_29,123.485897475822
935,2040,high_variant,5yearly,25_29,155.755996869511
935,2040,instant_replacement,5yearly,25_29,137.325340933671
935,2040,low_variant,5yearly,25_29,91.6318859853276
935,2040,medium_variant,5yearly,25_29,123.583358819532
935,2040,momentum,5yearly,25_29,141.927220446236
935,2040,no_change,5yearly,25_29,146.384151767137
935,2040,zero_migration,5yearly,25_29,123.696922612206
935,2040,constant_fertility,5yearly,30_34,86.4999050409734
935,2040,constant_mortality,5yearly,30_34,91.4062434022508
935,2040,high_variant,5yearly,30_34,115.442337587881
935,2040,instant_replacement,5yearly,30_34,101.928659670805
935,2040,low_variant,5yearly,30_34,67.4091090782567
935,2040,medium_variant,5yearly,30_34,91.3224715536542
935,2040,momentum,5yearly,30_34,104.942905631487
935,2040,no_change,5yearly,30_34,86.448177905352
935,2040,zero_migration,5yearly,30_34,91.278928959243
935,2040,constant_fertility,5yearly,35_39,40.1596629054855
935,2040,constant_mortality,5yearly,35_39,38.9687054200884
935,2040,high_variant,5yearly,35_39,49.3148597005092
935,2040,instant_replacement,5yearly,35_39,43.6257767240481
