country,year,variant,gender,agebroad,population
862,1980,estimates,female,0_4,1121.384
862,1980,estimates,male,0_4,1166.982
862,1980,estimates,female,0_14,3086.766
862,1980,estimates,male,0_14,3207.756
862,1980,estimates,female,0_17,3647.651
862,1980,estimates,male,0_17,3788.479
862,1980,estimates,female,0_19,3993.274
862,1980,estimates,male,0_19,4145.418
862,1980,estimates,female,0_24,4717.298
862,1980,estimates,male,0_24,4889.853
862,1980,estimates,female,3_4,422.151
862,1980,estimates,male,3_4,438.984
862,1980,estimates,female,3_5,625.48
862,1980,estimates,male,3_5,650.315
862,1980,estimates,female,3_6,825.508
862,1980,estimates,male,3_6,858.161
862,1980,estimates,female,4_5,411.297
862,1980,estimates,male,4_5,427.55
862,1980,estimates,female,4_6,611.325
862,1980,estimates,male,4_6,635.396
862,1980,estimates,female,5_10,1188.844
862,1980,estimates,male,5_10,1235.006
862,1980,estimates,female,5_11,1384.454
862,1980,estimates,male,5_11,1438.104
862,1980,estimates,female,5_14,1965.382
862,1980,estimates,male,5_14,2040.774
862,1980,estimates,female,6_9,790.038
862,1980,estimates,male,6_9,820.693
862,1980,estimates,female,6_10,985.515
862,1980,estimates,male,6_10,1023.675
862,1980,estimates,female,6_11,1181.125
862,1980,estimates,male,6_11,1226.773
862,1980,estimates,female,6_12,1376.38
862,1980,estimates,male,6_12,1429.45
862,1980,estimates,female,7_10,785.487
862,1980,estimates,male,7_10,815.829
862,1980,estimates,female,7_12,1176.352
862,1980,estimates,male,7_12,1221.604
862,1980,estimates,female,11_16,1153.735
862,1980,estimates,male,11_16,1196.451
862,1980,estimates,female,11_17,1337.423
862,1980,estimates,male,11_17,1386.491
862,1980,estimates,female,11_18,1514.452
862,1980,estimates,male,11_18,1569.438
862,1980,estimates,female,12_14,580.928
862,1980,estimates,male,12_14,602.67
862,1980,estimates,female,12_16,958.125
862,1980,estimates,male,12_16,993.353
862,1980,estimates,female,12_17,1141.813
862,1980,estimates,male,12_17,1183.393
862,1980,estimates,female,12_18,1318.842
862,1980,estimates,male,12_18,1366.34
862,1980,estimates,female,13_17,946.558
