agebroad,gender,population,country,variant,year
6_10,male,540.96,604,estimates,1953
6_11,male,638.877,604,estimates,1953
6_12,male,734.326,604,estimates,1953
7_10,male,423.932,604,estimates,1953
7_12,male,617.298,604,estimates,1953
11_16,male,555.72,604,estimates,1953
11_17,male,640.882,604,estimates,1953
11_18,male,723.794,604,estimates,1953
12_14,male,280.444,604,estimates,1953
12_16,male,457.803,604,estimates,1953
12_17,male,542.965,604,estimates,1953
12_18,male,625.877,604,estimates,1953
13_17,male,447.516,604,estimates,1953
13_18,male,530.428,604,estimates,1953
13_19,male,611.227,604,estimates,1953
15_17,male,262.521,604,estimates,1953
18_23,male,460.998,604,estimates,1953
15_24,male,790.834,604,estimates,1953
15_49,male,1930.345,604,estimates,1953
15_59,male,2185.858,604,estimates,1953
15_64,male,2274.654,604,estimates,1953
20_64,male,1848.422,604,estimates,1953
20_69,male,1909.233,604,estimates,1953
25_49,male,1139.511,604,estimates,1953
25_64,male,1483.82,604,estimates,1953
25_69,male,1544.631,604,estimates,1953
15plus,male,2406.201,604,estimates,1953
16plus,male,2316.422,604,estimates,1953
17plus,male,2228.842,604,estimates,1953
18plus,male,2143.68,604,estimates,1953
20plus,male,1979.969,604,estimates,1953
21plus,male,1901.502,604,estimates,1953
25plus,male,1615.367,604,estimates,1953
50plus,male,475.856,604,estimates,1953
60plus,male,220.343,604,estimates,1953
65plus,male,131.547,604,estimates,1953
70plus,male,70.736,604,estimates,1953
75plus,male,33.56,604,estimates,1953
80plus,male,11.816,604,estimates,1953
85plus,male,3.261,604,estimates,1953
90plus,male,0.613,604,estimates,1953
total,male,4190.186,604,estimates,1953
0,female,175.584,604,estimates,1954
0_1,female,327.741,604,estimates,1954
0_4,female,744.488,604,estimates,1954
0_14,female,1789.749,604,estimates,1954
0_17,female,2051.346,604,estimates,1954
0_19,female,2214.672,604,estimates,1954
0_24,female,2582.258,604,estimates,1954
3_4,female,269.355,604,estimates,1954
3_5,female,393.523,604,estimates,1954
3_6,female,511.538,604,estimates,1954
4_5,female,255.41,604,estimates,1954
4_6,female,373.425,604,estimates,1954
5_14,female,1045.261,604,estimates,1954
5_10,female,668.063,604,estimates,1954
5_11,female,766.028,604,estimates,1954
6_9,female,443.021,604,estimates,1954
6_10,female,543.895,604,estimates,1954
6_11,female,641.86,604,estimates,1954
6_12,female,737.203,604,estimates,1954
7_10,female,425.88,604,estimates,1954
7_12,female,619.188,604,estimates,1954
11_16,female,553.662,604,estimates,1954
11_17,female,638.795,604,estimates,1954
11_18,female,721.567,604,estimates,1954
12_14,female,279.233,604,estimates,1954
12_16,female,455.697,604,estimates,1954
12_17,female,540.83,604,estimates,1954
12_18,female,623.602,604,estimates,1954
13_17,female,445.487,604,estimates,1954
13_18,female,528.259,604,estimates,1954
13_19,female,608.813,604,estimates,1954
15_17,female,261.597,604,estimates,1954
18_23,female,462.555,604,estimates,1954
15_24,female,792.509,604,estimates,1954
15_49,female,1942.824,604,estimates,1954
15_59,female,2212.569,604,estimates,1954
15_64,female,2310.919,604,estimates,1954
20_64,female,1885.996,604,estimates,1954
20_69,female,1957.091,604,estimates,1954
25_49,female,1150.315,604,estimates,1954
25_64,female,1518.41,604,estimates,1954
25_69,female,1589.505,604,estimates,1954
15plus,female,2469.158,604,estimates,1954
16plus,female,2379.994,604,estimates,1954
17plus,female,2292.694,604,estimates,1954
18plus,female,2207.561,604,estimates,1954
20plus,female,2044.235,604,estimates,1954
21plus,female,1965.792,604,estimates,1954
25plus,female,1676.649,604,estimates,1954
50plus,female,526.334,604,estimates,1954
60plus,female,256.589,604,estimates,1954
65plus,female,158.239,604,estimates,1954
70plus,female,87.144,604,estimates,1954
75plus,female,43.203,604,estimates,1954
80plus,female,15.94,604,estimates,1954
85plus,female,4.692,604,estimates,1954
90plus,female,0.954,604,estimates,1954
total,female,4258.907,604,estimates,1954
0,male,181.575,604,estimates,1954
0_1,male,338.232,604,estimates,1954
0_4,male,766.663,604,estimates,1954
0_14,male,1837.778,604,estimates,1954
0_17,male,2105.837,604,estimates,1954
0_19,male,2273.196,604,estimates,1954
0_24,male,2648.91,604,estimates,1954
3_4,male,276.662,604,estimates,1954
3_5,male,403.952,604,estimates,1954
3_6,male,524.874,604,estimates,1954
4_5,male,261.927,604,estimates,1954
4_6,male,382.849,604,estimates,1954
5_14,male,1071.115,604,estimates,1954
