country,year,variant,gender,freq,agebroad,totaldeaths
854,1985,Estimates,female,5yearly,15_59,65.034
854,1985,Estimates,male,5yearly,15_59,65.903
854,1985,Estimates,female,5yearly,15_64,76.23
854,1985,Estimates,male,5yearly,15_64,76.643
854,1985,Estimates,female,5yearly,20plus,126.504
854,1985,Estimates,male,5yearly,20plus,117.681
854,1985,Estimates,female,5yearly,20_64,68.289
854,1985,Estimates,male,5yearly,20_64,68.585
854,1985,Estimates,female,5yearly,20_69,82.759
854,1985,Estimates,male,5yearly,20_69,81.717
854,1985,Estimates,female,5yearly,25plus,117.651
854,1985,Estimates,male,5yearly,25plus,108.113
854,1985,Estimates,female,5yearly,25_69,73.906
854,1985,Estimates,male,5yearly,25_69,72.149
854,1985,Estimates,female,5yearly,40plus,96.29
854,1985,Estimates,male,5yearly,40plus,87.59
854,1985,Estimates,female,5yearly,50plus,84.402
854,1985,Estimates,male,5yearly,50plus,75.264
854,1985,Estimates,female,5yearly,60plus,69.411
854,1985,Estimates,male,5yearly,60plus,59.836
854,1985,Estimates,female,5yearly,65plus,58.215
854,1985,Estimates,male,5yearly,65plus,49.096
854,1985,Estimates,female,5yearly,70plus,43.745
854,1985,Estimates,male,5yearly,70plus,35.964
854,1985,Estimates,female,5yearly,80plus,12.658
854,1985,Estimates,male,5yearly,80plus,9.677
854,1985,Estimates,female,5yearly,90plus,0.629
854,1985,Estimates,male,5yearly,90plus,0.423
854,1990,Estimates,female,5yearly,0_4,206.309
854,1990,Estimates,male,5yearly,0_4,228.374
854,1990,Estimates,female,5yearly,0_14,235.372
854,1990,Estimates,male,5yearly,0_14,257.113
854,1990,Estimates,female,5yearly,0_19,245.285
854,1990,Estimates,male,5yearly,0_19,267.362
854,1990,Estimates,female,5yearly,0_24,256.205
854,1990,Estimates,male,5yearly,0_24,279.471
854,1990,Estimates,female,5yearly,5_14,29.063
854,1990,Estimates,male,5yearly,5_14,28.739
854,1990,Estimates,female,5yearly,15plus,159.69
854,1990,Estimates,male,5yearly,15plus,146.478
854,1990,Estimates,female,5yearly,15_24,20.833
854,1990,Estimates,male,5yearly,15_24,22.358
854,1990,Estimates,female,5yearly,15_49,60.795
854,1990,Estimates,male,5yearly,15_49,62.703
854,1990,Estimates,female,5yearly,15_59,77.852
854,1990,Estimates,male,5yearly,15_59,79.924
854,1990,Estimates,female,5yearly,15_64,90.194
854,1990,Estimates,male,5yearly,15_64,91.012
854,1990,Estimates,female,5yearly,20plus,149.777
854,1990,Estimates,male,5yearly,20plus,136.229
854,1990,Estimates,female,5yearly,20_64,80.281
854,1990,Estimates,male,5yearly,20_64,80.763
854,1990,Estimates,female,5yearly,20_69,96.428
854,1990,Estimates,male,5yearly,20_69,94.474
854,1990,Estimates,female,5yearly,25plus,138.857
854,1990,Estimates,male,5yearly,25plus,124.12
854,1990,Estimates,female,5yearly,25_69,85.508
854,1990,Estimates,male,5yearly,25_69,82.365
854,1990,Estimates,female,5yearly,40plus,112.646
854,1990,Estimates,male,5yearly,40plus,98.114
854,1990,Estimates,female,5yearly,50plus,98.895
854,1990,Estimates,male,5yearly,50plus,83.775
854,1990,Estimates,female,5yearly,60plus,81.838
854,1990,Estimates,male,5yearly,60plus,66.554
854,1990,Estimates,female,5yearly,65plus,69.496
854,1990,Estimates,male,5yearly,65plus,55.466
854,1990,Estimates,female,5yearly,70plus,53.349
854,1990,Estimates,male,5yearly,70plus,41.755
854,1990,Estimates,female,5yearly,80plus,16.685
854,1990,Estimates,male,5yearly,80plus,12.174
854,1990,Estimates,female,5yearly,90plus,0.952
854,1990,Estimates,male,5yearly,90plus,0.597
854,1995,Estimates,female,5yearly,0_4,219.057
854,1995,Estimates,male,5yearly,0_4,243.745
854,1995,Estimates,female,5yearly,0_14,251.232
854,1995,Estimates,male,5yearly,0_14,276.91
854,1995,Estimates,female,5yearly,0_19,262.904
854,1995,Estimates,male,5yearly,0_19,289.804
854,1995,Estimates,female,5yearly,0_24,275.714
854,1995,Estimates,male,5yearly,0_24,305.029
854,1995,Estimates,female,5yearly,5_14,32.175
854,1995,Estimates,male,5yearly,5_14,33.165
854,1995,Estimates,female,5yearly,15plus,179.695
854,1995,Estimates,male,5yearly,15plus,168.32
854,1995,Estimates,female,5yearly,15_24,24.482
854,1995,Estimates,male,5yearly,15_24,28.119
854,1995,Estimates,female,5yearly,15_49,70.508
854,1995,Estimates,male,5yearly,15_49,77.939
854,1995,Estimates,female,5yearly,15_59,89.363
854,1995,Estimates,male,5yearly,15_59,97.561
854,1995,Estimates,female,5yearly,15_64,102.691
854,1995,Estimates,male,5yearly,15_64,109.469
854,1995,Estimates,female,5yearly,20plus,168.023
854,1995,Estimates,male,5yearly,20plus,155.426
854,1995,Estimates,female,5yearly,20_64,91.019
854,1995,Estimates,male,5yearly,20_64,96.575
854,1995,Estimates,female,5yearly,20_69,108.107
854,1995,Estimates,male,5yearly,20_69,110.503
854,1995,Estimates,female,5yearly,25plus,155.213
854,1995,Estimates,male,5yearly,25plus,140.201
854,1995,Estimates,female,5yearly,25_69,95.297
854,1995,Estimates,male,5yearly,25_69,95.278
854,1995,Estimates,female,5yearly,40plus,124.758
854,1995,Estimates,male,5yearly,40plus,107.428
854,1995,Estimates,female,5yearly,50plus,109.187
854,1995,Estimates,male,5yearly,50plus,90.381
854,1995,Estimates,female,5yearly,60plus,90.332
854,1995,Estimates,male,5yearly,60plus,70.759
854,1995,Estimates,female,5yearly,65plus,77.004
854,1995,Estimates,male,5yearly,65plus,58.851
854,1995,Estimates,female,5yearly,70plus,59.916
854,1995,Estimates,male,5yearly,70plus,44.923
854,1995,Estimates,female,5yearly,80plus,19.962
854,1995,Estimates,male,5yearly,80plus,14.023
854,1995,Estimates,female,5yearly,90plus,1.273
854,1995,Estimates,male,5yearly,90plus,0.752
854,2000,Estimates,female,5yearly,0_4,224.842
854,2000,Estimates,male,5yearly,0_4,249.673
854,2000,Estimates,female,5yearly,0_14,260.069
854,2000,Estimates,male,5yearly,0_14,283.386
854,2000,Estimates,female,5yearly,0_19,273.089
854,2000,Estimates,male,5yearly,0_19,296.494
854,2000,Estimates,female,5yearly,0_24,287.806
854,2000,Estimates,male,5yearly,0_24,312.398
854,2000,Estimates,female,5yearly,5_14,35.227
854,2000,Estimates,male,5yearly,5_14,33.713
854,2000,Estimates,female,5yearly,15plus,198.142
854,2000,Estimates,male,5yearly,15plus,173.541
854,2000,Estimates,female,5yearly,15_24,27.737
854,2000,Estimates,male,5yearly,15_24,29.012
854,2000,Estimates,female,5yearly,15_49,80.226
854,2000,Estimates,male,5yearly,15_49,82.716
