region,year,variant,freq,age1yearinterval,lifeexpectancy
927,2055,medium_variant,5yearly,65,24.785007569363
927,2055,medium_variant,5yearly,70,20.2316281329713
927,2055,medium_variant,5yearly,75,15.8835192019177
927,2055,medium_variant,5yearly,80,11.9351473383044
927,2055,medium_variant,5yearly,85,8.5395944556096
927,2055,medium_variant,5yearly,90,5.82898966274014
927,2055,medium_variant,5yearly,95,3.85849784911978
927,2055,medium_variant,5yearly,100plus,2.56932560408812
927,2060,medium_variant,5yearly,0,88.7885140592808
927,2060,medium_variant,5yearly,1,87.897801534571
927,2060,medium_variant,5yearly,5,83.9205514641282
927,2060,medium_variant,5yearly,10,78.9322362635556
927,2060,medium_variant,5yearly,15,73.9492562120395
927,2060,medium_variant,5yearly,20,68.9931350963908
927,2060,medium_variant,5yearly,25,64.0571010872712
927,2060,medium_variant,5yearly,30,59.1227460043657
927,2060,medium_variant,5yearly,35,54.1901364120889
927,2060,medium_variant,5yearly,40,49.2669583271235
927,2060,medium_variant,5yearly,45,44.3630127281367
927,2060,medium_variant,5yearly,50,39.4905728115804
927,2060,medium_variant,5yearly,55,34.6634609828758
927,2060,medium_variant,5yearly,60,29.8987678974458
927,2060,medium_variant,5yearly,65,25.2167964051609
927,2060,medium_variant,5yearly,70,20.626111912408
927,2060,medium_variant,5yearly,75,16.2293209687453
927,2060,medium_variant,5yearly,80,12.2175304892627
927,2060,medium_variant,5yearly,85,8.74816227830087
927,2060,medium_variant,5yearly,90,5.96325533952592
927,2060,medium_variant,5yearly,95,3.93035387125791
927,2060,medium_variant,5yearly,100plus,2.59887095927893
927,2065,medium_variant,5yearly,0,89.3908138740536
927,2065,medium_variant,5yearly,1,88.4893312306019
927,2065,medium_variant,5yearly,5,84.5096730673423
927,2065,medium_variant,5yearly,10,79.5203322540158
927,2065,medium_variant,5yearly,15,74.5356473483853
927,2065,medium_variant,5yearly,20,69.5753263406268
927,2065,medium_variant,5yearly,25,64.63283121501
927,2065,medium_variant,5yearly,30,59.6917157595209
927,2065,medium_variant,5yearly,35,54.7523752666458
927,2065,medium_variant,5yearly,40,49.8212773488767
927,2065,medium_variant,5yearly,45,44.9077059512004
927,2065,medium_variant,5yearly,50,40.022717270863
927,2065,medium_variant,5yearly,55,35.1785174215981
927,2065,medium_variant,5yearly,60,30.3913256164957
927,2065,medium_variant,5yearly,65,25.6793076159759
927,2065,medium_variant,5yearly,70,21.0467624010678
927,2065,medium_variant,5yearly,75,16.5919357915362
927,2065,medium_variant,5yearly,80,12.504900126793
927,2065,medium_variant,5yearly,85,8.94914282962975
927,2065,medium_variant,5yearly,90,6.07977670579657
927,2065,medium_variant,5yearly,95,3.97986726361955
927,2065,medium_variant,5yearly,100plus,2.60774324319482
927,2070,medium_variant,5yearly,0,89.9911032776959
927,2070,medium_variant,5yearly,1,89.0793356794485
927,2070,medium_variant,5yearly,5,85.0975758158399
927,2070,medium_variant,5yearly,10,80.1070967656461
927,2070,medium_variant,5yearly,15,75.1209282306062
927,2070,medium_variant,5yearly,20,70.1564971687707
927,2070,medium_variant,5yearly,25,65.207843597235
927,2070,medium_variant,5yearly,30,60.2602900107063
927,2070,medium_variant,5yearly,35,55.3140083384533
927,2070,medium_variant,5yearly,40,50.3753509598639
927,2070,medium_variant,5yearly,45,45.452596826284
927,2070,medium_variant,5yearly,50,40.5556324253217
927,2070,medium_variant,5yearly,55,35.6955143708421
927,2070,medium_variant,5yearly,60,30.8867680223475
927,2070,medium_variant,5yearly,65,26.1461231360624
927,2070,medium_variant,5yearly,70,21.4785163627018
927,2070,medium_variant,5yearly,75,16.9791226619723
927,2070,medium_variant,5yearly,80,12.8307794767151
927,2070,medium_variant,5yearly,85,9.19946893966877
927,2070,medium_variant,5yearly,90,6.24946925308051
927,2070,medium_variant,5yearly,95,4.07779428620972
927,2070,medium_variant,5yearly,100plus,2.65419528890346
927,2075,medium_variant,5yearly,0,90.5653388211142
927,2075,medium_variant,5yearly,1,89.6440327736092
927,2075,medium_variant,5yearly,5,85.6604181355171
927,2075,medium_variant,5yearly,10,80.6691534279844
