continent,year,variant,gender,freq,agebroad,percentagetotaldeaths
909,1975,Estimates,male,5yearly,15_59,28.7357302688967
909,1975,Estimates,female,5yearly,15_64,27.7430358158044
909,1975,Estimates,male,5yearly,15_64,37.8892175825843
909,1975,Estimates,female,5yearly,20plus,83.6501272146059
909,1975,Estimates,male,5yearly,20plus,83.3388326316987
909,1975,Estimates,female,5yearly,20_64,26.4333777574814
909,1975,Estimates,male,5yearly,20_64,36.1078241741571
909,1975,Estimates,female,5yearly,20_69,34.5210579781731
909,1975,Estimates,male,5yearly,20_69,47.179618462472
909,1975,Estimates,female,5yearly,25plus,82.0340823306834
909,1975,Estimates,male,5yearly,25plus,81.1377858686995
909,1975,Estimates,female,5yearly,25_69,32.9050130942506
909,1975,Estimates,male,5yearly,25_69,44.9785716994728
909,1975,Estimates,female,5yearly,40plus,77.1251363013635
909,1975,Estimates,male,5yearly,40plus,75.4886790306065
909,1975,Estimates,female,5yearly,50plus,72.3003010279686
909,1975,Estimates,male,5yearly,50plus,69.0421739295331
909,1975,Estimates,female,5yearly,60plus,63.5867995041892
909,1975,Estimates,male,5yearly,60plus,56.3844957712292
909,1975,Estimates,female,5yearly,65plus,57.2167494571245
909,1975,Estimates,male,5yearly,65plus,47.2310084575416
909,1975,Estimates,female,5yearly,70plus,49.1290692364328
909,1975,Estimates,male,5yearly,70plus,36.1592141692267
909,1975,Estimates,female,5yearly,80plus,27.8422911676717
909,1975,Estimates,male,5yearly,80plus,14.3677703189593
909,1975,Estimates,female,5yearly,90plus,6.26333889411831
909,1975,Estimates,male,5yearly,90plus,2.22152690863579
909,1980,Estimates,female,5yearly,0_4,11.1219636187334
909,1980,Estimates,male,5yearly,0_4,11.5444759035804
909,1980,Estimates,female,5yearly,0_14,12.6291807978084
909,1980,Estimates,male,5yearly,0_14,13.4477431475777
909,1980,Estimates,female,5yearly,0_19,13.7299388781541
909,1980,Estimates,male,5yearly,0_19,15.0716507495176
909,1980,Estimates,female,5yearly,0_24,15.1232439531266
909,1980,Estimates,male,5yearly,0_24,17.2020273851673
909,1980,Estimates,female,5yearly,5_14,1.50721717907501
909,1980,Estimates,male,5yearly,5_14,1.90326724399735
909,1980,Estimates,female,5yearly,15plus,87.3708192021916
909,1980,Estimates,male,5yearly,15plus,86.5522568524223
909,1980,Estimates,female,5yearly,15_24,2.49406315531821
909,1980,Estimates,male,5yearly,15_24,3.75428423758962
909,1980,Estimates,female,5yearly,15_49,11.2226958099645
909,1980,Estimates,male,5yearly,15_49,15.2521687626499
909,1980,Estimates,female,5yearly,15_59,19.2749165076055
909,1980,Estimates,male,5yearly,15_59,27.1988018281929
909,1980,Estimates,female,5yearly,15_64,25.5116042072165
909,1980,Estimates,male,5yearly,15_64,36.1152976283668
909,1980,Estimates,female,5yearly,20plus,86.270061121846
909,1980,Estimates,male,5yearly,20plus,84.9283492504824
909,1980,Estimates,female,5yearly,20_64,24.4108461268708
909,1980,Estimates,male,5yearly,20_64,34.4913900264269
909,1980,Estimates,female,5yearly,20_69,32.5899234858987
909,1980,Estimates,male,5yearly,20_69,45.3777391297787
909,1980,Estimates,female,5yearly,25plus,84.8767560468734
909,1980,Estimates,male,5yearly,25plus,82.7979726148327
909,1980,Estimates,female,5yearly,25_69,31.1966184109262
909,1980,Estimates,male,5yearly,25_69,43.2473624941289
909,1980,Estimates,female,5yearly,40plus,80.4304182974848
909,1980,Estimates,male,5yearly,40plus,77.0879822537778
909,1980,Estimates,female,5yearly,50plus,76.1481233922271
909,1980,Estimates,male,5yearly,50plus,71.3000880897723
909,1980,Estimates,female,5yearly,60plus,68.0959026945861
909,1980,Estimates,male,5yearly,60plus,59.3534550242294
909,1980,Estimates,female,5yearly,65plus,61.8592149949752
909,1980,Estimates,male,5yearly,65plus,50.4369592240555
909,1980,Estimates,female,5yearly,70plus,53.6801376359473
909,1980,Estimates,male,5yearly,70plus,39.5506101207037
909,1980,Estimates,female,5yearly,80plus,31.3630148109271
909,1980,Estimates,male,5yearly,80plus,15.8488024883946
909,1980,Estimates,female,5yearly,90plus,8.04516003003137
909,1980,Estimates,male,5yearly,90plus,2.54102210543987
909,1985,Estimates,female,5yearly,0_4,10.32698635724
909,1985,Estimates,male,5yearly,0_4,10.8493201382142
909,1985,Estimates,female,5yearly,0_14,11.7444326051073
909,1985,Estimates,male,5yearly,0_14,12.6442548921224
909,1985,Estimates,female,5yearly,0_19,12.8409355401478
909,1985,Estimates,male,5yearly,0_19,14.2539668983285
909,1985,Estimates,female,5yearly,0_24,14.2190913225726
909,1985,Estimates,male,5yearly,0_24,16.3907007860846
909,1985,Estimates,female,5yearly,5_14,1.41744624786732
909,1985,Estimates,male,5yearly,5_14,1.79493475390818
909,1985,Estimates,female,5yearly,15plus,88.2555673948927
909,1985,Estimates,male,5yearly,15plus,87.3557451078776
909,1985,Estimates,female,5yearly,15_24,2.47465871746525
909,1985,Estimates,male,5yearly,15_24,3.7464458939622
909,1985,Estimates,female,5yearly,15_49,11.2018398187514
909,1985,Estimates,male,5yearly,15_49,15.4254429510379
909,1985,Estimates,female,5yearly,15_59,18.3484338265283
909,1985,Estimates,male,5yearly,15_59,25.92549099152
909,1985,Estimates,female,5yearly,15_64,24.1531730253872
909,1985,Estimates,male,5yearly,15_64,34.5818520851348
909,1985,Estimates,female,5yearly,20plus,87.1590644598522
909,1985,Estimates,male,5yearly,20plus,85.7460331016714
909,1985,Estimates,female,5yearly,20_64,23.0566700903467
909,1985,Estimates,male,5yearly,20_64,32.9721400789287
909,1985,Estimates,female,5yearly,20_69,30.7708404956578
909,1985,Estimates,male,5yearly,20_69,43.5141790593318
909,1985,Estimates,female,5yearly,25plus,85.7809086774274
909,1985,Estimates,male,5yearly,25plus,83.6092992139153
909,1985,Estimates,female,5yearly,25_69,29.392684713233
909,1985,Estimates,male,5yearly,25_69,41.3774451715757
909,1985,Estimates,female,5yearly,40plus,81.2680570651304
909,1985,Estimates,male,5yearly,40plus,77.5659844918207
909,1985,Estimates,female,5yearly,50plus,77.0537275761413
909,1985,Estimates,male,5yearly,50plus,71.9303021568397
909,1985,Estimates,female,5yearly,60plus,69.9071335683643
909,1985,Estimates,male,5yearly,60plus,61.4302541163576
909,1985,Estimates,female,5yearly,65plus,64.1023943695055
909,1985,Estimates,male,5yearly,65plus,52.7738930227427
909,1985,Estimates,female,5yearly,70plus,56.3882239641944
909,1985,Estimates,male,5yearly,70plus,42.2318540423397
909,1985,Estimates,female,5yearly,80plus,33.7646031342688
909,1985,Estimates,male,5yearly,80plus,18.0162483586169
909,1985,Estimates,female,5yearly,90plus,9.41540485194541
909,1985,Estimates,male,5yearly,90plus,2.82193350485565
909,1990,Estimates,female,5yearly,0_4,9.44655760686932
909,1990,Estimates,male,5yearly,0_4,10.085020228831
909,1990,Estimates,female,5yearly,0_14,10.6750780839286
909,1990,Estimates,male,5yearly,0_14,11.6528850870205
909,1990,Estimates,female,5yearly,0_19,11.6588840440775
909,1990,Estimates,male,5yearly,0_19,13.0689032599205
909,1990,Estimates,female,5yearly,0_24,12.9269876611931
909,1990,Estimates,male,5yearly,0_24,15.0345612100424
909,1990,Estimates,female,5yearly,5_14,1.2285204770593
909,1990,Estimates,male,5yearly,5_14,1.56786485818946
909,1990,Estimates,female,5yearly,15plus,89.3249219160714
909,1990,Estimates,male,5yearly,15plus,88.3471149129795
909,1990,Estimates,female,5yearly,15_24,2.25190957726443
909,1990,Estimates,male,5yearly,15_24,3.38167612302191
909,1990,Estimates,female,5yearly,15_49,10.9247404933461
909,1990,Estimates,male,5yearly,15_49,15.3279923189581
909,1990,Estimates,female,5yearly,15_59,17.7076826339281
909,1990,Estimates,male,5yearly,15_59,24.970169866521
909,1990,Estimates,female,5yearly,15_64,22.9186380925874
909,1990,Estimates,male,5yearly,15_64,32.7479205874884
909,1990,Estimates,female,5yearly,20plus,88.3411159559225
909,1990,Estimates,male,5yearly,20plus,86.9310967400795
909,1990,Estimates,female,5yearly,20_64,21.9348321324386
909,1990,Estimates,male,5yearly,20_64,31.3319024145884
909,1990,Estimates,female,5yearly,20_69,29.355227757677
909,1990,Estimates,male,5yearly,20_69,41.7959305784089
909,1990,Estimates,female,5yearly,25plus,87.0730123388069
909,1990,Estimates,male,5yearly,25plus,84.9654387899576
909,1990,Estimates,female,5yearly,25_69,28.0871241405614
909,1990,Estimates,male,5yearly,25_69,39.830272628287
909,1990,Estimates,female,5yearly,40plus,82.7429879085877
909,1990,Estimates,male,5yearly,40plus,78.8727862214352
909,1990,Estimates,female,5yearly,50plus,78.4001814227253
909,1990,Estimates,male,5yearly,50plus,73.0191225940215
909,1990,Estimates,female,5yearly,60plus,71.6172392821433
909,1990,Estimates,male,5yearly,60plus,63.3769450464585
909,1990,Estimates,female,5yearly,65plus,66.4062838234839
909,1990,Estimates,male,5yearly,65plus,55.5991943254911
909,1990,Estimates,female,5yearly,70plus,58.9858881982456
909,1990,Estimates,male,5yearly,70plus,45.1351661616706
909,1990,Estimates,female,5yearly,80plus,36.7778911669811
909,1990,Estimates,male,5yearly,80plus,20.7972559755932
909,1990,Estimates,female,5yearly,90plus,10.4905629258538
909,1990,Estimates,male,5yearly,90plus,3.32601639874626
909,1995,Estimates,female,5yearly,0_4,8.89980149570677
909,1995,Estimates,male,5yearly,0_4,9.31124078169852
909,1995,Estimates,female,5yearly,0_14,10.0183116363524
909,1995,Estimates,male,5yearly,0_14,10.7125570576728
909,1995,Estimates,female,5yearly,0_19,10.913696796233
909,1995,Estimates,male,5yearly,0_19,11.9772374338669
909,1995,Estimates,female,5yearly,0_24,12.108377188933
909,1995,Estimates,male,5yearly,0_24,13.83837636888
909,1995,Estimates,female,5yearly,5_14,1.11851014064568
909,1995,Estimates,male,5yearly,5_14,1.40131627597427
909,1995,Estimates,female,5yearly,15plus,89.9816883636475
909,1995,Estimates,male,5yearly,15plus,89.2874429423272
909,1995,Estimates,female,5yearly,15_24,2.09006555258056
909,1995,Estimates,male,5yearly,15_24,3.12581931120717
909,1995,Estimates,female,5yearly,15_49,10.7596251500323
909,1995,Estimates,male,5yearly,15_49,15.0768387864446
909,1995,Estimates,female,5yearly,15_59,17.5541655125719
909,1995,Estimates,male,5yearly,15_59,24.5813529811163
909,1995,Estimates,female,5yearly,15_64,22.2747976487243
909,1995,Estimates,male,5yearly,15_64,31.5549938488635
909,1995,Estimates,female,5yearly,20plus,89.0863032037669
909,1995,Estimates,male,5yearly,20plus,88.0227625661331
909,1995,Estimates,female,5yearly,20_64,21.3794124888437
909,1995,Estimates,male,5yearly,20_64,30.2903134726695
909,1995,Estimates,female,5yearly,20_69,27.8190687224941
909,1995,Estimates,male,5yearly,20_69,39.7067622165603
909,1995,Estimates,female,5yearly,25plus,87.891622811067
909,1995,Estimates,male,5yearly,25plus,86.16162363112
909,1995,Estimates,female,5yearly,25_69,26.6243883297941
909,1995,Estimates,male,5yearly,25_69,37.8456232815473
909,1995,Estimates,female,5yearly,40plus,83.6395531345213
909,1995,Estimates,male,5yearly,40plus,80.0605702069874
909,1995,Estimates,female,5yearly,50plus,79.2220632136152
909,1995,Estimates,male,5yearly,50plus,74.2106041558826
909,1995,Estimates,female,5yearly,60plus,72.4275228510756
909,1995,Estimates,male,5yearly,60plus,64.7060899612109
909,1995,Estimates,female,5yearly,65plus,67.7068907149232
909,1995,Estimates,male,5yearly,65plus,57.7324490934636
909,1995,Estimates,female,5yearly,70plus,61.2672344812729
909,1995,Estimates,male,5yearly,70plus,48.3160003495728
909,1995,Estimates,female,5yearly,80plus,40.3721570799865
909,1995,Estimates,male,5yearly,80plus,23.8405275859983
909,1995,Estimates,female,5yearly,90plus,12.5101945034315
909,1995,Estimates,male,5yearly,90plus,4.4244485825496
909,2000,Estimates,female,5yearly,0_4,8.13510906799798
909,2000,Estimates,male,5yearly,0_4,8.51775848460931
909,2000,Estimates,female,5yearly,0_14,9.1167764798918
909,2000,Estimates,male,5yearly,0_14,9.79753250529639
909,2000,Estimates,female,5yearly,0_19,9.89058094460314
909,2000,Estimates,male,5yearly,0_19,10.9088190088481
909,2000,Estimates,female,5yearly,0_24,10.9324824194138
909,2000,Estimates,male,5yearly,0_24,12.4709010094296
909,2000,Estimates,female,5yearly,5_14,0.981667411893825
909,2000,Estimates,male,5yearly,5_14,1.27977402068708
909,2000,Estimates,female,5yearly,15plus,90.8832235201082
909,2000,Estimates,male,5yearly,15plus,90.2024674947036
909,2000,Estimates,female,5yearly,15_24,1.81570593952204
909,2000,Estimates,male,5yearly,15_24,2.67336850413326
909,2000,Estimates,female,5yearly,15_49,10.221868290646
909,2000,Estimates,male,5yearly,15_49,14.2263947160719
909,2000,Estimates,female,5yearly,15_59,17.2821873464124
909,2000,Estimates,male,5yearly,15_59,24.0561625057118
909,2000,Estimates,female,5yearly,15_64,21.9477404835724
909,2000,Estimates,male,5yearly,15_64,30.833714119553
909,2000,Estimates,female,5yearly,20plus,90.1094190553969
909,2000,Estimates,male,5yearly,20plus,89.0911809911519
909,2000,Estimates,female,5yearly,20_64,21.173936018861
909,2000,Estimates,male,5yearly,20_64,29.7224276160013
909,2000,Estimates,female,5yearly,20_69,27.0443551814228
909,2000,Estimates,male,5yearly,20_69,38.1692352428031
909,2000,Estimates,female,5yearly,25plus,89.0675175805862
909,2000,Estimates,male,5yearly,25plus,87.5290989905703
909,2000,Estimates,female,5yearly,25_69,26.0024537066121
909,2000,Estimates,male,5yearly,25_69,36.6071532422216
909,2000,Estimates,female,5yearly,40plus,85.0425518548766
909,2000,Estimates,male,5yearly,40plus,81.9196610310306
909,2000,Estimates,female,5yearly,50plus,80.6613552294622
909,2000,Estimates,male,5yearly,50plus,75.9760727786316
909,2000,Estimates,female,5yearly,60plus,73.6010361736958
909,2000,Estimates,male,5yearly,60plus,66.1463049889918
909,2000,Estimates,female,5yearly,65plus,68.9354830365359
909,2000,Estimates,male,5yearly,65plus,59.3687533751506
