continent,year,variant,agebroad,population
909,2005,Estimates,60plus,4689.88
909,2005,Estimates,65plus,3399.926
909,2005,Estimates,70plus,2371.268
909,2005,Estimates,75plus,1548.981
909,2005,Estimates,80plus,851.641
909,2005,Estimates,85plus,355.458
909,2005,Estimates,90plus,119.22
909,2010,Estimates,total,36410.779
909,2010,Estimates,0_1,1274.87
909,2010,Estimates,0_4,3074.842
909,2010,Estimates,0_14,8752.573
909,2010,Estimates,0_17,10432.741
909,2010,Estimates,0_19,11554.863
909,2010,Estimates,0_24,14366.612
909,2010,Estimates,3_4,1187.814
909,2010,Estimates,3_5,1768.276
909,2010,Estimates,3_6,2342.544
909,2010,Estimates,4_5,1169.13
909,2010,Estimates,4_6,1743.398
909,2010,Estimates,5_10,3420.796
909,2010,Estimates,5_11,3985.899
909,2010,Estimates,5_14,5677.731
909,2010,Estimates,6_9,2275.895
909,2010,Estimates,6_10,2840.334
909,2010,Estimates,6_11,3405.437
909,2010,Estimates,6_12,3970.737
909,2010,Estimates,7_10,2266.066
909,2010,Estimates,7_12,3396.469
909,2010,Estimates,11_16,3377.74
909,2010,Estimates,11_17,3937.103
909,2010,Estimates,11_18,4497.366
909,2010,Estimates,12_14,1691.832
909,2010,Estimates,12_16,2812.637
909,2010,Estimates,12_17,3372
909,2010,Estimates,12_18,3932.263
909,2010,Estimates,13_17,2806.7
909,2010,Estimates,13_18,3366.963
909,2010,Estimates,13_19,3928.822
909,2010,Estimates,15plus,27658.206
909,2010,Estimates,15_17,1680.168
909,2010,Estimates,15_24,5614.039
909,2010,Estimates,15_49,18129.034
909,2010,Estimates,15_59,22096.213
909,2010,Estimates,15_64,23752.628
909,2010,Estimates,16plus,27097.171
909,2010,Estimates,17plus,26537.401
909,2010,Estimates,18plus,25978.038
909,2010,Estimates,18_23,3374.135
909,2010,Estimates,20plus,24855.916
909,2010,Estimates,20_64,20950.338
909,2010,Estimates,20_69,22177.427
909,2010,Estimates,21plus,24292.995
909,2010,Estimates,25plus,22044.167
909,2010,Estimates,25_49,12514.995
909,2010,Estimates,25_64,18138.589
909,2010,Estimates,25_69,19365.678
909,2010,Estimates,50plus,9529.172
909,2010,Estimates,60plus,5561.993
909,2010,Estimates,65plus,3905.578
909,2010,Estimates,70plus,2678.489
909,2010,Estimates,75plus,1734.282
909,2010,Estimates,80plus,1023.135
909,2010,Estimates,85plus,470.261
909,2010,Estimates,90plus,145.438
909,2015,Constant_fertility,total,39331.13
909,2015,Constant_mortality,total,39331.13
909,2015,Estimates,total,39331.13
909,2015,High_variant,total,39331.13
909,2015,Instant_replacement,total,39331.13
909,2015,Low_variant,total,39331.13
909,2015,Medium_variant,total,39331.13
909,2015,No_change,total,39331.13
909,2015,Zero_migration,total,39331.13
909,2015,Estimates,0_1,1265.946
909,2015,Medium_variant,0_1,1265.946
909,2015,Constant_fertility,0_4,3196.382
909,2015,Constant_mortality,0_4,3196.382
909,2015,Estimates,0_4,3196.382
909,2015,High_variant,0_4,3196.382
909,2015,Instant_replacement,0_4,3196.382
909,2015,Low_variant,0_4,3196.382
909,2015,Medium_variant,0_4,3196.382
909,2015,No_change,0_4,3196.382
909,2015,Zero_migration,0_4,3196.382
909,2015,Constant_fertility,0_14,9228.446
909,2015,Constant_mortality,0_14,9228.446
909,2015,Estimates,0_14,9228.446
909,2015,High_variant,0_14,9228.446
909,2015,Instant_replacement,0_14,9228.446
909,2015,Low_variant,0_14,9228.446
909,2015,Medium_variant,0_14,9228.446
