region,year,variant,freq,agebroad,totaldeaths
957,2005,estimates,5yearly,25_29,0.219
957,2005,estimates,5yearly,30_34,0.257
957,2005,estimates,5yearly,35_39,0.356
957,2005,estimates,5yearly,40_44,0.5
957,2005,estimates,5yearly,45_49,0.685
957,2005,estimates,5yearly,50_54,0.928
957,2005,estimates,5yearly,55_59,1.165
957,2005,estimates,5yearly,60_64,1.471
957,2005,estimates,5yearly,65_69,1.887
957,2005,estimates,5yearly,70_74,2.149
957,2005,estimates,5yearly,75_79,2.207
957,2005,estimates,5yearly,80_84,1.881
957,2005,estimates,5yearly,85_89,1.142
957,2005,estimates,5yearly,90_94,0.522
957,2005,estimates,5yearly,95plus,0.174
957,2005,estimates,5yearly,0_14,1.768
957,2005,estimates,5yearly,0_19,1.929
957,2005,estimates,5yearly,0_24,2.132
957,2005,estimates,5yearly,5_14,0.185
957,2005,estimates,5yearly,15plus,15.907
957,2005,estimates,5yearly,15_24,0.364
957,2005,estimates,5yearly,15_49,2.381
957,2005,estimates,5yearly,15_59,4.474
957,2005,estimates,5yearly,15_64,5.945
957,2005,estimates,5yearly,20plus,15.746
957,2005,estimates,5yearly,20_64,5.784
957,2005,estimates,5yearly,20_69,7.671
957,2005,estimates,5yearly,25plus,15.543
957,2005,estimates,5yearly,25_69,7.468
957,2005,estimates,5yearly,40plus,14.711
957,2005,estimates,5yearly,50plus,13.526
957,2005,estimates,5yearly,60plus,11.433
957,2005,estimates,5yearly,65plus,9.962
957,2005,estimates,5yearly,70plus,8.075
957,2005,estimates,5yearly,80plus,3.719
957,2005,estimates,5yearly,90plus,0.696
957,2010,estimates,5yearly,0_4,1.327
957,2010,estimates,5yearly,5_9,0.075
957,2010,estimates,5yearly,10_14,0.083
957,2010,estimates,5yearly,15_19,0.141
957,2010,estimates,5yearly,20_24,0.191
957,2010,estimates,5yearly,25_29,0.201
957,2010,estimates,5yearly,30_34,0.227
957,2010,estimates,5yearly,35_39,0.31
957,2010,estimates,5yearly,40_44,0.473
957,2010,estimates,5yearly,45_49,0.701
957,2010,estimates,5yearly,50_54,0.986
957,2010,estimates,5yearly,55_59,1.314
957,2010,estimates,5yearly,60_64,1.581
