country,variant,gender,year,population
64,Zero_migration,male,2034,477.586
64,Constant_fertility,female,2035,453.515
64,Constant_fertility,male,2035,502.478
64,Constant_mortality,female,2035,419.269
64,Constant_mortality,male,2035,468.002
64,High_variant,female,2035,459.056
64,High_variant,male,2035,508.194
64,Instant_replacement,female,2035,457.077
64,Instant_replacement,male,2035,506.151
64,Low_variant,female,2035,403.471
64,Low_variant,male,2035,450.787
64,Medium_variant,female,2035,431.253
64,Medium_variant,male,2035,479.479
64,No_change,female,2035,441
64,No_change,male,2035,490.39
64,Zero_migration,female,2035,431.253
64,Zero_migration,male,2035,479.479
64,Constant_fertility,female,2036,457.61
64,Constant_fertility,male,2036,505.95
64,Constant_mortality,female,2036,420.671
64,Constant_mortality,male,2036,468.773
64,High_variant,female,2036,463.158
64,High_variant,male,2036,511.671
64,Instant_replacement,female,2036,461.235
64,Instant_replacement,male,2036,509.687
64,Low_variant,female,2036,404.267
64,Low_variant,male,2036,450.855
64,Medium_variant,female,2036,433.692
64,Medium_variant,male,2036,481.241
64,No_change,female,2036,443.99
64,No_change,male,2036,492.794
64,Zero_migration,female,2036,433.692
64,Zero_migration,male,2036,481.241
64,Constant_fertility,female,2037,461.62
64,Constant_fertility,male,2037,509.324
64,Constant_mortality,female,2037,421.922
64,Constant_mortality,male,2037,469.378
64,High_variant,female,2037,467.152
64,High_variant,male,2037,515.028
64,Instant_replacement,female,2037,465.301
64,Instant_replacement,male,2037,513.119
64,Low_variant,female,2037,404.946
64,Low_variant,male,2037,450.794
64,Medium_variant,female,2037,436.013
64,Medium_variant,male,2037,482.873
64,No_change,female,2037,446.854
64,No_change,male,2037,495.057
64,Zero_migration,female,2037,436.013
64,Zero_migration,male,2037,482.873
64,Constant_fertility,female,2038,465.55
64,Constant_fertility,male,2038,512.61
64,Constant_mortality,female,2038,423.024
64,Constant_mortality,male,2038,469.818
64,High_variant,female,2038,471.051
64,High_variant,male,2038,518.281
64,Instant_replacement,female,2038,469.283
64,Instant_replacement,male,2038,516.457
64,Low_variant,female,2038,405.508
64,Low_variant,male,2038,450.605
64,Medium_variant,female,2038,438.221
64,Medium_variant,male,2038,484.381
64,No_change,female,2038,449.597
64,No_change,male,2038,497.185
64,Zero_migration,female,2038,438.221
64,Zero_migration,male,2038,484.381
64,Constant_fertility,female,2039,469.41
64,Constant_fertility,male,2039,515.817
64,Constant_mortality,female,2039,423.979
64,Constant_mortality,male,2039,470.096
64,High_variant,female,2039,474.87
64,High_variant,male,2039,521.444
64,Instant_replacement,female,2039,473.19
64,Instant_replacement,male,2039,519.712
64,Low_variant,female,2039,405.951
64,Low_variant,male,2039,450.287
64,Medium_variant,female,2039,440.32
64,Medium_variant,male,2039,485.77
64,No_change,female,2039,452.226
64,No_change,male,2039,499.186
64,Zero_migration,female,2039,440.32
64,Zero_migration,male,2039,485.77
64,Constant_fertility,female,2040,473.208
64,Constant_fertility,male,2040,518.955
64,Constant_mortality,female,2040,424.789
64,Constant_mortality,male,2040,470.215
64,High_variant,female,2040,478.622
64,High_variant,male,2040,524.533
64,Instant_replacement,female,2040,477.031
64,Instant_replacement,male,2040,522.893
64,Low_variant,female,2040,406.273
64,Low_variant,male,2040,449.84
64,Medium_variant,female,2040,442.312
64,Medium_variant,male,2040,487.044
64,No_change,female,2040,454.748
64,No_change,male,2040,501.066
64,Zero_migration,female,2040,442.312
64,Zero_migration,male,2040,487.044
64,Constant_fertility,female,2041,476.945
64,Constant_fertility,male,2041,522.026
64,Constant_mortality,female,2041,425.456
64,Constant_mortality,male,2041,470.177
64,High_variant,female,2041,482.312
64,High_variant,male,2041,527.553
64,Instant_replacement,female,2041,480.807
64,Instant_replacement,male,2041,526.003
64,Low_variant,female,2041,406.473
64,Low_variant,male,2041,449.263
64,Medium_variant,female,2041,444.199
64,Medium_variant,male,2041,488.206
64,No_change,female,2041,457.164
64,No_change,male,2041,502.827
64,Zero_migration,female,2041,444.199
64,Zero_migration,male,2041,488.206
64,Constant_fertility,female,2042,480.621
64,Constant_fertility,male,2042,525.029
64,Constant_mortality,female,2042,425.982
64,Constant_mortality,male,2042,469.981
64,High_variant,female,2042,485.944
64,High_variant,male,2042,530.51
64,Instant_replacement,female,2042,484.521
64,Instant_replacement,male,2042,529.044
64,Low_variant,female,2042,406.549
64,Low_variant,male,2042,448.554
64,Medium_variant,female,2042,445.981
64,Medium_variant,male,2042,489.255
64,No_change,female,2042,459.475
64,No_change,male,2042,504.47
64,Zero_migration,female,2042,445.981
64,Zero_migration,male,2042,489.255
64,Constant_fertility,female,2043,484.238
64,Constant_fertility,male,2043,527.965
64,Constant_mortality,female,2043,426.366
64,Constant_mortality,male,2043,469.631
64,High_variant,female,2043,489.529
64,High_variant,male,2043,533.413
64,Instant_replacement,female,2043,488.178
64,Instant_replacement,male,2043,532.021
64,Low_variant,female,2043,406.497
64,Low_variant,male,2043,447.708
64,Medium_variant,female,2043,447.659
64,Medium_variant,male,2043,490.191
64,No_change,female,2043,461.683
64,No_change,male,2043,505.996
64,Zero_migration,female,2043,447.659
64,Zero_migration,male,2043,490.191
64,Constant_fertility,female,2044,487.796
64,Constant_fertility,male,2044,530.835
64,Constant_mortality,female,2044,426.612
64,Constant_mortality,male,2044,469.125
64,High_variant,female,2044,493.079
64,High_variant,male,2044,536.272
64,Instant_replacement,female,2044,491.786
64,Instant_replacement,male,2044,534.94
64,Low_variant,female,2044,406.31
64,Low_variant,male,2044,446.717
64,Medium_variant,female,2044,449.232
64,Medium_variant,male,2044,491.012
64,No_change,female,2044,463.79
64,No_change,male,2044,507.408
64,Zero_migration,female,2044,449.232
64,Zero_migration,male,2044,491.012
64,Constant_fertility,female,2045,491.297
64,Constant_fertility,male,2045,533.636
64,Constant_mortality,female,2045,426.719
64,Constant_mortality,male,2045,468.466
64,High_variant,female,2045,496.601
64,High_variant,male,2045,539.094
64,Instant_replacement,female,2045,495.35
64,Instant_replacement,male,2045,537.806
64,Low_variant,female,2045,405.985
64,Low_variant,male,2045,445.575
64,Medium_variant,female,2045,450.701
64,Medium_variant,male,2045,491.718
64,No_change,female,2045,465.797
64,No_change,male,2045,508.705
64,Zero_migration,female,2045,450.701
64,Zero_migration,male,2045,491.718
64,Constant_fertility,female,2046,494.74
64,Constant_fertility,male,2046,536.37
64,Constant_mortality,female,2046,426.689
64,Constant_mortality,male,2046,467.654
64,High_variant,female,2046,500.099
64,High_variant,male,2046,541.883
64,Instant_replacement,female,2046,498.871
64,Instant_replacement,male,2046,540.619
64,Low_variant,female,2046,405.52
64,Low_variant,male,2046,444.28
64,Medium_variant,female,2046,452.065
64,Medium_variant,male,2046,492.308
64,No_change,female,2046,467.706
64,No_change,male,2046,509.89
64,Zero_migration,female,2046,452.065
64,Zero_migration,male,2046,492.308
64,Constant_fertility,female,2047,498.125
64,Constant_fertility,male,2047,539.035
64,Constant_mortality,female,2047,426.524
64,Constant_mortality,male,2047,466.69
64,High_variant,female,2047,503.574
64,High_variant,male,2047,544.64
64,Instant_replacement,female,2047,502.347
64,Instant_replacement,male,2047,543.378
64,Low_variant,female,2047,404.914
64,Low_variant,male,2047,442.834
64,Medium_variant,female,2047,453.325
64,Medium_variant,male,2047,492.782
64,No_change,female,2047,469.517
64,No_change,male,2047,510.962
64,Zero_migration,female,2047,453.325
64,Zero_migration,male,2047,492.782
64,Constant_fertility,female,2048,501.45
64,Constant_fertility,male,2048,541.631
64,Constant_mortality,female,2048,426.222
64,Constant_mortality,male,2048,465.574
64,High_variant,female,2048,507.025
64,High_variant,male,2048,547.364
64,Instant_replacement,female,2048,505.777
64,Instant_replacement,male,2048,546.082
64,Low_variant,female,2048,404.168
64,Low_variant,male,2048,441.234
64,Medium_variant,female,2048,454.48
64,Medium_variant,male,2048,493.141
64,No_change,female,2048,471.226
64,No_change,male,2048,511.919
64,Zero_migration,female,2048,454.48
64,Zero_migration,male,2048,493.141
64,Constant_fertility,female,2049,504.71
64,Constant_fertility,male,2049,544.153
64,Constant_mortality,female,2049,425.783
64,Constant_mortality,male,2049,464.306
64,High_variant,female,2049,510.45
64,High_variant,male,2049,550.056
64,Instant_replacement,female,2049,509.157
64,Instant_replacement,male,2049,548.727
64,Low_variant,female,2049,403.28
64,Low_variant,male,2049,439.483
64,Medium_variant,female,2049,455.53
64,Medium_variant,male,2049,493.385
64,No_change,female,2049,472.832
64,No_change,male,2049,512.756
64,Zero_migration,female,2049,455.53
64,Zero_migration,male,2049,493.385
64,Constant_fertility,female,2050,507.902
64,Constant_fertility,male,2050,546.599
64,Constant_mortality,female,2050,425.208
64,Constant_mortality,male,2050,462.884
64,High_variant,female,2050,513.848
64,High_variant,male,2050,552.713
64,Instant_replacement,female,2050,512.482
64,Instant_replacement,male,2050,551.31
64,Low_variant,female,2050,402.251
64,Low_variant,male,2050,437.582
64,Medium_variant,female,2050,456.474
64,Medium_variant,male,2050,493.514
64,No_change,female,2050,474.329
64,No_change,male,2050,513.47
64,Zero_migration,female,2050,456.474
64,Zero_migration,male,2050,493.514
64,Constant_fertility,female,2051,511.026
64,Constant_fertility,male,2051,548.969
64,Constant_mortality,female,2051,424.497
64,Constant_mortality,male,2051,461.311
64,High_variant,female,2051,517.217
64,High_variant,male,2051,555.335
64,Instant_replacement,female,2051,515.752
64,Instant_replacement,male,2051,553.83
64,Low_variant,female,2051,401.081
64,Low_variant,male,2051,435.531
64,Medium_variant,female,2051,457.312
64,Medium_variant,male,2051,493.528
64,No_change,female,2051,475.719
64,No_change,male,2051,514.061
64,Zero_migration,female,2051,457.312
64,Zero_migration,male,2051,493.528
64,Constant_fertility,female,2052,514.079
64,Constant_fertility,male,2052,551.259
64,Constant_mortality,female,2052,423.651
64,Constant_mortality,male,2052,459.589
64,High_variant,female,2052,520.554
64,High_variant,male,2052,557.917
64,Instant_replacement,female,2052,518.962
64,Instant_replacement,male,2052,556.282
64,Low_variant,female,2052,399.772
64,Low_variant,male,2052,433.33
64,Medium_variant,female,2052,458.043
64,Medium_variant,male,2052,493.427
64,No_change,female,2052,477
64,No_change,male,2052,514.531
64,Zero_migration,female,2052,458.043
64,Zero_migration,male,2052,493.427
64,Constant_fertility,female,2053,517.055
64,Constant_fertility,male,2053,553.464
64,Constant_mortality,female,2053,422.67
64,Constant_mortality,male,2053,457.716
64,High_variant,female,2053,523.845
64,High_variant,male,2053,560.446
64,Instant_replacement,female,2053,522.103
64,Instant_replacement,male,2053,558.656
64,Low_variant,female,2053,398.323
64,Low_variant,male,2053,430.98
64,Medium_variant,female,2053,458.662
64,Medium_variant,male,2053,493.205
64,No_change,female,2053,478.172
64,No_change,male,2053,514.875
64,Zero_migration,female,2053,458.662
64,Zero_migration,male,2053,493.205
64,Constant_fertility,female,2054,519.947
64,Constant_fertility,male,2054,555.576
64,Constant_mortality,female,2054,421.554
64,Constant_mortality,male,2054,455.694
64,High_variant,female,2054,527.076
64,High_variant,male,2054,562.906
64,Instant_replacement,female,2054,525.16
64,Instant_replacement,male,2054,560.938
64,Low_variant,female,2054,396.735
64,Low_variant,male,2054,428.482
64,Medium_variant,female,2054,459.166
64,Medium_variant,male,2054,492.857
64,No_change,female,2054,479.23
64,No_change,male,2054,515.092
64,Zero_migration,female,2054,459.166
64,Zero_migration,male,2054,492.857
64,Constant_fertility,female,2055,522.75
64,Constant_fertility,male,2055,557.589
64,Constant_mortality,female,2055,420.302
64,Constant_mortality,male,2055,453.521
64,High_variant,female,2055,530.233
64,High_variant,male,2055,565.283
64,Instant_replacement,female,2055,528.124
64,Instant_replacement,male,2055,563.115
64,Low_variant,female,2055,395.011
64,Low_variant,male,2055,425.837
64,Medium_variant,female,2055,459.551
64,Medium_variant,male,2055,492.38
64,No_change,female,2055,480.172
64,No_change,male,2055,515.179
64,Zero_migration,female,2055,459.551
64,Zero_migration,male,2055,492.38
64,Constant_fertility,female,2056,525.46
64,Constant_fertility,male,2056,559.5
64,Constant_mortality,female,2056,418.916
64,Constant_mortality,male,2056,451.202
64,High_variant,female,2056,533.311
64,High_variant,male,2056,567.571
64,Instant_replacement,female,2056,530.989
64,Instant_replacement,male,2056,565.184
64,Low_variant,female,2056,393.151
64,Low_variant,male,2056,423.046
64,Medium_variant,female,2056,459.815
64,Medium_variant,male,2056,491.772
64,No_change,female,2056,480.999
64,No_change,male,2056,515.138
64,Zero_migration,female,2056,459.815
