region,year,variant,freq,age1yearinterval,survivorage
915,2020,medium_variant,5yearly,75,61925.1670341995
915,2020,medium_variant,5yearly,80,49923.5984996862
915,2020,medium_variant,5yearly,85,35968.409844476
915,2020,medium_variant,5yearly,90,21973.0374688198
915,2020,medium_variant,5yearly,95,10612.8425165953
915,2020,medium_variant,5yearly,100plus,3719.73110617225
915,2025,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2025,medium_variant,5yearly,0,100000
915,2025,medium_variant,5yearly,1,98033.5817594681
915,2025,medium_variant,5yearly,5,97128.0995505371
915,2025,medium_variant,5yearly,10,96720.2093225554
915,2025,medium_variant,5yearly,15,96378.5433981344
915,2025,medium_variant,5yearly,20,95881.5428104292
915,2025,medium_variant,5yearly,25,95167.4996603029
915,2025,medium_variant,5yearly,30,94292.535930645
915,2025,medium_variant,5yearly,35,93288.1781588084
915,2025,medium_variant,5yearly,40,92143.3887434436
915,2025,medium_variant,5yearly,45,90737.8988669212
915,2025,medium_variant,5yearly,50,88935.3016051132
915,2025,medium_variant,5yearly,55,86655.1140211693
915,2025,medium_variant,5yearly,60,83567.4092393413
915,2025,medium_variant,5yearly,65,79130.5336740821
915,2025,medium_variant,5yearly,70,72628.3021295508
915,2025,medium_variant,5yearly,75,63539.6677923926
915,2025,medium_variant,5yearly,80,51719.7216852485
915,2025,medium_variant,5yearly,85,37769.4553819982
915,2025,medium_variant,5yearly,90,23503.7346140652
915,2025,medium_variant,5yearly,95,11631.3765129138
915,2025,medium_variant,5yearly,100plus,4201.92171086372
915,2030,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2030,medium_variant,5yearly,0,100000
915,2030,medium_variant,5yearly,1,98227.2697563881
915,2030,medium_variant,5yearly,5,97407.7485325426
915,2030,medium_variant,5yearly,10,97036.4761635414
915,2030,medium_variant,5yearly,15,96725.8491506984
915,2030,medium_variant,5yearly,20,96272.7003858544
915,2030,medium_variant,5yearly,25,95612.4150936639
915,2030,medium_variant,5yearly,30,94792.30396494
915,2030,medium_variant,5yearly,35,93849.2984696661
915,2030,medium_variant,5yearly,40,92762.6090216669
915,2030,medium_variant,5yearly,45,91445.8966005496
915,2030,medium_variant,5yearly,50,89720.5023979924
915,2030,medium_variant,5yearly,55,87403.5548966987
915,2030,medium_variant,5yearly,60,84332.0319426504
915,2030,medium_variant,5yearly,65,80051.9682767251
915,2030,medium_variant,5yearly,70,73868.892631463
915,2030,medium_variant,5yearly,75,65081.1632005168
915,2030,medium_variant,5yearly,80,53494.3252481912
915,2030,medium_variant,5yearly,85,39585.4284253979
915,2030,medium_variant,5yearly,90,25063.5309141972
915,2030,medium_variant,5yearly,95,12673.4685890586
915,2030,medium_variant,5yearly,100plus,4694.91831470896
915,2035,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2035,medium_variant,5yearly,0,100000
915,2035,medium_variant,5yearly,1,98402.8244399536
915,2035,medium_variant,5yearly,5,97666.3056057597
915,2035,medium_variant,5yearly,10,97325.9944551208
915,2035,medium_variant,5yearly,15,97040.6827270204
915,2035,medium_variant,5yearly,20,96620.8698627015
915,2035,medium_variant,5yearly,25,96010.2538281503
915,2035,medium_variant,5yearly,30,95244.3102236859
915,2035,medium_variant,5yearly,35,94350.8453259574
915,2035,medium_variant,5yearly,40,93317.9805520063
915,2035,medium_variant,5yearly,45,92053.9941721926
915,2035,medium_variant,5yearly,50,90422.3415947444
915,2035,medium_variant,5yearly,55,88185.9547532218
915,2035,medium_variant,5yearly,60,85053.8786530247
915,2035,medium_variant,5yearly,65,80793.1036444741
915,2035,medium_variant,5yearly,70,74834.7526556227
915,2035,medium_variant,5yearly,75,66377.5032786817
915,2035,medium_variant,5yearly,80,55085.6147381818
915,2035,medium_variant,5yearly,85,41311.9622636467
915,2035,medium_variant,5yearly,90,26634.9559475018
915,2035,medium_variant,5yearly,95,13788.9640429691
915,2035,medium_variant,5yearly,100plus,5257.99081896778
915,2040,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2040,medium_variant,5yearly,0,100000
915,2040,medium_variant,5yearly,1,98553.6904606025
915,2040,medium_variant,5yearly,5,97894.6394259296
915,2040,medium_variant,5yearly,10,97583.3894541639
915,2040,medium_variant,5yearly,15,97320.8350657795
915,2040,medium_variant,5yearly,20,96931.5008948944
915,2040,medium_variant,5yearly,25,96364.1922115707
915,2040,medium_variant,5yearly,30,95657.3960730047
915,2040,medium_variant,5yearly,35,94824.4497240196
915,2040,medium_variant,5yearly,40,93843.0786374661
915,2040,medium_variant,5yearly,45,92636.4935197933
915,2040,medium_variant,5yearly,50,91065.0199413583
915,2040,medium_variant,5yearly,55,88944.5616512454
915,2040,medium_variant,5yearly,60,85911.1359643101
915,2040,medium_variant,5yearly,65,81544.9076764963
915,2040,medium_variant,5yearly,70,75637.2894629579
915,2040,medium_variant,5yearly,75,67407.2994248753
915,2040,medium_variant,5yearly,80,56362.2529627913
915,2040,medium_variant,5yearly,85,42769.2327406331
915,2040,medium_variant,5yearly,90,28074.1617662968
915,2040,medium_variant,5yearly,95,14924.5564417753
915,2040,medium_variant,5yearly,100plus,5907.40715292719
915,2045,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2045,medium_variant,5yearly,0,100000
915,2045,medium_variant,5yearly,1,98683.9790153041
915,2045,medium_variant,5yearly,5,98093.4860061059
915,2045,medium_variant,5yearly,10,97808.1989591085
915,2045,medium_variant,5yearly,15,97565.5677694295
915,2045,medium_variant,5yearly,20,97202.0139482837
915,2045,medium_variant,5yearly,25,96671.9052746999
915,2045,medium_variant,5yearly,30,96012.0606327105
915,2045,medium_variant,5yearly,35,95238.2683768954
915,2045,medium_variant,5yearly,40,94314.5140179756
915,2045,medium_variant,5yearly,45,93155.2380950093
915,2045,medium_variant,5yearly,50,91639.2451421742
915,2045,medium_variant,5yearly,55,89581.6799249456
915,2045,medium_variant,5yearly,60,86693.5123711634
915,2045,medium_variant,5yearly,65,82435.0218016006
915,2045,medium_variant,5yearly,70,76383.6136967218
915,2045,medium_variant,5yearly,75,68152.0542270415
915,2045,medium_variant,5yearly,80,57198.020706765
915,2045,medium_variant,5yearly,85,43775.5083544788
915,2045,medium_variant,5yearly,90,29223.3072464706
915,2045,medium_variant,5yearly,95,16011.3645551992
915,2045,medium_variant,5yearly,100plus,6659.27899830024
915,2050,medium_variant,5yearly,"Region, subregion, country or area *",Caribbean
915,2050,medium_variant,5yearly,0,100000
915,2050,medium_variant,5yearly,1,98804.8145027259
915,2050,medium_variant,5yearly,5,98276.7516761288
915,2050,medium_variant,5yearly,10,98019.018096931
915,2050,medium_variant,5yearly,15,97795.4846465656
915,2050,medium_variant,5yearly,20,97456.2777482021
915,2050,medium_variant,5yearly,25,96960.5689914953
915,2050,medium_variant,5yearly,30,96345.4769818394
915,2050,medium_variant,5yearly,35,95622.5062308044
915,2050,medium_variant,5yearly,40,94758.7704613835
915,2050,medium_variant,5yearly,45,93657.9662657037
915,2050,medium_variant,5yearly,50,92188.9323925623
915,2050,medium_variant,5yearly,55,90190.1429171734
915,2050,medium_variant,5yearly,60,87376.8262287837
915,2050,medium_variant,5yearly,65,83309.1207155593
915,2050,medium_variant,5yearly,70,77303.1917584579
915,2050,medium_variant,5yearly,75,68962.1268581679
915,2050,medium_variant,5yearly,80,57986.9023642526
915,2050,medium_variant,5yearly,85,44643.3210437245
915,2050,medium_variant,5yearly,90,30199.0489215045
915,2050,medium_variant,5yearly,95,16967.8070351044
