region,year,variant,gender,freq,agebroad,percentagetotaldeaths
948,1990,estimates,male,5yearly,25plus,55.0055993239333
948,1990,estimates,female,5yearly,25_69,30.6252664270358
948,1990,estimates,male,5yearly,25_69,35.9661625411394
948,1990,estimates,female,5yearly,40plus,46.482597790293
948,1990,estimates,male,5yearly,40plus,46.6074493538086
948,1990,estimates,female,5yearly,50plus,41.5395927279991
948,1990,estimates,male,5yearly,50plus,40.3348976585498
948,1990,estimates,female,5yearly,60plus,34.3426249127279
948,1990,estimates,male,5yearly,60plus,31.4683997103723
948,1990,estimates,female,5yearly,65plus,29.2208252084297
948,1990,estimates,male,5yearly,65plus,25.5606335844043
948,1990,estimates,female,5yearly,70plus,23.1010275927137
948,1990,estimates,male,5yearly,70plus,19.0394367827938
948,1990,estimates,female,5yearly,80plus,9.96797970856431
948,1990,estimates,male,5yearly,80plus,7.00735106117922
948,1990,estimates,female,5yearly,90plus,1.64311954152111
948,1990,estimates,male,5yearly,90plus,0.851489782646897
948,1995,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1995,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1995,estimates,female,5yearly,0_4,31.9220594991911
948,1995,estimates,male,5yearly,0_4,30.9294773082061
948,1995,estimates,female,5yearly,0_14,36.8965967544797
948,1995,estimates,male,5yearly,0_14,35.4804860963524
948,1995,estimates,female,5yearly,0_19,39.0821823825729
948,1995,estimates,male,5yearly,0_19,37.7240223608138
948,1995,estimates,female,5yearly,0_24,41.6848335784945
948,1995,estimates,male,5yearly,0_24,40.5390208317171
948,1995,estimates,female,5yearly,5_14,4.97453725528864
948,1995,estimates,male,5yearly,5_14,4.55100878814629
948,1995,estimates,female,5yearly,15plus,63.1034032455203
948,1995,estimates,male,5yearly,15plus,64.5195139036477
948,1995,estimates,female,5yearly,15_24,4.78823682401477
948,1995,estimates,male,5yearly,15_24,5.0585347353647
948,1995,estimates,female,5yearly,15_49,18.4202070605595
948,1995,estimates,male,5yearly,15_49,21.6708452144637
948,1995,estimates,female,5yearly,15_59,25.8035555854195
948,1995,estimates,male,5yearly,15_59,30.785983776149
948,1995,estimates,female,5yearly,15_64,31.1130905399047
948,1995,estimates,male,5yearly,15_64,36.8593468068521
948,1995,estimates,female,5yearly,20plus,60.9178176174272
948,1995,estimates,male,5yearly,20plus,62.2759776391863
948,1995,estimates,female,5yearly,20_64,28.9275049118116
948,1995,estimates,male,5yearly,20_64,34.6158105423907
