country,year,variant,agebroad,percentagetotalpopulation
540,1995,Estimates,12_14,5.88959714161883
540,1995,Estimates,12_16,9.69460565122253
540,1995,Estimates,12_17,11.5698897451347
540,1995,Estimates,12_18,13.4620873370754
540,1995,Estimates,13_17,9.58942483535767
540,1995,Estimates,13_18,11.4816224272984
540,1995,Estimates,13_19,13.406061374856
540,1995,Estimates,15plus,69.9684986099219
540,1995,Estimates,15_17,5.68029260351589
540,1995,Estimates,15_24,19.1360373788306
540,1995,Estimates,15_49,53.4334400997896
540,1995,Estimates,15_59,61.9097453461453
540,1995,Estimates,15_64,64.7781689024197
540,1995,Estimates,16plus,68.0509307709384
540,1995,Estimates,17plus,66.1634901003182
540,1995,Estimates,18plus,64.288206006406
540,1995,Estimates,18_23,11.6423006585693
540,1995,Estimates,20plus,60.4715694669077
540,1995,Estimates,20_64,55.2812397594055
540,1995,Estimates,20_69,57.3150878973351
540,1995,Estimates,21plus,58.5207031786805
540,1995,Estimates,25plus,50.8324612310912
540,1995,Estimates,25_49,34.297402720959
540,1995,Estimates,25_64,45.642131523589
540,1995,Estimates,25_69,47.6759796615186
540,1995,Estimates,50plus,16.5350585101322
540,1995,Estimates,60plus,8.05875326377657
540,1995,Estimates,65plus,5.19032970750219
540,1995,Estimates,70plus,3.15648156957262
540,1995,Estimates,75plus,1.72729098616264
540,1995,Estimates,80plus,0.83351832471802
540,1995,Estimates,85plus,0.281715451537543
540,1995,Estimates,90plus,0.0454550259516485
540,2000,Estimates,total,100
540,2000,Estimates,0_1,3.84672161983266
540,2000,Estimates,0_4,9.87252198840936
540,2000,Estimates,0_14,28.6465997133292
540,2000,Estimates,0_17,34.1052491226065
540,2000,Estimates,0_19,37.6881574498683
540,2000,Estimates,0_24,46.2373271999124
540,2000,Estimates,3_4,4.03291475592509
540,2000,Estimates,3_5,6.04389586517903
540,2000,Estimates,3_6,8.03535288599361
540,2000,Estimates,4_5,4.03005757225103
540,2000,Estimates,4_6,6.02151459306562
540,2000,Estimates,5_10,11.6420710772059
540,2000,Estimates,5_11,13.443525383696
540,2000,Estimates,5_14,18.7740777249199
540,2000,Estimates,6_9,7.77963494716591
540,2000,Estimates,6_10,9.63108996795192
540,2000,Estimates,6_11,11.432544274442
540,2000,Estimates,6_12,13.2030457577965
540,2000,Estimates,7_10,7.63963294713734
540,2000,Estimates,7_12,11.211588736982
540,2000,Estimates,11_16,10.7611061110397
540,2000,Estimates,11_17,12.5906560569913
540,2000,Estimates,11_18,14.3997295199455
540,2000,Estimates,12_14,5.33055234122392
540,2000,Estimates,12_16,8.95965180454959
540,2000,Estimates,12_17,10.7892017505012
540,2000,Estimates,12_18,12.5982752134554
540,2000,Estimates,13_17,9.01870026714668
540,2000,Estimates,13_18,10.8277737301009
540,2000,Estimates,13_19,12.6016085944085
540,2000,Estimates,15plus,71.3534002866708
540,2000,Estimates,15_17,5.45864940927728
540,2000,Estimates,15_24,17.5907274865831
540,2000,Estimates,15_49,53.1202826707048
540,2000,Estimates,15_59,62.2932708562503
540,2000,Estimates,15_64,65.4080772582465
540,2000,Estimates,16plus,69.5486125992276
540,2000,Estimates,17plus,67.7243008233451
540,2000,Estimates,18plus,65.8947508773935
540,2000,Estimates,18_23,10.4063391381782
540,2000,Estimates,20plus,62.3118425501317
540,2000,Estimates,20_64,56.3665195217074
540,2000,Estimates,20_69,58.6789335085739
540,2000,Estimates,21plus,60.5708652980757
540,2000,Estimates,25plus,53.7626728000876
540,2000,Estimates,25_49,35.5295551841217
540,2000,Estimates,25_64,47.8173497716634
540,2000,Estimates,25_69,50.1297637585299
540,2000,Estimates,50plus,18.2331176159659
540,2000,Estimates,60plus,9.06012943042044
540,2000,Estimates,65plus,5.94532302842422
540,2000,Estimates,70plus,3.63290904155774
540,2000,Estimates,75plus,2.07145816368805
540,2000,Estimates,80plus,0.983823578432073
540,2000,Estimates,85plus,0.307147244960642
540,2000,Estimates,90plus,0.0733343809673472
540,2005,Estimates,total,100
540,2005,Estimates,0_1,3.398153776188
540,2005,Estimates,0_4,8.62154161000162
540,2005,Estimates,0_14,26.8568280108272
540,2005,Estimates,0_17,31.9739552131116
540,2005,Estimates,0_19,35.3034550010276
540,2005,Estimates,0_24,43.605777429892
540,2005,Estimates,3_4,3.50091611532121
540,2005,Estimates,3_5,5.28023508524901
540,2005,Estimates,3_6,7.07792009025594
540,2005,Estimates,4_5,3.53939733167747
540,2005,Estimates,4_6,5.33708233668441
540,2005,Estimates,5_10,10.9068011177044
540,2005,Estimates,5_11,12.7661435261913
540,2005,Estimates,5_14,18.2352864008256
540,2005,Estimates,6_9,7.27907190302733
540,2005,Estimates,6_10,9.12748214777662
540,2005,Estimates,6_11,10.9868245562635
540,2005,Estimates,6_12,12.8413568127058
540,2005,Estimates,7_10,7.32979714276969
540,2005,Estimates,7_12,11.0436718076989
540,2005,Estimates,11_16,10.776052439403
540,2005,Estimates,11_17,12.4456124854056
540,2005,Estimates,11_18,14.1077386600666
540,2005,Estimates,12_14,5.46914287463432
540,2005,Estimates,12_16,8.91671003091616
