continent,variant,gender,year,population
908,Constant_fertility,male,2037,346235.239
908,Constant_mortality,female,2037,365464.977
908,Constant_mortality,male,2037,340202.992
908,High_variant,female,2037,393336.307
908,High_variant,male,2037,371323.474
908,Instant_replacement,female,2037,392765.704
908,Instant_replacement,male,2037,370744.379
908,Low_variant,female,2037,355191.768
908,Low_variant,male,2037,331078.917
908,Medium_variant,female,2037,374241.996
908,Medium_variant,male,2037,351177.929
908,No_change,female,2037,360758.373
908,No_change,male,2037,335235.26
908,Zero_migration,female,2037,362291.04
908,Zero_migration,male,2037,339236.382
908,Constant_fertility,female,2038,368458.796
908,Constant_fertility,male,2038,345396.125
908,Constant_mortality,female,2038,364106.839
908,Constant_mortality,male,2038,338896.631
908,High_variant,female,2038,393585.296
908,High_variant,male,2038,371814.032
908,Instant_replacement,female,2038,392706.451
908,Instant_replacement,male,2038,370909.953
908,Low_variant,female,2038,353435.905
908,Low_variant,male,2038,329456.653
908,Medium_variant,female,2038,373477.875
908,Medium_variant,male,2038,350600.8
908,No_change,female,2038,359151.778
908,No_change,male,2038,333667.202
908,Zero_migration,female,2038,360886.967
908,Zero_migration,male,2038,338022.096
908,Constant_fertility,female,2039,367406.306
908,Constant_fertility,male,2039,344537.895
908,Constant_mortality,female,2039,362724.412
908,Constant_mortality,male,2039,337585.711
908,High_variant,female,2039,393839.546
908,High_variant,male,2039,372328.715
908,Instant_replacement,female,2039,392649.632
908,Instant_replacement,male,2039,371096.625
908,Low_variant,female,2039,351650.432
908,Low_variant,male,2039,327822.31
908,Medium_variant,female,2039,372697.369
908,Medium_variant,male,2039,350025.247
908,No_change,female,2039,357501.417
908,No_change,male,2039,332074.225
908,Zero_migration,female,2039,359462.019
908,Zero_migration,male,2039,336805.127
908,Constant_fertility,female,2040,366315.617
908,Constant_fertility,male,2040,343658.602
908,Constant_mortality,female,2040,361321.379
908,Constant_mortality,male,2040,336273.89
908,High_variant,female,2040,394105.588
908,High_variant,male,2040,372874.657
908,Instant_replacement,female,2040,392603.171
908,Instant_replacement,male,2040,371313.024
908,Low_variant,female,2040,349834.199
908,Low_variant,male,2040,326174.972
908,Medium_variant,female,2040,371902.113
908,Medium_variant,male,2040,349453.275
908,No_change,female,2040,355807.243
908,No_change,male,2040,330456.113
908,Zero_migration,female,2040,358017.69
908,Zero_migration,male,2040,335587.387
908,Constant_fertility,female,2041,365186.175
908,Constant_fertility,male,2041,342758.104
908,Constant_mortality,female,2041,359900.077
908,Constant_mortality,male,2041,334964.405
908,High_variant,female,2041,394387.581
908,High_variant,male,2041,373456.654
908,Instant_replacement,female,2041,392570.843
908,Instant_replacement,male,2041,371563.55
908,Low_variant,female,2041,347986.598
908,Low_variant,male,2041,324514.445
908,Medium_variant,female,2041,371093.317
908,Medium_variant,male,2041,348886.588
908,No_change,female,2041,354069.864
908,No_change,male,2041,328814.277
908,Zero_migration,female,2041,356555.757
908,Zero_migration,male,2041,334371.141
908,Constant_fertility,female,2042,364018.362
908,Constant_fertility,male,2042,341836.017
908,Constant_mortality,female,2042,358462.096
908,Constant_mortality,male,2042,333658.489
908,High_variant,female,2042,394689.578
908,High_variant,male,2042,374078.191
908,Instant_replacement,female,2042,392556.246
908,Instant_replacement,male,2042,371851.207
908,Low_variant,female,2042,346106.059
908,Low_variant,male,2042,322838.303
908,Medium_variant,female,2042,370271.393
908,Medium_variant,male,2042,348324.819
908,No_change,female,2042,352290.874
908,No_change,male,2042,327149.997
908,Zero_migration,female,2042,355076.888
908,Zero_migration,male,2042,333156.3
908,Constant_fertility,female,2043,362812.286
908,Constant_fertility,male,2043,340889.788
908,Constant_mortality,female,2043,357009.266
908,Constant_mortality,male,2043,332354.996
908,High_variant,female,2043,395017.576
908,High_variant,male,2043,374742.902
908,Instant_replacement,female,2043,392566.435
908,Instant_replacement,male,2043,372180.796
908,Low_variant,female,2043,344189.226
908,Low_variant,male,2043,321140.363
908,Medium_variant,female,2043,369436.016
908,Medium_variant,male,2043,347764.977
908,No_change,female,2043,350472.516
908,No_change,male,2043,325462.588
908,Zero_migration,female,2043,353579.961
908,Zero_migration,male,2043,331939.086
908,Constant_fertility,female,2044,361568.372
908,Constant_fertility,male,2044,339916.205
908,Constant_mortality,female,2044,355543.069
908,Constant_mortality,male,2044,331051.243
908,High_variant,female,2044,395377.808
908,High_variant,male,2044,375453.697
908,Instant_replacement,female,2044,392608.948
908,Instant_replacement,male,2044,372556.655
908,Low_variant,female,2044,342231.929
908,Low_variant,male,2044,319412.593
908,Medium_variant,female,2044,368586.311
908,Medium_variant,male,2044,347202.496
908,No_change,female,2044,348617.611
908,No_change,male,2044,323750.818
908,Zero_migration,female,2044,352062.915
908,Zero_migration,male,2044,330713.808
908,Constant_fertility,female,2045,360287.228
908,Constant_fertility,male,2045,338912.876
908,Constant_mortality,female,2045,354064.618
908,Constant_mortality,male,2045,329745.092
908,High_variant,female,2045,395775.073
908,High_variant,male,2045,376212.586
908,Instant_replacement,female,2045,392688.821
908,Instant_replacement,male,2045,372981.056
908,Low_variant,female,2045,340230.851
908,Low_variant,male,2045,317648.475
908,Medium_variant,female,2045,367721.5
908,Medium_variant,male,2045,346633.501
908,No_change,female,2045,346728.687
908,No_change,male,2045,322014.059
908,Zero_migration,female,2045,350524.267
908,Zero_migration,male,2045,329475.907
908,Constant_fertility,female,2046,358969.333
908,Constant_fertility,male,2046,337879.681
908,Constant_mortality,female,2046,352575.787
908,Constant_mortality,male,2046,328437.459
908,High_variant,female,2046,396211.9
908,High_variant,male,2046,377021.607
908,Instant_replacement,female,2046,392808.033
908,Instant_replacement,male,2046,373455.49
908,Low_variant,female,2046,338185.09
908,Low_variant,male,2046,315846.464
908,Medium_variant,female,2046,366841.772
908,Medium_variant,male,2046,346057.586
908,No_change,female,2046,344807.89
908,No_change,male,2046,320253.56
908,Zero_migration,female,2046,348963.998
908,Zero_migration,male,2046,328224.812
908,Constant_fertility,female,2047,357615.475
908,Constant_fertility,male,2047,336816.944
908,Constant_mortality,female,2047,351077.181
908,Constant_mortality,male,2047,327128.986
908,High_variant,female,2047,396689.065
908,High_variant,male,2047,377881.039
908,Instant_replacement,female,2047,392964.82
908,Instant_replacement,male,2047,373977.55
908,Low_variant,female,2047,336094.305
908,Low_variant,male,2047,314005.675
908,Medium_variant,female,2047,365947.097
908,Medium_variant,male,2047,345474.195
908,No_change,female,2047,342856.672
908,No_change,male,2047,318470.866
908,Zero_migration,female,2047,347382.857
908,Zero_migration,male,2047,326960.688
908,Constant_fertility,female,2048,356227.174
908,Constant_fertility,male,2048,335723.422
908,Constant_mortality,female,2048,349566.967
908,Constant_mortality,male,2048,325816.797
908,High_variant,female,2048,397206.985
908,High_variant,male,2048,378788.53
908,Instant_replacement,female,2048,393155.12
908,Instant_replacement,male,2048,374540.182
908,Low_variant,female,2048,333956.547
908,Low_variant,male,2048,312121.22
908,Medium_variant,female,2048,365036.106
908,Medium_variant,male,2048,344879.058
908,No_change,female,2048,340876.09
908,No_change,male,2048,316666.176
908,Zero_migration,female,2048,345781.014
908,Zero_migration,male,2048,325680.603
908,Constant_fertility,female,2049,354806.306
908,Constant_fertility,male,2049,334597.805
908,Constant_mortality,female,2049,348042.255
908,Constant_mortality,male,2049,324497.082
908,High_variant,female,2049,397765.05
908,High_variant,male,2049,379740.193
908,Instant_replacement,female,2049,393372.58
908,Instant_replacement,male,2049,375133.402
908,Low_variant,female,2049,331769.818
908,Low_variant,male,2049,310187.696
908,Medium_variant,female,2049,364106.992
908,Medium_variant,male,2049,344267.008
908,No_change,female,2049,338866.919
908,No_change,male,2049,314839.574
908,Zero_migration,female,2049,344158.781
908,Zero_migration,male,2049,324381.196
908,Constant_fertility,female,2050,353354.724
908,Constant_fertility,male,2050,333439.821
908,Constant_mortality,female,2050,346501.172
908,Constant_mortality,male,2050,323167.379
908,High_variant,female,2050,398362.077
908,High_variant,male,2050,380732.597
908,Instant_replacement,female,2050,393610.946
908,Instant_replacement,male,2050,375748.444
908,Low_variant,female,2050,329533.076
908,Low_variant,male,2050,308201.743
908,Medium_variant,female,2050,363158.417
908,Medium_variant,male,2050,343634.407
908,No_change,female,2050,336830.493
908,No_change,male,2050,312991.98
908,Zero_migration,female,2050,342516.421
908,Zero_migration,male,2050,323060.237
908,Constant_fertility,female,2051,351874.104
908,Constant_fertility,male,2051,332249.825
908,Constant_mortality,female,2051,344944.392
908,Constant_mortality,male,2051,321827.568
908,High_variant,female,2051,398998.69
908,High_variant,male,2051,381764.971
908,Instant_replacement,female,2051,393869.103
908,Instant_replacement,male,2051,376382.696
908,Low_variant,female,2051,327246.662
908,Low_variant,male,2051,306162.339
908,Medium_variant,female,2051,362190.653
908,Medium_variant,male,2051,342980.136
908,No_change,female,2051,334768.887
908,No_change,male,2051,311124.795
908,Zero_migration,female,2051,340854.983
908,Zero_migration,male,2051,321717.306
908,Constant_fertility,female,2052,350365.972
908,Constant_fertility,male,2052,331030.194
908,Constant_mortality,female,2052,343373.704
908,Constant_mortality,male,2052,320479.427
908,High_variant,female,2052,399673.315
908,High_variant,male,2052,382836.375
908,Instant_replacement,female,2052,394143.599
908,Instant_replacement,male,2052,377033.231
908,Low_variant,female,2052,324912.095
908,Low_variant,male,2052,304071.861
908,Medium_variant,female,2052,361204.025
908,Medium_variant,male,2052,342305.279
908,No_change,female,2052,332685.107
908,No_change,male,2052,309241.098
908,Zero_migration,female,2052,339174.726
908,Zero_migration,male,2052,320353.504
908,Constant_fertility,female,2053,348832.006
908,Constant_fertility,male,2053,329785.428
908,Constant_mortality,female,2053,341789.863
908,Constant_mortality,male,2053,319124.898
908,High_variant,female,2053,400379.55
908,High_variant,male,2053,383942.76
908,Instant_replacement,female,2053,394422.702
908,Instant_replacement,male,2053,377690.374
908,Low_variant,female,2053,322531.296
908,Low_variant,male,2053,301935.074
908,Medium_variant,female,2053,360197.397
908,Medium_variant,male,2053,341611.364
908,No_change,female,2053,330582.694
908,No_change,male,2053,307345.773
908,Zero_migration,female,2053,337474.3
908,Zero_migration,male,2053,318970.335
908,Constant_fertility,female,2054,347273.91
908,Constant_fertility,male,2054,328521.412
908,Constant_mortality,female,2054,340193.868
