region,variant,gender,year,population
926,constantfertility,female,2055,96245.718
926,constantfertility,male,2055,94059.191
926,constantmortality,female,2055,92634.694
926,constantmortality,male,2055,89310.849
926,highvariant,female,2055,109767.449
926,highvariant,male,2055,108290.259
926,instantreplacement,female,2055,106515.896
926,instantreplacement,male,2055,104880.449
926,lowvariant,female,2055,87631.337
926,lowvariant,male,2055,84976.592
926,mediumvariant,female,2055,98300.904
926,mediumvariant,male,2055,96213.471
926,nochange,female,2055,90596.536
926,nochange,male,2055,87161.41
926,zeromigration,female,2055,88900.444
926,zeromigration,male,2055,86749.373
926,constantfertility,female,2056,96020.213
926,constantfertility,male,2056,93886.451
926,constantmortality,female,2056,92354.962
926,constantmortality,male,2056,89096.904
926,highvariant,female,2056,110130.658
