agebroad,gender,population,continent,variant,year
18_23,female,28569.897,908,estimates,1955
15_24,female,48312.21,908,estimates,1955
15_49,female,156079.082,908,estimates,1955
15_59,female,190810.795,908,estimates,1955
15_64,female,204008.519,908,estimates,1955
20_64,female,178808.946,908,estimates,1955
20_69,female,189901.86,908,estimates,1955
25_49,female,107766.872,908,estimates,1955
25_64,female,155696.309,908,estimates,1955
25_69,female,166789.223,908,estimates,1955
15plus,female,233228.513,908,estimates,1955
16plus,female,228523.835,908,estimates,1955
17plus,female,223464.587,908,estimates,1955
18plus,female,218204.42,908,estimates,1955
20plus,female,208028.94,908,estimates,1955
21plus,female,203240.072,908,estimates,1955
25plus,female,184916.303,908,estimates,1955
50plus,female,77149.431,908,estimates,1955
60plus,female,42417.718,908,estimates,1955
65plus,female,29219.994,908,estimates,1955
70plus,female,18127.08,908,estimates,1955
75plus,female,9756.948,908,estimates,1955
80plus,female,4265.011,908,estimates,1955
85plus,female,1341.188,908,estimates,1955
90plus,female,324.72,908,estimates,1955
total,female,305944.551,908,estimates,1955
0_1,male,11075.207,908,estimates,1955
0_4,male,28414.385,908,estimates,1955
0_14,male,75330.626,908,estimates,1955
0_17,male,90530.317,908,estimates,1955
0_19,male,100776.338,908,estimates,1955
0_24,male,123725.552,908,estimates,1955
3_4,male,11549.701,908,estimates,1955
3_5,male,17150.477,908,estimates,1955
3_6,male,22558.763,908,estimates,1955
4_5,male,11341.189,908,estimates,1955
4_6,male,16749.475,908,estimates,1955
5_14,male,46916.241,908,estimates,1955
5_10,male,30244.009,908,estimates,1955
5_11,male,34350.651,908,estimates,1955
6_9,male,20218.454,908,estimates,1955
6_10,male,24643.233,908,estimates,1955
6_11,male,28749.875,908,estimates,1955
6_12,male,32723.181,908,estimates,1955
7_10,male,19234.947,908,estimates,1955
7_12,male,27314.895,908,estimates,1955
11_16,male,26562.449,908,estimates,1955
11_17,male,31871.923,908,estimates,1955
11_18,male,37111.425,908,estimates,1955
12_14,male,12565.59,908,estimates,1955
12_16,male,22455.807,908,estimates,1955
12_17,male,27765.281,908,estimates,1955
12_18,male,33004.783,908,estimates,1955
13_17,male,23791.975,908,estimates,1955
13_18,male,29031.477,908,estimates,1955
13_19,male,34037.996,908,estimates,1955
15_17,male,15199.691,908,estimates,1955
18_23,male,28570.075,908,estimates,1955
15_24,male,48394.926,908,estimates,1955
15_49,male,139919.711,908,estimates,1955
15_59,male,167339.586,908,estimates,1955
15_64,male,176723.7,908,estimates,1955
20_64,male,151277.988,908,estimates,1955
20_69,male,158850.986,908,estimates,1955
25_49,male,91524.785,908,estimates,1955
25_64,male,128328.774,908,estimates,1955
25_69,male,135901.772,908,estimates,1955
15plus,male,195835.17,908,estimates,1955
16plus,male,191062.677,908,estimates,1955
17plus,male,185944.953,908,estimates,1955
18plus,male,180635.479,908,estimates,1955
20plus,male,170389.458,908,estimates,1955
21plus,male,165584.686,908,estimates,1955
25plus,male,147440.244,908,estimates,1955
50plus,male,55915.459,908,estimates,1955
60plus,male,28495.584,908,estimates,1955
65plus,male,19111.47,908,estimates,1955
70plus,male,11538.472,908,estimates,1955
75plus,male,5956.791,908,estimates,1955
80plus,male,2402.561,908,estimates,1955
85plus,male,669.887,908,estimates,1955
90plus,male,138.656,908,estimates,1955
total,male,271165.796,908,estimates,1955
0_1,female,10456.212,908,estimates,1956
0_4,female,26934.098,908,estimates,1956
0_14,female,73617.017,908,estimates,1956
0_17,female,87756.672,908,estimates,1956
0_19,female,98200.026,908,estimates,1956
0_24,female,121509.489,908,estimates,1956
3_4,female,11054.5,908,estimates,1956
3_5,female,16530.113,908,estimates,1956
3_6,female,21894.25,908,estimates,1956
4_5,female,11009.318,908,estimates,1956
4_6,female,16373.455,908,estimates,1956
5_14,female,46682.919,908,estimates,1956
5_10,female,30442.264,908,estimates,1956
