continent,year,variant,gender,agebroad,population
905,1975,estimates,female,0_14,29924.696
905,1975,estimates,male,0_14,31036.326
905,1975,estimates,female,0_17,36906.933
905,1975,estimates,male,0_17,38290.586
905,1975,estimates,female,0_19,41492.216
905,1975,estimates,male,0_19,43038.326
905,1975,estimates,female,0_24,52335.787
905,1975,estimates,male,0_24,54081.494
905,1975,estimates,female,3_4,3553.539
905,1975,estimates,male,3_4,3708.952
905,1975,estimates,female,3_5,5380.643
905,1975,estimates,male,3_5,5608.434
905,1975,estimates,female,3_6,7259.034
905,1975,estimates,male,3_6,7556.545
905,1975,estimates,female,4_5,3615.41
905,1975,estimates,male,4_5,3763.494
905,1975,estimates,female,4_6,5493.801
905,1975,estimates,male,4_6,5711.605
905,1975,estimates,female,5_10,11871.907
905,1975,estimates,male,5_10,12279.284
905,1975,estimates,female,5_11,14095.282
905,1975,estimates,male,5_11,14566.693
905,1975,estimates,female,5_14,21007.997
905,1975,estimates,male,5_14,21694.476
905,1975,estimates,female,6_9,7897.54
905,1975,estimates,male,6_9,8167.287
905,1975,estimates,female,6_10,10044.803
905,1975,estimates,male,6_10,10379.802
905,1975,estimates,female,6_11,12268.178
905,1975,estimates,male,6_11,12667.211
905,1975,estimates,female,6_12,14549.711
905,1975,estimates,male,6_12,15014.254
905,1975,estimates,female,7_10,8166.412
905,1975,estimates,male,7_10,8431.691
905,1975,estimates,female,7_12,12671.32
905,1975,estimates,male,7_12,13066.143
905,1975,estimates,female,11_16,13794.385
905,1975,estimates,male,11_16,14251.304
905,1975,estimates,female,11_17,16118.327
905,1975,estimates,male,11_17,16669.452
905,1975,estimates,female,11_18,18424.343
905,1975,estimates,male,11_18,19062.895
905,1975,estimates,female,12_14,6912.715
905,1975,estimates,male,12_14,7127.783
905,1975,estimates,female,12_16,11571.01
905,1975,estimates,male,12_16,11963.895
905,1975,estimates,female,12_17,13894.952
905,1975,estimates,male,12_17,14382.043
905,1975,estimates,female,12_18,16200.968
905,1975,estimates,male,12_18,16775.486
905,1975,estimates,female,13_17,11613.419
905,1975,estimates,male,13_17,12035
905,1975,estimates,female,13_18,13919.435
905,1975,estimates,male,13_18,14428.443
905,1975,estimates,female,13_19,16198.702
905,1975,estimates,male,13_19,16782.74
905,1975,estimates,female,15plus,93012.004
905,1975,estimates,male,15plus,88241.603
905,1975,estimates,female,15_17,6982.237
905,1975,estimates,male,15_17,7254.26
905,1975,estimates,female,15_24,22411.091
905,1975,estimates,male,15_24,23045.168
905,1975,estimates,female,15_49,59835.553
905,1975,estimates,male,15_49,60794.976
905,1975,estimates,female,15_59,72813.528
905,1975,estimates,male,15_59,73098.862
905,1975,estimates,female,15_64,78341.446
905,1975,estimates,male,15_64,78016.073
905,1975,estimates,female,16plus,90684.543
905,1975,estimates,male,16plus,85828.825
905,1975,estimates,female,17plus,88353.709
905,1975,estimates,male,17plus,83405.491
905,1975,estimates,female,18plus,86029.767
905,1975,estimates,male,18plus,80987.343
905,1975,estimates,female,18_23,13332.69
905,1975,estimates,male,18_23,13679.42
905,1975,estimates,female,20plus,81444.484
905,1975,estimates,male,20plus,76239.603
905,1975,estimates,female,20_64,66773.926
905,1975,estimates,male,20_64,66014.073
905,1975,estimates,female,20_69,71776.939
905,1975,estimates,male,20_69,69982.812
905,1975,estimates,female,21plus,79198.351
905,1975,estimates,male,21plus,73929.913
905,1975,estimates,female,25plus,70600.913
905,1975,estimates,male,25plus,65196.435
905,1975,estimates,female,25_49,37424.462
905,1975,estimates,male,25_49,37749.808
905,1975,estimates,female,25_64,55930.355
905,1975,estimates,male,25_64,54970.905
905,1975,estimates,female,25_69,60933.368
905,1975,estimates,male,25_69,58939.644
905,1975,estimates,female,50plus,33176.451
905,1975,estimates,male,50plus,27446.627
905,1975,estimates,female,60plus,20198.476
905,1975,estimates,male,60plus,15142.741
905,1975,estimates,female,65plus,14670.558
