agebroad,gender,percentagetotalpopulation,country,variant,year
70plus,male,5.996,40,estimates,1954
75plus,male,3.085,40,estimates,1954
80plus,male,1.218,40,estimates,1954
85plus,male,0.345,40,estimates,1954
90plus,male,0.064,40,estimates,1954
total,male,100,40,estimates,1954
0,female,1.39,40,estimates,1955
0_1,female,2.665,40,estimates,1955
0_4,female,6.455,40,estimates,1955
0_14,female,20.507,40,estimates,1955
0_17,female,24.563,40,estimates,1955
0_19,female,27.058,40,estimates,1955
0_24,female,32.866,40,estimates,1955
3_4,female,2.518,40,estimates,1955
3_5,female,3.794,40,estimates,1955
3_6,female,5.095,40,estimates,1955
4_5,female,2.536,40,estimates,1955
4_6,female,3.837,40,estimates,1955
5_14,female,14.052,40,estimates,1955
5_10,female,8.128,40,estimates,1955
5_11,female,9.617,40,estimates,1955
6_9,female,5.408,40,estimates,1955
6_10,female,6.852,40,estimates,1955
6_11,female,8.342,40,estimates,1955
6_12,female,9.85,40,estimates,1955
7_10,female,5.551,40,estimates,1955
7_12,female,8.549,40,estimates,1955
11_16,female,8.671,40,estimates,1955
11_17,female,9.98,40,estimates,1955
11_18,female,11.246,40,estimates,1955
12_14,female,4.434,40,estimates,1955
12_16,female,7.182,40,estimates,1955
12_17,female,8.491,40,estimates,1955
12_18,female,9.757,40,estimates,1955
13_17,female,6.982,40,estimates,1955
13_18,female,8.249,40,estimates,1955
13_19,female,9.477,40,estimates,1955
15_17,female,4.056,40,estimates,1955
18_23,female,7.121,40,estimates,1955
15_24,female,12.359,40,estimates,1955
15_49,female,46.849,40,estimates,1955
15_59,female,61.097,40,estimates,1955
15_64,female,66.843,40,estimates,1955
20_64,female,60.292,40,estimates,1955
20_69,female,65.127,40,estimates,1955
25_49,female,34.49,40,estimates,1955
25_64,female,54.484,40,estimates,1955
25_69,female,59.319,40,estimates,1955
15plus,female,79.493,40,estimates,1955
16plus,female,78.097,40,estimates,1955
17plus,female,76.745,40,estimates,1955
18plus,female,75.437,40,estimates,1955
20plus,female,72.942,40,estimates,1955
21plus,female,71.751,40,estimates,1955
25plus,female,67.134,40,estimates,1955
50plus,female,32.643,40,estimates,1955
60plus,female,18.396,40,estimates,1955
65plus,female,12.65,40,estimates,1955
70plus,female,7.815,40,estimates,1955
75plus,female,4.116,40,estimates,1955
80plus,female,1.654,40,estimates,1955
85plus,female,0.469,40,estimates,1955
90plus,female,0.086,40,estimates,1955
total,female,100,40,estimates,1955
0,male,1.673,40,estimates,1955
0_1,male,3.169,40,estimates,1955
0_4,male,7.728,40,estimates,1955
0_14,male,24.527,40,estimates,1955
0_17,male,29.329,40,estimates,1955
0_19,male,32.308,40,estimates,1955
0_24,male,39.289,40,estimates,1955
3_4,male,3.034,40,estimates,1955
3_5,male,4.572,40,estimates,1955
3_6,male,6.14,40,estimates,1955
4_5,male,3.058,40,estimates,1955
4_6,male,4.626,40,estimates,1955
5_14,male,16.798,40,estimates,1955
5_10,male,9.761,40,estimates,1955
5_11,male,11.534,40,estimates,1955
6_9,male,6.498,40,estimates,1955
6_10,male,8.223,40,estimates,1955
6_11,male,9.996,40,estimates,1955
6_12,male,11.787,40,estimates,1955
7_10,male,6.655,40,estimates,1955
7_12,male,10.219,40,estimates,1955
11_16,male,10.291,40,estimates,1955
11_17,male,11.839,40,estimates,1955
11_18,male,13.346,40,estimates,1955
12_14,male,5.264,40,estimates,1955
12_16,male,8.518,40,estimates,1955
12_17,male,10.066,40,estimates,1955
12_18,male,11.572,40,estimates,1955
13_17,male,8.274,40,estimates,1955
13_18,male,9.781,40,estimates,1955
13_19,male,11.254,40,estimates,1955
15_17,male,4.802,40,estimates,1955
18_23,male,8.559,40,estimates,1955
15_24,male,14.763,40,estimates,1955
15_49,male,47.004,40,estimates,1955
15_59,male,60.809,40,estimates,1955
15_64,male,65.595,40,estimates,1955
20_64,male,57.814,40,estimates,1955
20_69,male,61.689,40,estimates,1955
25_49,male,32.241,40,estimates,1955
25_64,male,50.832,40,estimates,1955
25_69,male,54.708,40,estimates,1955
15plus,male,75.473,40,estimates,1955
16plus,male,73.819,40,estimates,1955
17plus,male,72.219,40,estimates,1955
18plus,male,70.671,40,estimates,1955
20plus,male,67.692,40,estimates,1955
21plus,male,66.256,40,estimates,1955
25plus,male,60.711,40,estimates,1955
50plus,male,28.469,40,estimates,1955
60plus,male,14.664,40,estimates,1955
65plus,male,9.878,40,estimates,1955
70plus,male,6.002,40,estimates,1955
75plus,male,3.081,40,estimates,1955
80plus,male,1.196,40,estimates,1955
85plus,male,0.32,40,estimates,1955
90plus,male,0.051,40,estimates,1955
total,male,100,40,estimates,1955
0,female,1.437,40,estimates,1956
0_1,female,2.789,40,estimates,1956
0_4,female,6.611,40,estimates,1956
0_14,female,20.44,40,estimates,1956
0_17,female,24.605,40,estimates,1956
0_19,female,27.163,40,estimates,1956
0_24,female,32.973,40,estimates,1956
3_4,female,2.524,40,estimates,1956
3_5,female,3.783,40,estimates,1956
3_6,female,5.057,40,estimates,1956
4_5,female,2.515,40,estimates,1956
4_6,female,3.789,40,estimates,1956
5_14,female,13.829,40,estimates,1956
5_10,female,7.922,40,estimates,1956
5_11,female,9.362,40,estimates,1956
6_9,female,5.263,40,estimates,1956
6_10,female,6.663,40,estimates,1956
6_11,female,8.103,40,estimates,1956
6_12,female,9.587,40,estimates,1956
7_10,female,5.39,40,estimates,1956
7_12,female,8.313,40,estimates,1956
11_16,female,8.728,40,estimates,1956
11_17,female,10.072,40,estimates,1956
11_18,female,11.372,40,estimates,1956
12_14,female,4.467,40,estimates,1956
12_16,female,7.288,40,estimates,1956
12_17,female,8.632,40,estimates,1956
12_18,female,9.932,40,estimates,1956
13_17,female,7.148,40,estimates,1956
13_18,female,8.448,40,estimates,1956
13_19,female,9.706,40,estimates,1956
15_17,female,4.165,40,estimates,1956
18_23,female,7.229,40,estimates,1956
15_24,female,12.534,40,estimates,1956
15_49,female,46.445,40,estimates,1956
15_59,female,60.8,40,estimates,1956
15_64,female,66.638,40,estimates,1956
