global,year,variant,freq,age5yearinterval,noofbirthbymother
900,2025,constant_mortality,5yearly,45_49,4363.825
900,2025,high_variant,5yearly,45_49,5206.613
900,2025,instant_replacement,5yearly,45_49,3463.571
900,2025,low_variant,5yearly,45_49,3626.073
900,2025,medium_variant,5yearly,45_49,4418.842
900,2025,momentum,5yearly,45_49,3584.576
900,2025,no_change,5yearly,45_49,6490.638
900,2025,zero_migration,5yearly,45_49,4446.142
900,2030,constant_fertility,5yearly,"Region, subregion, country or area *",WORLD
900,2030,constant_mortality,5yearly,"Region, subregion, country or area *",WORLD
900,2030,high_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2030,instant_replacement,5yearly,"Region, subregion, country or area *",WORLD
900,2030,low_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2030,medium_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2030,momentum,5yearly,"Region, subregion, country or area *",WORLD
900,2030,no_change,5yearly,"Region, subregion, country or area *",WORLD
900,2030,zero_migration,5yearly,"Region, subregion, country or area *",WORLD
900,2030,constant_fertility,5yearly,15_19,90525.6910000001
900,2030,constant_mortality,5yearly,15_19,55459.915
900,2030,high_variant,5yearly,15_19,69028.352
900,2030,instant_replacement,5yearly,15_19,38966.646
900,2030,low_variant,5yearly,15_19,44441.365
900,2030,medium_variant,5yearly,15_19,56390.56
900,2030,momentum,5yearly,15_19,40658.501
900,2030,no_change,5yearly,15_19,89032.17
900,2030,zero_migration,5yearly,15_19,56629.262
900,2030,constant_fertility,5yearly,20_24,249112.529
900,2030,constant_mortality,5yearly,20_24,186079.664
900,2030,high_variant,5yearly,20_24,226369.925
900,2030,instant_replacement,5yearly,20_24,168366.675
900,2030,low_variant,5yearly,20_24,148700.364
900,2030,medium_variant,5yearly,20_24,187729.948
900,2030,momentum,5yearly,20_24,174821.86
900,2030,no_change,5yearly,20_24,246980.105
900,2030,zero_migration,5yearly,20_24,188762.928
900,2030,constant_fertility,5yearly,25_29,237169.348
900,2030,constant_mortality,5yearly,25_29,203873.338
900,2030,high_variant,5yearly,25_29,250139.115
900,2030,instant_replacement,5yearly,25_29,191730.0
900,2030,low_variant,5yearly,25_29,161115.103
900,2030,medium_variant,5yearly,25_29,205573.113
900,2030,momentum,5yearly,25_29,197407.27
900,2030,no_change,5yearly,25_29,235111.718
900,2030,zero_migration,5yearly,25_29,206130.235
900,2030,constant_fertility,5yearly,30_34,157019.306
900,2030,constant_mortality,5yearly,30_34,146420.515
900,2030,high_variant,5yearly,30_34,180790.652
900,2030,instant_replacement,5yearly,30_34,141100.148
900,2030,low_variant,5yearly,30_34,114834.013
900,2030,medium_variant,5yearly,30_34,147719.07
900,2030,momentum,5yearly,30_34,143321.492
900,2030,no_change,5yearly,30_34,155381.556
900,2030,zero_migration,5yearly,30_34,147131.313
900,2030,constant_fertility,5yearly,35_39,83893.745
900,2030,constant_mortality,5yearly,35_39,75492.0320000001
900,2030,high_variant,5yearly,35_39,93257.944
900,2030,instant_replacement,5yearly,35_39,71764.29
900,2030,low_variant,5yearly,35_39,59649.1840000001
900,2030,medium_variant,5yearly,35_39,76356.378
900,2030,momentum,5yearly,35_39,72587.094
900,2030,no_change,5yearly,35_39,82755.499
900,2030,zero_migration,5yearly,35_39,75919.451
900,2030,constant_fertility,5yearly,40_44,29902.178
900,2030,constant_mortality,5yearly,40_44,23483.037
900,2030,high_variant,5yearly,40_44,29027.061
900,2030,instant_replacement,5yearly,40_44,22248.567
900,2030,low_variant,5yearly,40_44,18650.748
900,2030,medium_variant,5yearly,40_44,23809.102
900,2030,momentum,5yearly,40_44,22624.955
900,2030,no_change,5yearly,40_44,29382.093
900,2030,zero_migration,5yearly,40_44,23782.913
900,2030,constant_fertility,5yearly,45_49,7507.63
900,2030,constant_mortality,5yearly,45_49,4355.117
900,2030,high_variant,5yearly,45_49,5270.599
900,2030,instant_replacement,5yearly,45_49,3598.442
900,2030,low_variant,5yearly,45_49,3614.784
900,2030,medium_variant,5yearly,45_49,4446.048
900,2030,momentum,5yearly,45_49,3735.597
900,2030,no_change,5yearly,45_49,7347.976
900,2030,zero_migration,5yearly,45_49,4476.511
900,2035,constant_fertility,5yearly,"Region, subregion, country or area *",WORLD
